tx_zone	tx_deliverability_cost_per_mw_yr	fully_deliverable_new_tx_threshold_mw	energy_only_tx_limit_mw
Greater_Kramer	48347.0531802897	0	0
Inyokern_North_Kramer	208951.990114814	297	0
North_Victor	208951.990114814	300	0
Humboldt	999000	0	100
Sacramento_River	18875.2193923049	1396.02	1800
Solano	40200.9058636108	599	700
Solano_subzone	999000	0	0
Mountain_Pass_El_Dorado	109182.973326916	250	2150
Greater_Imperial	322818.288554107	919.08	1900
Riverside_Palm_Springs	190385.838642383	565	2550
SCADSNV	101992.413558419	0	0
Westlands	43578.5767022337	0	350
Kern_Greater_Carrizo	28566.7063083538	597	350
Carrizo	38595.6449328366	187	0
Central_Valley_North_Los_Banos	43578.5767022337	0	0
Tehachapi	13245.7679945999	3677	800
Northern_California_Ex	18875.2193923049	865.9	0
Westlands_Ex	43578.5767022337	1778.573	0
Tehachapi_Ex	13245.7679945999	1870	0
Kramer_Inyokern_Ex	48347.0531802897	860.4	0
Southern_California_Desert_Ex	101992.413558419	862	0
None	0	0	0
GLW_VEA	116184.307838348	596	0
