resource	can_provide_spin	can_provide_reg	can_provide_lf_reserves	contributes_to_min_gen	contributes_to_freq_resp_total	contributes_to_freq_resp_partial	thermal_freq_response_fraction_of_commitment
CAISO_CCGT1	1	1	1	1	1	1	0.08
CAISO_CCGT2	1	1	1	1	1	1	0.08
CAISO_Peaker1	0	0	1	0	1	1	0.08
CAISO_Peaker2	0	0	1	0	1	1	0.08
CAISO_Advanced_CCGT	1	1	1	1	1	1	0.08
CAISO_Aero_CT	0	0	1	0	1	1	0.08
CAISO_Reciprocating_Engine	0	0	1	0	1	1	0.08
CAISO_ST	1	1	1	1	1	1	0.08
CAISO_Existing_Pumped_Storage	1	1	1	0	1	0	0
CAISO_New_Pumped_Storage	1	1	1	0	1	0	0
CAISO_New_Flow_Battery	1	1	1	0	1	1	0
CAISO_New_Flow_Battery_2	1	1	1	0	1	1	0
CAISO_New_Flow_Battery_3	1	1	1	0	1	1	0
CAISO_New_Li_Battery	1	1	1	0	1	1	0
CAISO_New_Li_Battery_2	1	1	1	0	1	1	0
CAISO_New_Li_Battery_3	1	1	1	0	1	1	0
CAISO_Hydro	1	1	1	0	1	0	0
