resource	period	conventional_dr_availability_hours_per_year	conventional_dr_daily_capacity_factor
CAISO_Shed_DR_Existing	2020	0	0
CAISO_Shed_DR_Existing	2022	0	0
CAISO_Shed_DR_Existing	2026	0	0
CAISO_Shed_DR_Existing	2030	0	0
CAISO_Shed_DR_Existing	2045	0	0
CAISO_Shed_DR_Tranche1	2020	0	0
CAISO_Shed_DR_Tranche1	2022	0	0
CAISO_Shed_DR_Tranche1	2026	0	0
CAISO_Shed_DR_Tranche1	2030	0	0
CAISO_Shed_DR_Tranche1	2045	0	0
CAISO_Shed_DR_Tranche2	2020	0	0
CAISO_Shed_DR_Tranche2	2022	0	0
CAISO_Shed_DR_Tranche2	2026	0	0
CAISO_Shed_DR_Tranche2	2030	0	0
CAISO_Shed_DR_Tranche2	2045	0	0
CAISO_Shed_DR_Tranche3	2020	0	0
CAISO_Shed_DR_Tranche3	2022	0	0
CAISO_Shed_DR_Tranche3	2026	0	0
CAISO_Shed_DR_Tranche3	2030	0	0
CAISO_Shed_DR_Tranche3	2045	0	0
CAISO_Shed_DR_Tranche4	2020	0	0
CAISO_Shed_DR_Tranche4	2022	0	0
CAISO_Shed_DR_Tranche4	2026	0	0
CAISO_Shed_DR_Tranche4	2030	0	0
CAISO_Shed_DR_Tranche4	2045	0	0
CAISO_Shed_DR_Tranche5	2020	0	0
CAISO_Shed_DR_Tranche5	2022	0	0
CAISO_Shed_DR_Tranche5	2026	0	0
CAISO_Shed_DR_Tranche5	2030	0	0
CAISO_Shed_DR_Tranche5	2045	0	0
CAISO_Shed_DR_Tranche6	2020	0	0
CAISO_Shed_DR_Tranche6	2022	0	0
CAISO_Shed_DR_Tranche6	2026	0	0
CAISO_Shed_DR_Tranche6	2030	0	0
CAISO_Shed_DR_Tranche6	2045	0	0
CAISO_Shed_DR_Tranche7	2020	0	0
CAISO_Shed_DR_Tranche7	2022	0	0
CAISO_Shed_DR_Tranche7	2026	0	0
CAISO_Shed_DR_Tranche7	2030	0	0
CAISO_Shed_DR_Tranche7	2045	0	0
CAISO_Shed_DR_Tranche8	2020	0	0
CAISO_Shed_DR_Tranche8	2022	0	0
CAISO_Shed_DR_Tranche8	2026	0	0
CAISO_Shed_DR_Tranche8	2030	0	0
CAISO_Shed_DR_Tranche8	2045	0	0
