technology	min_stable_level_fraction	ramp_rate_fraction	min_down_time_hours	min_up_time_hours	unit_size_mw	startup_cost_per_mw	shutdown_cost_per_mw	start_fuel_mmbtu_per_mw
BANC_CCGT	0.384844688058254	1.55114490848069	4	9	207.011111111111	44.5030282861896	44.5030282861896	5.63285521022206
BANC_Peaker	0.420027724804221	14.9330442104291	3	4	34.6796	29.1627972756318	29.1627972756318	1.55897942009701
CAISO_CCGT1	0.307585939416545	0.572149688531592	5	8	532.3974	31.1561047564309	31.1561047564309	5.8020257867469
CAISO_CCGT2	0.380590679389804	0.99	3	4	187.528666666666	23.7824719155296	23.7824719155296	4.57059720647154
CAISO_Coal	0.480016941774415	0.542222222	24	24	849.97	62.631210513312	62.631210513312	10
CAISO_Peaker1	0.489965102221187	5.91434041821593	1	2	67.588975409836	11.2980656521709	11.2980656521709	1.90345167898513
CAISO_Peaker2	0.56306872444476	5.90238824098608	1	1	53.0049242424242	36.8070374672883	36.8070374672883	2.87968845514246
CAISO_Reciprocating_Engine	0.15025803805084	8.9826457039568	1	2	10.3566369047619	7.1959345857918	7.1959345857918	0.802866806711822
CAISO_ST	0.112693221579314	0.460493345291142	10	22	341.829444444444	50.320004055818	50.320004055818	11.0999149998456
IID_CCGT	0.499165579200963	1.94504203199855	6	11	127.65	44.50303564434	44.50303564434	5.63285521022206
IID_Peaker	0.477922077922077	9.85692695214105	4	6	36.090909090909	26.7319040302267	26.7319040302267	1.55897942009701
LDWP_CCGT	0.363914303333907	1.19966280480009	5	8	385.9625	45.1377415228163	45.1377415228163	5.63285521022206
LDWP_Coal	0.480016941774415	0.542222222	24	24	849.97	62.631210513312	62.631210513312	10
LDWP_Peaker	0.480833333333333	8.5183970856102	3	4	82.35	46.1461712204007	46.1461712204007	1.55897942009701
LDWP_ST	0.254382872325595	2.10302419354838	8	12	110.222222222222	42.2497116935483	42.2497116935483	11.0999149998456
NW_CCGT	0.422814634640511	1.38967712280337	5	9	341.908142857142	45.0120651609852	45.0120651609852	5.63285521022206
NW_Coal	0.507258782647333	0.657808119	24	24	367.751827586206	61.6715981064065	61.6715981064065	10
NW_Peaker	0.320436160774462	15.5075722394651	3	4	29.0599029126213	29.920329449312	29.920329449312	1.55897942009701
SW_CCGT	0.322692137765	1.12078927079484	5	9	344.277586206896	44.6550782247685	44.6550782247685	5.63285521022206
SW_Coal	0.54729077842827	0.574075317	24	24	409.460869565217	63.966689496262	63.966689496262	10
SW_Peaker	0.422504558317655	12.5655619052048	3	3	47.7813888888888	31.959510175103	31.959510175103	1.55897942009701
SW_ST	0.210199087731257	2.59619642350269	12	12	92.7105263157894	43.2004874254896	43.2004874254896	11.0999149998455
CAISO_Advanced_CCGT	0.2	1	1	2	600	25	25	4.57059720647154
CAISO_Aero_CT	0.3	1	1	1	100	5	5	4.57059720647154
CAISO_Conventional_DR	0	1	1	1	1	0.00005	0.00005	0
