resource	capacity_factor	elcc_solar_bin	elcc_wind_bin	local_variable_renewable_nqc_fraction
Customer_PV	0.200770528507836	1	0	0.5
CAISO_Solar_for_Other	0.277001349246404	1	0	0
CAISO_Solar_for_CAISO	0.282768081763129	1	0	0
CAISO_Wind_for_Other	0.284424682894832	0	1	0
CAISO_Wind_for_CAISO	0.284818125317195	0	1	0
Carrizo_Solar	0.307791100049227	1	0	0
Carrizo_Wind	0.311273523339492	0	1	0
Central_Valley_North_Los_Banos_Solar	0.294295927434931	1	0	0
Central_Valley_North_Los_Banos_Wind	0.311273523339492	0	1	0
Distributed_Solar	0.212734773565285	1	0	0
Distributed_Wind	0.287227520037651	0	1	0
Greater_Imperial_Solar	0.313321056716755	1	0	0
Greater_Imperial_Wind	0.339427047443002	0	1	0
Greater_Kramer_Wind	0.310363001143959	0	1	0
Humboldt_Wind	0.292268958481887	0	1	0
Inyokern_North_Kramer_Solar	0.322153076183877	1	0	0
Kern_Greater_Carrizo_Solar	0.307791100049227	1	0	0
Kern_Greater_Carrizo_Wind	0.311273523339492	0	1	0
Kramer_Inyokern_Ex_Solar	0.322153076183877	1	0	0
Kramer_Inyokern_Ex_Wind	0.310363001143959	0	1	0
North_Victor_Solar	0.322153076183877	1	0	0
Northern_California_Ex_Solar	0.279467699916171	1	0	0
Northern_California_Ex_Wind	0.292268958481887	0	1	0
NW_Ext_Tx_Wind	0.303809139905383	0	1	0
Riverside_Palm_Springs_Solar	0.313321056716755	1	0	0
Sacramento_River_Solar	0.279467699916171	1	0	0
Sacramento_River_Wind	0.292268958481887	0	1	0
SCADSNV_Solar	0.310326234381177	1	0	0
SCADSNV_Wind	0.296951825028595	0	1	0
Solano_Solar	0.291857134852688	1	0	0
Solano_subzone_Solar	0.291857134852688	1	0	0
Solano_subzone_Wind	0.303547432024609	0	1	0
Solano_Wind	0.303547432024609	0	1	0
Southern_California_Desert_Ex_Solar	0.310326234381177	1	0	0
Southern_California_Desert_Ex_Wind	0.296951825028595	0	1	0
Southern_Nevada_Solar	0.306457580839693	1	0	0
Southern_Nevada_Wind	0.280991927803848	0	1	0
SW_Ext_Tx_Wind	0.361637509285337	0	1	0
Tehachapi_Ex_Solar	0.323071051640125	1	0	0
Tehachapi_Solar	0.323071051640125	1	0	0
Tehachapi_Wind	0.342981591095535	0	1	0
Westlands_Ex_Solar	0.307791100049227	1	0	0
Westlands_Ex_Wind	0.311273523339492	0	1	0
Westlands_Solar	0.307791100049227	1	0	0
Baja_California_Solar	0.310326234381177	1	0	0
Baja_California_Wind	0.362098877173212	0	1	0
Cape_Mendocino_Offshore_Wind	0.529096139676861	0	1	0
Del_Norte_Offshore_Wind	0.516347041754684	0	1	0
Diablo_Canyon_Offshore_Wind	0.459113002232336	0	1	0
Humboldt_Bay_Offshore_Wind	0.51544588324826	0	1	0
Morro_Bay_Offshore_Wind	0.554781332292497	0	1	0
