zone	timepoint_id	input_load_mw
CAISO	20200101	23183.8247122898
CAISO	20200102	21796.1207648866
CAISO	20200103	20809.4006991082
CAISO	20200104	20247.1865592381
CAISO	20200105	20121.6451752894
CAISO	20200106	20417.0449398752
CAISO	20200107	20916.4944304516
CAISO	20200108	20962.7673245646
CAISO	20200109	21684.3419102688
CAISO	20200110	22456.0534231878
CAISO	20200111	22975.0109176992
CAISO	20200112	23162.9344292805
CAISO	20200113	23173.8954633579
CAISO	20200114	22975.8995230576
CAISO	20200115	22751.2407136509
CAISO	20200116	22672.0525552389
CAISO	20200117	23501.1188974065
CAISO	20200118	27676.0640246754
CAISO	20200119	28603.1669891149
CAISO	20200120	28215.5186710245
CAISO	20200121	27668.3688233977
CAISO	20200122	26923.8437893404
CAISO	20200123	24955.1812223794
CAISO	20200124	22734.9536669932
CAISO	20200201	21259.4364211252
CAISO	20200202	20342.4386810101
CAISO	20200203	19878.3791500351
CAISO	20200204	19745.3077554408
CAISO	20200205	20288.9381098885
CAISO	20200206	21986.0656308356
CAISO	20200207	24507.5775483053
CAISO	20200208	25910.8974771165
CAISO	20200209	27063.6929811971
CAISO	20200210	27763.7075221452
CAISO	20200211	28312.7985266153
CAISO	20200212	28325.1164111952
CAISO	20200213	28079.4230673472
CAISO	20200214	27872.0753480942
CAISO	20200215	27771.0678381738
CAISO	20200216	27448.7334269904
CAISO	20200217	27621.0970693654
CAISO	20200218	31222.4664208659
CAISO	20200219	31812.9053430066
CAISO	20200220	31167.5635604406
CAISO	20200221	30254.6552471065
CAISO	20200222	29048.7757847139
CAISO	20200223	26734.0973965014
CAISO	20200224	24368.3977240725
CAISO	20200301	21629.5018644868
CAISO	20200302	20711.1837098357
CAISO	20200303	20212.1321073212
CAISO	20200304	20135.1988105844
CAISO	20200305	20789.8570007752
CAISO	20200306	22451.2076141414
CAISO	20200307	24996.7711794325
CAISO	20200308	26550.919622327
CAISO	20200309	27760.0092523149
CAISO	20200310	28531.2031036577
CAISO	20200311	28750.6342118103
CAISO	20200312	28689.7932746234
CAISO	20200313	28500.3887203367
CAISO	20200314	28392.6286104982
CAISO	20200315	28016.2861930257
CAISO	20200316	27760.2113719967
CAISO	20200317	27887.0813188873
CAISO	20200318	29904.8357520042
CAISO	20200319	31968.8867388174
CAISO	20200320	31526.9936534118
