resource	curtailable
Customer_PV	0
BANC_Solar_for_Other	1
CAISO_Solar_for_Other	1
IID_Solar_for_Other	1
LDWP_Solar_for_Other	1
NW_Solar_for_Other	1
SW_Solar_for_Other	1
CAISO_Solar_for_CAISO	1
IID_Solar_for_CAISO	1
SW_Solar_for_CAISO	1
BANC_Wind_for_Other	1
CAISO_Wind_for_Other	1
IID_Wind_for_Other	1
LDWP_Wind_for_Other	1
NW_Wind_for_Other	1
SW_Wind_for_Other	1
CAISO_Wind_for_CAISO	1
LDWP_Wind_for_CAISO	1
NW_Wind_for_CAISO	1
SW_Wind_for_CAISO	1
Carrizo_Solar	1
Carrizo_Wind	1
Central_Valley_North_Los_Banos_Solar	1
Central_Valley_North_Los_Banos_Wind	1
Distributed_Solar	1
Distributed_Wind	1
Greater_Imperial_Solar	1
Greater_Imperial_Wind	1
Greater_Kramer_Wind	1
Humboldt_Wind	1
Inyokern_North_Kramer_Solar	1
Kern_Greater_Carrizo_Solar	1
Kern_Greater_Carrizo_Wind	1
Kramer_Inyokern_Ex_Solar	1
Kramer_Inyokern_Ex_Wind	1
North_Victor_Solar	1
Northern_California_Ex_Solar	1
Northern_California_Ex_Wind	1
NW_Ext_Tx_Wind	1
Riverside_Palm_Springs_Solar	1
Sacramento_River_Solar	1
Sacramento_River_Wind	1
SCADSNV_Solar	1
SCADSNV_Wind	1
Solano_Solar	1
Solano_subzone_Solar	1
Solano_subzone_Wind	1
Solano_Wind	1
Southern_California_Desert_Ex_Solar	1
Southern_California_Desert_Ex_Wind	1
Southern_Nevada_Solar	1
Southern_Nevada_Wind	1
SW_Ext_Tx_Wind	1
Tehachapi_Ex_Solar	1
Tehachapi_Solar	1
Tehachapi_Wind	1
Westlands_Ex_Solar	1
Westlands_Ex_Wind	1
Westlands_Solar	1
Arizona_Solar	1
Arizona_Wind	1
Baja_California_Solar	1
Baja_California_Wind	1
Idaho_Wind	1
New_Mexico_Solar	1
New_Mexico_Wind	1
Utah_Solar	1
Utah_Wind	1
Wyoming_Wind	1
Pacific_Northwest_Wind	1
Cape_Mendocino_Offshore_Wind	1
Del_Norte_Offshore_Wind	1
Diablo_Canyon_Offshore_Wind	1
Humboldt_Bay_Offshore_Wind	1
Morro_Bay_Offshore_Wind	1
