technology	thermal	dispatchable	must_run	variable	storage	hydro	variable_cost_dollars_per_mwh	firm_capacity	conventional_dr	hydrogen_electrolysis	electric_vehicle	energy_efficiency	flexible_load
BANC_CCGT	1	1	0	0	0	0	0.2444	1	0	0	0	0	0
BANC_Peaker	1	1	0	0	0	0	1.59952028051073	1	0	0	0	0	0
CAISO_CCGT1	1	1	0	0	0	0	0.254964455599587	1	0	0	0	0	0
CAISO_CCGT2	1	1	0	0	0	0	0.412134124916012	1	0	0	0	0	0
CAISO_CHP	1	0	1	0	0	0	1.48519999999999	1	0	0	0	0	0
CAISO_Coal	1	1	0	0	0	0	2.48473333333333	1	0	0	0	0	0
CAISO_Nuclear	1	0	1	0	0	0	1.8001	1	0	0	0	0	0
CAISO_Peaker1	1	1	0	0	0	0	1.33752783054194	1	0	0	0	0	0
CAISO_Peaker2	1	1	0	0	0	0	1.41302757167729	1	0	0	0	0	0
CAISO_Reciprocating_Engine	1	1	0	0	0	0	1.03399999999999	1	0	0	0	0	0
CAISO_ST	1	1	0	0	0	0	0.3008	1	0	0	0	0	0
IID_CCGT	1	1	0	0	0	0	0.244399999999999	1	0	0	0	0	0
IID_Peaker	1	1	0	0	0	0	1.12364332493702	1	0	0	0	0	0
LDWP_CCGT	1	1	0	0	0	0	0.273479509019658	1	0	0	0	0	0
LDWP_Coal	1	1	0	0	0	0	2.48473333333333	1	0	0	0	0	0
LDWP_Nuclear	1	0	1	0	0	0	1.8001	1	0	0	0	0	0
LDWP_Peaker	1	1	0	0	0	0	0.978912689738919	1	0	0	0	0	0
LDWP_ST	1	1	0	0	0	0	0.3008	1	0	0	0	0	0
NW_CCGT	1	1	0	0	0	0	0.250351633625907	1	0	0	0	0	0
NW_Coal	1	1	0	0	0	0	2.48473333333333	1	0	0	0	0	0
NW_Nuclear	1	0	1	0	0	0	1.8001	1	0	0	0	0	0
NW_Peaker	1	1	0	0	0	0	1.40035004894476	1	0	0	0	0	0
SW_CCGT	1	1	0	0	0	0	0.261081527035621	1	0	0	0	0	0
SW_Coal	1	1	0	0	0	0	2.48473333333333	1	0	0	0	0	0
SW_Nuclear	1	0	1	0	0	0	1.8001	1	0	0	0	0	0
SW_Peaker	1	1	0	0	0	0	1.50376742222971	1	0	0	0	0	0
SW_ST	1	1	0	0	0	0	0.3008	1	0	0	0	0	0
CAISO_Advanced_CCGT	1	1	0	0	0	0	0.254964455599587	1	0	0	0	0	0
CAISO_Aero_CT	1	1	0	0	0	0	0.254964455599587	1	0	0	0	0	0
CAISO_Conventional_DR	1	1	0	0	0	0	600	1	1	0	0	0	0
Wind	0	0	0	1	0	0	0	0	0	0	0	0	0
Solar	0	0	0	1	0	0	0	0	0	0	0	0	0
Geothermal	0	0	1	0	0	0	1.09	1	0	0	0	0	0
Small_Hydro	0	0	1	0	0	0	0	1	0	0	0	0	0
Biomass	0	0	1	0	0	0	1.55	1	0	0	0	0	0
Customer_PV	0	0	0	1	0	0	0	0	0	0	0	0	0
Hydro	0	0	0	0	0	1	0	1	0	0	0	0	0
Hydro_NW_CAISO	0	0	0	0	0	1	0	1	0	0	0	0	0
Li_Battery	0	0	0	0	1	0	0	0	0	0	0	0	0
Flow_Battery	0	0	0	0	1	0	0	0	0	0	0	0	0
Pumped_Hydro	0	0	0	0	1	0	0	0	0	0	0	0	0
Hydrogen_Electrolysis	0	0	0	0	0	0	0	0	0	1	0	0	0
Electric_Vehicle	0	0	0	0	0	0	0	0	0	0	1	0	0
Energy_Efficiency	0	0	0	0	0	0	0	0	0	0	0	1	0
Flexible_Load	0	0	0	0	0	0	0	0	0	0	0	0	1
BTM_Li_Battery	0	0	0	0	1	0	0	0	0	0	0	0	0
Offshore_Wind	0	0	0	1	0	0	0	0	0	0	0	0	0
