fuel	period	month	price
CA_Natural_Gas	2020	1	5.68026608429901
CA_Natural_Gas	2020	2	5.7577960832412
CA_Natural_Gas	2020	3	5.33506894499015
CA_Natural_Gas	2020	4	5.32817356378742
CA_Natural_Gas	2020	5	5.50876792012307
CA_Natural_Gas	2020	6	5.29812627488086
CA_Natural_Gas	2020	7	5.31551893320216
CA_Natural_Gas	2020	8	5.32485929189424
CA_Natural_Gas	2020	9	4.99742335825694
CA_Natural_Gas	2020	10	5.01205625562509
CA_Natural_Gas	2020	11	4.9369619353041
CA_Natural_Gas	2020	12	5.24806874522534
CA_Natural_Gas	2022	1	5.77626803197528
CA_Natural_Gas	2022	2	5.85398626063354
CA_Natural_Gas	2022	3	5.43023281243416
CA_Natural_Gas	2022	4	5.42332069041287
CA_Natural_Gas	2022	5	5.60435349928148
CA_Natural_Gas	2022	6	5.39320045177412
CA_Natural_Gas	2022	7	5.41063533652625
CA_Natural_Gas	2022	8	5.41999837202844
CA_Natural_Gas	2022	9	5.09176747936031
CA_Natural_Gas	2022	10	5.10643590292676
CA_Natural_Gas	2022	11	5.03115926630518
CA_Natural_Gas	2022	12	5.34302139090845
CA_Natural_Gas	2026	1	6.00708648211174
CA_Natural_Gas	2026	2	6.08531041079436
CA_Natural_Gas	2026	3	5.65879966700589
CA_Natural_Gas	2026	4	5.6518425689174
CA_Natural_Gas	2026	5	5.83405332918085
CA_Natural_Gas	2026	6	5.62152634272623
CA_Natural_Gas	2026	7	5.63907467347161
CA_Natural_Gas	2026	8	5.64849863274115
CA_Natural_Gas	2026	9	5.31813199440204
CA_Natural_Gas	2026	10	5.33289586304338
CA_Natural_Gas	2026	11	5.25712941344446
CA_Natural_Gas	2026	12	5.57102077477542
CA_Natural_Gas	2030	1	6.2752151841878
CA_Natural_Gas	2030	2	6.35377972248211
CA_Natural_Gas	2030	3	5.9254118275473
CA_Natural_Gas	2030	4	5.9184244362414
CA_Natural_Gas	2030	5	6.10142859485935
CA_Natural_Gas	2030	6	5.88797620443245
CA_Natural_Gas	2030	7	5.90560094568573
CA_Natural_Gas	2030	8	5.91506593959981
CA_Natural_Gas	2030	9	5.58326078935908
CA_Natural_Gas	2030	10	5.59808894415493
CA_Natural_Gas	2030	11	5.52199258551907
CA_Natural_Gas	2030	12	5.83725072063009
NW_Natural_Gas	2020	1	4.93466863906069
NW_Natural_Gas	2020	2	5.01319460622599
NW_Natural_Gas	2020	3	4.58503701779454
NW_Natural_Gas	2020	4	4.57805305693675
NW_Natural_Gas	2020	5	4.76096736996834
NW_Natural_Gas	2020	6	4.54761977363641
NW_Natural_Gas	2020	7	4.56523586205238
NW_Natural_Gas	2020	8	4.57469620914348
NW_Natural_Gas	2020	9	4.2430539580877
NW_Natural_Gas	2020	10	4.25787483302569
NW_Natural_Gas	2020	11	4.18181583377015
NW_Natural_Gas	2020	12	4.49691919342569
NW_Natural_Gas	2022	1	4.94480855703616
NW_Natural_Gas	2022	2	5.02349588191851
NW_Natural_Gas	2022	3	4.59445850131765
NW_Natural_Gas	2022	4	4.58746018958943
NW_Natural_Gas	2022	5	4.77075036091391
NW_Natural_Gas	2022	6	4.55696437098653
NW_Natural_Gas	2022	7	4.57461665751521
NW_Natural_Gas	2022	8	4.58409644403589
NW_Natural_Gas	2022	9	4.25177272367207
NW_Natural_Gas	2022	10	4.266624053027
NW_Natural_Gas	2022	11	4.19040876526049
NW_Natural_Gas	2022	12	4.5061596095709
NW_Natural_Gas	2026	1	4.97609822055986
NW_Natural_Gas	2026	2	5.05528346156793
NW_Natural_Gas	2026	3	4.62353122656508
NW_Natural_Gas	2026	4	4.61648863105586
NW_Natural_Gas	2026	5	4.80093862236564
NW_Natural_Gas	2026	6	4.58579984160445
NW_Natural_Gas	2026	7	4.60356382792889
NW_Natural_Gas	2026	8	4.61310360045856
NW_Natural_Gas	2026	9	4.27867700851312
NW_Natural_Gas	2026	10	4.29362231382142
NW_Natural_Gas	2026	11	4.21692475243762
NW_Natural_Gas	2026	12	4.53467359880653
NW_Natural_Gas	2030	1	5.00323397366844
NW_Natural_Gas	2030	2	5.08285102913326
NW_Natural_Gas	2030	3	4.64874435466121
NW_Natural_Gas	2030	4	4.6416633543367
NW_Natural_Gas	2030	5	4.82711919183425
NW_Natural_Gas	2030	6	4.61080721219713
NW_Natural_Gas	2030	7	4.62866806942841
NW_Natural_Gas	2030	8	4.6382598644264
NW_Natural_Gas	2030	9	4.30200957105271
NW_Natural_Gas	2030	10	4.31703637638312
