zone	timepoint_id	input_load_mw
CAISO	20200101	22776.6673060459
CAISO	20200102	21411.8667807233
CAISO	20200103	20440.2536251825
CAISO	20200104	19886.209930577
CAISO	20200105	19760.8929066814
CAISO	20200106	20048.7018228062
CAISO	20200107	20536.4285006116
CAISO	20200108	20579.9342874038
CAISO	20200109	21287.3741897668
CAISO	20200110	22043.9974891193
CAISO	20200111	22552.9522645995
CAISO	20200112	22737.6599487541
CAISO	20200113	22749.7427830966
CAISO	20200114	22556.0470771461
CAISO	20200115	22336.5672456303
CAISO	20200116	22258.5943708389
CAISO	20200117	23069.6932120927
CAISO	20200118	27169.9264417011
CAISO	20200119	28081.1185390463
CAISO	20200120	27700.7619226795
CAISO	20200121	27167.4102183143
CAISO	20200122	26448.705287027
CAISO	20200123	24516.5386220263
CAISO	20200124	22336.5089094755
CAISO	20200201	20886.9052497329
CAISO	20200202	19984.3413396963
CAISO	20200203	19525.9842934026
CAISO	20200204	19393.3616189144
CAISO	20200205	19925.1756772356
CAISO	20200206	21589.4905404264
CAISO	20200207	24062.8959231913
CAISO	20200208	25439.0308922432
CAISO	20200209	26569.932594482
CAISO	20200210	27256.1489921684
CAISO	20200211	27794.695074146
CAISO	20200212	27806.9568687125
CAISO	20200213	27567.003402888
CAISO	20200214	27364.1241880246
CAISO	20200215	27266.0707521358
CAISO	20200216	26949.3266456072
CAISO	20200217	27115.5390831948
CAISO	20200218	30652.5170994745
CAISO	20200219	31233.1028759528
CAISO	20200220	30599.6895695398
CAISO	20200221	29707.1606276896
CAISO	20200222	28535.4025900293
CAISO	20200223	26263.4460952487
CAISO	20200224	23940.5617996072
CAISO	20200301	21250.3707682011
CAISO	20200302	20346.5612303128
CAISO	20200303	19853.8851926387
CAISO	20200304	19776.3722990983
CAISO	20200305	20417.2136493563
CAISO	20200306	22046.4620784676
CAISO	20200307	24543.8817157117
CAISO	20200308	26067.7789447888
CAISO	20200309	27253.8716693406
CAISO	20200310	28010.0520938012
CAISO	20200311	28224.7342474979
CAISO	20200312	28165.0712005895
CAISO	20200313	27980.1725440346
CAISO	20200314	27875.0486648192
CAISO	20200315	27506.577545874
CAISO	20200316	27254.6159924839
CAISO	20200317	27376.5500182078
CAISO	20200318	29359.0799229983
CAISO	20200319	31386.354557785
CAISO	20200320	30952.6693109862
CAISO	20200321	30134.428747744
CAISO	20200322	28989.8922511126
CAISO	20200323	26564.6611721117
CAISO	20200324	24030.8981332565
CAISO	20200401	22221.4319436488
CAISO	20200402	21212.9175821871
CAISO	20200403	20754.1900572957
CAISO	20200404	20457.3634769447
CAISO	20200405	20907.9168195501
CAISO	20200406	22686.1701967321
CAISO	20200407	25068.6978367671
CAISO	20200408	26664.4181976928
CAISO	20200409	27469.0873656487
CAISO	20200410	28237.2928101399
CAISO	20200411	29150.9095901301
CAISO	20200412	29722.507821822
CAISO	20200413	29804.2593532324
CAISO	20200414	30242.3106031019
CAISO	20200415	30182.9072338514
CAISO	20200416	29471.4812064555
CAISO	20200417	29024.1501156744
CAISO	20200418	29224.4467400025
CAISO	20200419	31535.1108454942
CAISO	20200420	31480.2105815339
CAISO	20200421	30829.4379961185
CAISO	20200422	28862.9115174819
CAISO	20200423	26430.1638182456
CAISO	20200424	23978.7957641133
CAISO	20200501	21617.3611351513
CAISO	20200502	20942.5142641941
CAISO	20200503	20680.7219859919
CAISO	20200504	20917.5593124723
CAISO	20200505	22479.3172335469
CAISO	20200506	25556.5269269742
CAISO	20200507	27545.1840736308
CAISO	20200508	28245.0021206025
CAISO	20200509	28916.0002143808
CAISO	20200510	29467.8830044776
CAISO	20200511	29549.8820329046
CAISO	20200512	29459.2472329836
CAISO	20200513	29333.8596189125
CAISO	20200514	29001.516509972
CAISO	20200515	28644.1592959896
CAISO	20200516	28314.3590834215
CAISO	20200517	28203.7566527826
CAISO	20200518	28558.1321488727
CAISO	20200519	30233.0933596112
CAISO	20200520	30495.5343480879
CAISO	20200521	29177.4267816634
CAISO	20200522	26868.0493036093
CAISO	20200523	24283.2635123695
CAISO	20200524	22647.1869717329
CAISO	20200601	20618.1083451053
CAISO	20200602	20059.0155116132
CAISO	20200603	19906.0298942145
CAISO	20200604	20413.1594539493
CAISO	20200605	21879.8935395016
CAISO	20200606	24549.7183973574
CAISO	20200607	26320.756956985
CAISO	20200608	27605.4695787625
CAISO	20200609	28413.7656318558
CAISO	20200610	29159.8884323033
CAISO	20200611	29449.0148008903
CAISO	20200612	29681.8836130026
CAISO	20200613	29952.4737467214
CAISO	20200614	29958.3363882358
CAISO	20200615	29747.3587686698
CAISO	20200616	29059.0970984853
CAISO	20200617	28524.0695915068
CAISO	20200618	28256.9312086973
CAISO	20200619	29855.3070946307
CAISO	20200620	30652.2688376616
CAISO	20200621	29650.6452259258
CAISO	20200622	27218.1056784114
CAISO	20200623	24685.7063528395
CAISO	20200624	22898.1245406972
CAISO	20200701	21447.6853169101
CAISO	20200702	20371.2548146541
CAISO	20200703	19860.1123496497
CAISO	20200704	19883.5771066348
CAISO	20200705	20092.1704711105
CAISO	20200706	20947.7421237154
CAISO	20200707	21353.4990249484
CAISO	20200708	22649.4359353973
CAISO	20200709	23145.4926854497
CAISO	20200710	23555.9072156342
CAISO	20200711	23742.9945962994
CAISO	20200712	23560.5647275696
CAISO	20200713	23555.6495938994
CAISO	20200714	23336.0060721065
CAISO	20200715	23086.2536371302
CAISO	20200716	22832.6780554928
CAISO	20200717	23002.7399550544
CAISO	20200718	23374.3656366358
CAISO	20200719	25359.4692867932
CAISO	20200720	26996.211900421
CAISO	20200721	26709.8815940176
CAISO	20200722	24999.7780809899
CAISO	20200723	23178.5905012335
CAISO	20200724	21607.3313434855
CAISO	20200801	21390.5434836738
CAISO	20200802	20557.9861625511
CAISO	20200803	20263.166351941
CAISO	20200804	20264.1825315834
CAISO	20200805	20492.1633037642
CAISO	20200806	20711.0116717366
CAISO	20200807	21124.9316920034
CAISO	20200808	22159.6487933724
CAISO	20200809	22997.5361529629
CAISO	20200810	23675.2928315028
CAISO	20200811	24296.0459108359
CAISO	20200812	24262.5929644721
CAISO	20200813	24306.6565450044
CAISO	20200814	24018.6469013038
CAISO	20200815	23864.8111149741
CAISO	20200816	23953.0661428749
CAISO	20200817	24350.6749855023
CAISO	20200818	24765.1570420109
CAISO	20200819	26261.4939400225
CAISO	20200820	28250.2710619808
CAISO	20200821	27664.9665209663
CAISO	20200822	25726.2956749936
CAISO	20200823	23324.5062539618
CAISO	20200824	21830.7967270344
