resource	period	day_id	hydrogen_electrolysis_load_min_mw	hydrogen_electrolysis_load_daily_mwh
Hydrogen_electrolysis	2020	1	0	0
Hydrogen_electrolysis	2020	2	0	0
Hydrogen_electrolysis	2020	3	0	0
Hydrogen_electrolysis	2020	4	0	0
Hydrogen_electrolysis	2020	5	0	0
Hydrogen_electrolysis	2020	6	0	0
Hydrogen_electrolysis	2020	7	0	0
Hydrogen_electrolysis	2020	8	0	0
Hydrogen_electrolysis	2020	9	0	0
Hydrogen_electrolysis	2020	10	0	0
Hydrogen_electrolysis	2020	11	0	0
Hydrogen_electrolysis	2020	12	0	0
Hydrogen_electrolysis	2020	13	0	0
Hydrogen_electrolysis	2020	14	0	0
Hydrogen_electrolysis	2020	15	0	0
Hydrogen_electrolysis	2020	16	0	0
Hydrogen_electrolysis	2020	17	0	0
Hydrogen_electrolysis	2020	18	0	0
Hydrogen_electrolysis	2020	19	0	0
Hydrogen_electrolysis	2020	20	0	0
Hydrogen_electrolysis	2020	21	0	0
Hydrogen_electrolysis	2020	22	0	0
Hydrogen_electrolysis	2020	23	0	0
Hydrogen_electrolysis	2020	24	0	0
Hydrogen_electrolysis	2020	25	0	0
Hydrogen_electrolysis	2020	26	0	0
Hydrogen_electrolysis	2020	27	0	0
Hydrogen_electrolysis	2020	28	0	0
Hydrogen_electrolysis	2020	29	0	0
Hydrogen_electrolysis	2020	30	0	0
Hydrogen_electrolysis	2020	31	0	0
Hydrogen_electrolysis	2020	32	0	0
Hydrogen_electrolysis	2020	33	0	0
Hydrogen_electrolysis	2020	34	0	0
Hydrogen_electrolysis	2020	35	0	0
Hydrogen_electrolysis	2020	36	0	0
Hydrogen_electrolysis	2020	37	0	0
Hydrogen_electrolysis	2022	1	0	0
Hydrogen_electrolysis	2022	2	0	0
Hydrogen_electrolysis	2022	3	0	0
Hydrogen_electrolysis	2022	4	0	0
Hydrogen_electrolysis	2022	5	0	0
Hydrogen_electrolysis	2022	6	0	0
Hydrogen_electrolysis	2022	7	0	0
Hydrogen_electrolysis	2022	8	0	0
Hydrogen_electrolysis	2022	9	0	0
