storage_resource	period	planned_storage_energy_capacity_mwh	planned_storage_energy_capacity_fixed_o_and_m_dollars_per_kwh_yr
CAISO_Existing_Pumped_Storage	2020	252821.124454148	0
CAISO_Existing_Pumped_Storage	2022	252821.124454148	0
CAISO_Existing_Pumped_Storage	2026	252821.124454148	0
CAISO_Existing_Pumped_Storage	2030	252821.124454148	0
CAISO_New_Pumped_Storage	2020	0	0
CAISO_New_Pumped_Storage	2022	0	0
CAISO_New_Pumped_Storage	2026	0	0
CAISO_New_Pumped_Storage	2030	0	0
CAISO_New_Flow_Battery	2020	0	0
CAISO_New_Flow_Battery	2022	0	0
CAISO_New_Flow_Battery	2026	0	0
CAISO_New_Flow_Battery	2030	0	0
CAISO_New_Flow_Battery_2	2020	0	0
CAISO_New_Flow_Battery_2	2022	0	0
CAISO_New_Flow_Battery_2	2026	0	0
CAISO_New_Flow_Battery_2	2030	0	0
CAISO_New_Flow_Battery_3	2020	0	0
CAISO_New_Flow_Battery_3	2022	0	0
CAISO_New_Flow_Battery_3	2026	0	0
CAISO_New_Flow_Battery_3	2030	0	0
CAISO_New_Flow_Battery_4	2020	0	0
CAISO_New_Flow_Battery_4	2022	0	0
CAISO_New_Flow_Battery_4	2026	0	0
CAISO_New_Flow_Battery_4	2030	0	0
CAISO_New_Flow_Battery_5	2020	0	0
CAISO_New_Flow_Battery_5	2022	0	0
CAISO_New_Flow_Battery_5	2026	0	0
CAISO_New_Flow_Battery_5	2030	0	0
CAISO_New_Li_Battery	2020	3332.84	0
CAISO_New_Li_Battery	2022	5128.17333333333	0
CAISO_New_Li_Battery	2026	5917.24	0
CAISO_New_Li_Battery	2030	5917.24	0
CAISO_BTM_Li_Battery	2020	1804.97119731386	0
CAISO_BTM_Li_Battery	2022	2355.89465681322	0
CAISO_BTM_Li_Battery	2026	3301.05157581195	0
CAISO_BTM_Li_Battery	2030	4117.65849481068	0
CAISO_New_Li_Battery_2	2020	0	0
CAISO_New_Li_Battery_2	2022	0	0
CAISO_New_Li_Battery_2	2026	0	0
CAISO_New_Li_Battery_2	2030	0	0
CAISO_New_Li_Battery_3	2020	0	0
CAISO_New_Li_Battery_3	2022	0	0
CAISO_New_Li_Battery_3	2026	0	0
CAISO_New_Li_Battery_3	2030	0	0
CAISO_New_Li_Battery_4	2020	0	0
CAISO_New_Li_Battery_4	2022	0	0
CAISO_New_Li_Battery_4	2026	0	0
CAISO_New_Li_Battery_4	2030	0	0
CAISO_New_Li_Battery_5	2020	0	0
CAISO_New_Li_Battery_5	2022	0	0
CAISO_New_Li_Battery_5	2026	0	0
CAISO_New_Li_Battery_5	2030	0	0
CAISO_New_Li_Battery_6	2020	0	0
CAISO_New_Li_Battery_6	2022	0	0
CAISO_New_Li_Battery_6	2026	0	0
CAISO_New_Li_Battery_6	2030	0	0
