resource	tx_zone_of_resource	import_on_existing_tx	import_on_new_tx	tx_import_capacity_fraction
InState_Biomass	None	0	0	0
Greater_Imperial_Geothermal	Greater_Imperial	0	0	0
Inyokern_North_Kramer_Geothermal	Inyokern_North_Kramer	0	0	0
Northern_California_Ex_Geothermal	Northern_California_Ex	0	0	0
Riverside_Palm_Springs_Geothermal	Riverside_Palm_Springs	0	0	0
Solano_Geothermal	Solano	0	0	0
Southern_Nevada_Geothermal	Mountain_Pass_El_Dorado	0	0	0
Carrizo_Solar	Carrizo	0	0	0
Carrizo_Wind	Carrizo	0	0	0
Central_Valley_North_Los_Banos_Solar	Central_Valley_North_Los_Banos	0	0	0
Central_Valley_North_Los_Banos_Wind	Central_Valley_North_Los_Banos	0	0	0
Distributed_Solar	None	0	0	0
Distributed_Wind	None	0	0	0
Greater_Imperial_Solar	Greater_Imperial	0	0	0
Greater_Imperial_Wind	Greater_Imperial	0	0	0
Greater_Kramer_Wind	Greater_Kramer	0	0	0
Humboldt_Wind	Humboldt	0	0	0
Inyokern_North_Kramer_Solar	Inyokern_North_Kramer	0	0	0
Kern_Greater_Carrizo_Solar	Kern_Greater_Carrizo	0	0	0
Kern_Greater_Carrizo_Wind	Kern_Greater_Carrizo	0	0	0
Kramer_Inyokern_Ex_Solar	Kramer_Inyokern_Ex	0	0	0
Kramer_Inyokern_Ex_Wind	Kramer_Inyokern_Ex	0	0	0
North_Victor_Solar	North_Victor	0	0	0
Northern_California_Ex_Solar	Northern_California_Ex	0	0	0
Northern_California_Ex_Wind	Northern_California_Ex	0	0	0
NW_Ext_Tx_Wind	Sacramento_River	1	0	0
Riverside_Palm_Springs_Solar	Riverside_Palm_Springs	0	0	0
Sacramento_River_Solar	Sacramento_River	0	0	0
SCADSNV_Solar	SCADSNV	0	0	0
SCADSNV_Wind	SCADSNV	0	0	0
Solano_Solar	Solano	0	0	0
Solano_subzone_Solar	Solano_subzone	0	0	0
Solano_subzone_Wind	Solano_subzone	0	0	0
Solano_Wind	Solano	0	0	0
Southern_California_Desert_Ex_Solar	Southern_California_Desert_Ex	0	0	0
Southern_California_Desert_Ex_Wind	Southern_California_Desert_Ex	0	0	0
Southern_Nevada_Solar	GLW_VEA	0	0	0
Southern_Nevada_Wind	GLW_VEA	0	0	0
SW_Ext_Tx_Wind	Riverside_Palm_Springs	1	0	0
Tehachapi_Ex_Solar	Tehachapi_Ex	0	0	0
Tehachapi_Solar	Tehachapi	0	0	0
Tehachapi_Wind	Tehachapi	0	0	0
Westlands_Ex_Solar	Westlands_Ex	0	0	0
Westlands_Solar	Westlands	0	0	0
Arizona_Solar	Riverside_Palm_Springs	0	0	0
Arizona_Wind	Riverside_Palm_Springs	0	0	0
Baja_California_Solar	Greater_Imperial	0	0	0
Baja_California_Wind	Greater_Imperial	0	0	0
Idaho_Wind	Sacramento_River	0	0	0
New_Mexico_Solar	Riverside_Palm_Springs	0	0	0
New_Mexico_Wind	Riverside_Palm_Springs	0	0	0
Utah_Solar	Mountain_Pass_El_Dorado	0	0	0
Utah_Wind	Mountain_Pass_El_Dorado	0	0	0
Wyoming_Wind	Mountain_Pass_El_Dorado	0	0	0
