param,resource,period,day,hour_of_day_from,hour_of_day_to,value
maintenance_derate,NW_Nuclear,All,1,0,23,1
maintenance_derate,SW_Nuclear,All,1,0,23,1
maintenance_derate,LDWP_Nuclear,All,1,0,23,1
maintenance_derate,CAISO_Nuclear,All,1,0,23,1
maintenance_derate,CAISO_Coal,All,1,0,23,0.95
maintenance_derate,NW_Coal,All,1,0,23,0.95
maintenance_derate,SW_Coal,All,1,0,23,0.95
maintenance_derate,LDWP_Coal,All,1,0,23,0.95
maintenance_derate,CAISO_CHP,All,1,0,23,0.582003548683857
maintenance_derate,InState_Biomass,All,1,0,23,0.85
maintenance_derate,Greater_Imperial_Geothermal,All,1,0,23,0.880926233653638
maintenance_derate,Inyokern_North_Kramer_Geothermal,All,1,0,23,0.8
maintenance_derate,Southern_Nevada_Geothermal,All,1,0,23,0.843269230769231
maintenance_derate,CAISO_Biomass_for_CAISO,All,1,0,23,0.855318960829732
maintenance_derate,CAISO_Geothermal_for_CAISO,All,1,0,23,0.8
maintenance_derate,IID_Geothermal_for_CAISO,All,1,0,23,0.8
maintenance_derate,NW_Biomass_for_CAISO,All,1,0,23,0.855318960829732
maintenance_derate,NW_Geothermal_for_CAISO,All,1,0,23,0.843269230769231
maintenance_derate,CAISO_Small_Hydro_for_CAISO,All,1,0,23,0.5
maintenance_derate,BANC_Small_Hydro_for_CAISO,All,1,0,23,0.5
maintenance_derate,NW_Small_Hydro_for_CAISO,All,1,0,23,0.5
maintenance_derate,NW_Nuclear,All,2,0,23,1
maintenance_derate,SW_Nuclear,All,2,0,23,1
maintenance_derate,LDWP_Nuclear,All,2,0,23,1
maintenance_derate,CAISO_Nuclear,All,2,0,23,1
maintenance_derate,CAISO_Coal,All,2,0,23,0.95
maintenance_derate,NW_Coal,All,2,0,23,0.95
maintenance_derate,SW_Coal,All,2,0,23,0.95
maintenance_derate,LDWP_Coal,All,2,0,23,0.95
maintenance_derate,CAISO_CHP,All,2,0,23,0.582003548683857
maintenance_derate,InState_Biomass,All,2,0,23,0.85
maintenance_derate,Greater_Imperial_Geothermal,All,2,0,23,0.880926233653638
maintenance_derate,Inyokern_North_Kramer_Geothermal,All,2,0,23,0.8
maintenance_derate,Southern_Nevada_Geothermal,All,2,0,23,0.843269230769231
maintenance_derate,CAISO_Biomass_for_CAISO,All,2,0,23,0.855318960829732
maintenance_derate,CAISO_Geothermal_for_CAISO,All,2,0,23,0.8
maintenance_derate,IID_Geothermal_for_CAISO,All,2,0,23,0.8
maintenance_derate,NW_Biomass_for_CAISO,All,2,0,23,0.855318960829732
maintenance_derate,NW_Geothermal_for_CAISO,All,2,0,23,0.843269230769231
maintenance_derate,CAISO_Small_Hydro_for_CAISO,All,2,0,23,0.5
maintenance_derate,BANC_Small_Hydro_for_CAISO,All,2,0,23,0.5
maintenance_derate,NW_Small_Hydro_for_CAISO,All,2,0,23,0.5
maintenance_derate,NW_Nuclear,All,3,0,23,1
maintenance_derate,SW_Nuclear,All,3,0,23,1
maintenance_derate,LDWP_Nuclear,All,3,0,23,1
maintenance_derate,CAISO_Nuclear,All,3,0,23,1
maintenance_derate,CAISO_Coal,All,3,0,23,0.95
maintenance_derate,NW_Coal,All,3,0,23,0.95
maintenance_derate,SW_Coal,All,3,0,23,0.95
maintenance_derate,LDWP_Coal,All,3,0,23,0.95
maintenance_derate,CAISO_CHP,All,3,0,23,0.560422659668415
