resource	day_id	hr_of_day	cap_factor	downward_lf_req	upward_lf_req
Customer_PV	1	0	0	0	0
Customer_PV	1	1	0	0	0
Customer_PV	1	2	0	0	0
Customer_PV	1	3	0	0	0
Customer_PV	1	4	0	0	0
Customer_PV	1	5	0	0	0
Customer_PV	1	6	0	0	0
Customer_PV	1	7	1.60023116052533E-02	0	0
Customer_PV	1	8	0.2038132717745	0	0
Customer_PV	1	9	0.395105184914586	0	0
Customer_PV	1	10	0.544898724902218	0	0
Customer_PV	1	11	0.625790585167465	0	0
Customer_PV	1	12	0.642211519591931	0	0
Customer_PV	1	13	0.60941526702446	0	0
Customer_PV	1	14	0.526013790466392	0	0
Customer_PV	1	15	0.363137705451705	0	0
Customer_PV	1	16	0.117719100509775	0	0
Customer_PV	1	17	0	0	0
Customer_PV	1	18	0	0	0
Customer_PV	1	19	0	0	0
Customer_PV	1	20	0	0	0
Customer_PV	1	21	0	0	0
Customer_PV	1	22	0	0	0
Customer_PV	1	23	0	0	0
Customer_PV	2	0	0	0	0
Customer_PV	2	1	0	0	0
Customer_PV	2	2	0	0	0
Customer_PV	2	3	0	0	0
Customer_PV	2	4	0	0	0
Customer_PV	2	5	0	0	0
Customer_PV	2	6	0	0	0
Customer_PV	2	7	1.58489806459931E-02	0	0
Customer_PV	2	8	0.179559776508135	0	0
Customer_PV	2	9	0.342608706191031	0	0
Customer_PV	2	10	0.489947376791013	0	0
Customer_PV	2	11	0.570812588896378	0	0
Customer_PV	2	12	0.575227696964911	0	0
Customer_PV	2	13	0.504171395139382	0	0
Customer_PV	2	14	0.389091051851773	0	0
Customer_PV	2	15	0.221941214682343	0	0
Customer_PV	2	16	5.93773091869429E-02	0	0
Customer_PV	2	17	0	0	0
Customer_PV	2	18	0	0	0
Customer_PV	2	19	0	0	0
Customer_PV	2	20	0	0	0
Customer_PV	2	21	0	0	0
Customer_PV	2	22	0	0	0
Customer_PV	2	23	0	0	0
Customer_PV	3	0	0	0	0
Customer_PV	3	1	0	0	0
Customer_PV	3	2	0	0	0
Customer_PV	3	3	0	0	0
Customer_PV	3	4	0	0	0
Customer_PV	3	5	0	0	0
Customer_PV	3	6	0	0	0
Customer_PV	3	7	3.81464814631696E-02	0	0
Customer_PV	3	8	0.185534656152442	0	0
Customer_PV	3	9	0.336952225562938	0	0
Customer_PV	3	10	0.46433702265402	0	0
Customer_PV	3	11	0.546120633532698	0	0
Customer_PV	3	12	0.536905576191643	0	0
Customer_PV	3	13	0.473690990721662	0	0
Customer_PV	3	14	0.420154089821226	0	0
Customer_PV	3	15	0.304842814730973	0	0
Customer_PV	3	16	0.151647414020784	0	0
Customer_PV	3	17	9.05725814068485E-04	0	0
Customer_PV	3	18	0	0	0
Customer_PV	3	19	0	0	0
Customer_PV	3	20	0	0	0
Customer_PV	3	21	0	0	0
Customer_PV	3	22	0	0	0
Customer_PV	3	23	0	0	0
Customer_PV	4	0	0	0	0
Customer_PV	4	1	0	0	0
Customer_PV	4	2	0	0	0
Customer_PV	4	3	0	0	0
Customer_PV	4	4	0	0	0
Customer_PV	4	5	0	0	0
Customer_PV	4	6	0	0	0
Customer_PV	4	7	9.36388640801357E-02	0	0
Customer_PV	4	8	0.300633061567997	0	0
Customer_PV	4	9	0.492470588961865	0	0
Customer_PV	4	10	0.628074986377887	0	0
Customer_PV	4	11	0.729016074488173	0	0
Customer_PV	4	12	0.768177815399653	0	0
Customer_PV	4	13	0.736842370035663	0	0
Customer_PV	4	14	0.641628191113217	0	0
Customer_PV	4	15	0.48918062343057	0	0
Customer_PV	4	16	0.276053503176669	0	0
Customer_PV	4	17	0.065557869297155	0	0
Customer_PV	4	18	0	0	0
Customer_PV	4	19	0	0	0
Customer_PV	4	20	0	0	0
Customer_PV	4	21	0	0	0
Customer_PV	4	22	0	0	0
Customer_PV	4	23	0	0	0
Customer_PV	5	0	0	0	0
Customer_PV	5	1	0	0	0
Customer_PV	5	2	0	0	0
Customer_PV	5	3	0	0	0
Customer_PV	5	4	0	0	0
Customer_PV	5	5	0	0	0
Customer_PV	5	6	6.88873849349805E-03	0	0
Customer_PV	5	7	0.082471824547395	0	0
Customer_PV	5	8	0.172360971153024	0	0
Customer_PV	5	9	0.24910036692062	0	0
