resource	period	planned_installed_capacity	min_operational_planned_capacity_mw	planned_capacity_fixed_o_and_m_dollars_per_kw_yr
CAISO_CHP	2020	2296.02	0	0
CAISO_CHP	2022	2296.02	0	0
CAISO_CHP	2026	2296.02	0	0
CAISO_CHP	2030	2296.02	0	0
CAISO_CHP	2035	1148.01	0	0
CAISO_CHP	2040	0	0	0
CAISO_CHP	2045	0	0	0
CAISO_Nuclear	2020	2935	0	0
CAISO_Nuclear	2022	2935	0	0
CAISO_Nuclear	2026	635	0	0
CAISO_Nuclear	2030	635	0	0
CAISO_Nuclear	2035	635	0	0
CAISO_Nuclear	2040	635	0	0
CAISO_Nuclear	2045	635	0	0
CAISO_CCGT1	2020	12049.47	8412	11.1149155693037
CAISO_CCGT1	2022	13333.47	8412	11.1149155693037
CAISO_CCGT1	2026	13333.47	8412	11.1149155693037
CAISO_CCGT1	2030	13333.47	8412	11.1149155693037
CAISO_CCGT1	2035	13333.47	8412	11.1149155693037
CAISO_CCGT1	2040	13333.47	8412	11.1149155693037
CAISO_CCGT1	2045	13333.47	8412	11.1149155693037
CAISO_CCGT2	2020	2927.93	1885	11.1149155693037
CAISO_CCGT2	2022	2927.93	1885	11.1149155693037
CAISO_CCGT2	2026	2927.93	1885	11.1149155693037
CAISO_CCGT2	2030	2927.93	1885	11.1149155693037
CAISO_CCGT2	2035	2927.93	1885	11.1149155693037
CAISO_CCGT2	2040	2927.93	1885	11.1149155693037
CAISO_CCGT2	2045	2927.93	1885	11.1149155693037
CAISO_Coal	2020	480	0	0
CAISO_Coal	2022	480	0	0
CAISO_Coal	2026	0	0	0
CAISO_Coal	2030	0	0	0
CAISO_Coal	2035	0	0	0
CAISO_Coal	2040	0	0	0
CAISO_Coal	2045	0	0	0
CAISO_Peaker1	2020	4913.93	3209	13.6946488516332
CAISO_Peaker1	2022	4913.93	3209	13.6946488516332
CAISO_Peaker1	2026	4913.93	3163	13.6946488516332
CAISO_Peaker1	2030	4913.93	3163	13.6946488516332
CAISO_Peaker1	2035	4913.93	3163	13.6946488516332
CAISO_Peaker1	2040	4913.93	3163	13.6946488516332
CAISO_Peaker1	2045	4913.93	3163	13.6946488516332
CAISO_Peaker2	2020	3682.71	1859	13.6946488516332
CAISO_Peaker2	2022	3682.71	1859	13.6946488516332
CAISO_Peaker2	2026	3682.71	1309	13.6946488516332
CAISO_Peaker2	2030	3682.71	1309	13.6946488516332
CAISO_Peaker2	2035	3682.71	1309	13.6946488516332
CAISO_Peaker2	2040	3682.71	1309	13.6946488516332
CAISO_Peaker2	2045	3682.71	1309	13.6946488516332
