timepoint_id	upward_reg_mw	downward_reg_mw	upward_lf_reserves_mw	downward_lf_reserves_mw	min_gen_committed_mw	freq_resp_total_req_mw	freq_resp_partial_req_mw
20200101	221.861505216401	221.861505216401	982.114722799029	984.022318152062	0	770	385
20200102	209.310985863649	209.310985863649	982.114722799029	984.022318152062	0	770	385
20200103	200.797533203433	200.797533203433	982.114722799029	984.022318152062	0	770	385
20200104	196.08283017529	196.08283017529	982.114722799029	984.022318152062	0	770	385
20200105	195.671231054032	195.671231054032	982.114722799029	984.022318152062	0	770	385
20200106	199.25377828783	199.25377828783	982.114722799029	984.022318152062	0	770	385
20200107	204.624145740236	204.624145740236	1011.1948996015	1724.24815705593	0	770	385
20200108	205.321678708178	205.321678708178	2138.78306769993	2702.23391741858	0	770	385
20200109	212.41826586297	212.41826586297	3152.88196073391	2839.46561321855	0	770	385
20200110	220.185245198877	220.185245198877	2442.48986680683	2301.10713164078	0	770	385
20200111	225.31604470172	225.31604470172	2071.23857964866	2089.3563825968	0	770	385
20200112	226.960383494993	226.960383494993	2042.55085401703	1961.81415797197	0	770	385
20200113	226.459598407643	226.459598407643	2051.77002156241	1940.31595096778	0	770	385
20200114	224.185730830214	224.185730830214	2065.8378298466	2086.45187245385	0	770	385
20200115	221.557484072571	221.557484072571	2353.35688391549	2264.78166986152	0	770	385
20200116	220.992017897033	220.992017897033	3076.08151861391	2737.8804054443	0	770	385
20200117	230.580406785507	230.580406785507	2306.29445081763	2804.08428622299	0	770	385
20200118	271.387509671144	271.387509671144	1010.62495036745	1723.37841624275	0	770	385
20200119	280.179409243082	280.179409243082	1169.82472030606	1171.27408024004	0	770	385
20200120	276.212365661883	276.212365661883	1240.98314323183	1242.35163213298	0	770	385
20200121	269.294946844738	269.294946844738	1186.86789453357	1188.29232624572	0	770	385
20200122	257.223754539506	257.223754539506	1166.19864884461	1167.65368375547	0	770	385
20200123	237.969675287335	237.969675287335	1115.90331666068	1117.44624456845	0	770	385
20200124	216.630476516267	216.630476516267	1002.22631239303	1004.06124321212	0	770	385
20200201	202.882215582305	202.882215582305	982.114722799029	984.022318152062	0	770	385
20200202	194.974038672451	194.974038672451	982.114722799029	984.022318152062	0	770	385
20200203	191.615328283265	191.615328283265	982.114722799029	984.022318152062	0	770	385
20200204	191.133047835512	191.133047835512	982.114722799029	984.022318152062	0	770	385
20200205	197.321158500625	197.321158500625	982.114722799029	984.022318152062	0	770	385
20200206	214.728253097487	214.728253097487	982.114722799029	984.022318152062	0	770	385
20200207	240.041221860882	240.041221860882	1011.14292073075	1724.1662418526	0	770	385
20200208	254.122638339693	254.122638339693	2018.6581956186	2626.14949496544	0	770	385
20200209	265.472144068	265.472144068	3235.06770143652	2971.68931967986	0	770	385
20200210	272.532011641081	272.532011641081	2560.83187347866	2475.49148711941	0	770	385
20200211	277.960003044242	277.960003044242	2141.02151772816	2189.77211842465	0	770	385
20200212	277.872430418422	277.872430418422	2184.00065135362	2025.9237169874	0	770	385
20200213	274.840390180088	274.840390180088	2206.12300156296	2050.0836586373	0	770	385
20200214	272.474290633594	272.474290633594	2159.31651946623	2192.87193254265	0	770	385
20200215	271.065555466911	271.065555466911	2336.79905054544	2357.58061719366	0	770	385
20200216	268.102058095704	268.102058095704	3052.99671166821	2761.85706777254	0	770	385
20200217	271.21371315656	271.21371315656	2250.63352371572	2782.03872527671	0	770	385
20200218	306.363921939595	306.363921939595	1176.83266109484	1805.96208890778	0	770	385
20200219	311.835470625222	311.835470625222	1515.80886896964	1516.96851842007	0	770	385
20200220	305.326923896476	305.326923896476	1558.53556287893	1559.67071421543	0	770	385
20200221	294.802210289265	294.802210289265	1506.77742177352	1507.94209645573	0	770	385
20200222	278.1809075102	278.1809075102	1404.77394901277	1406.00446025493	0	770	385
20200223	255.514245402654	255.514245402654	1188.87631440032	1190.29712072414	0	770	385
20200224	232.740327112811	232.740327112811	1096.68064328058	1098.26243171969	0	770	385
20200301	206.554047237644	206.554047237644	982.114722799029	984.022318152062	0	770	385
20200302	198.612402005427	198.612402005427	982.114722799029	984.022318152062	0	770	385
20200303	194.894249164891	194.894249164891	982.114722799029	984.022318152062	0	770	385
20200304	194.969479407401	194.969479407401	982.114722799029	984.022318152062	0	770	385
20200305	202.251012867606	202.251012867606	982.114722799029	984.022318152062	0	770	385
20200306	219.289674178423	219.289674178423	982.114722799029	984.022318152062	0	770	385
20200307	244.861172063444	244.861172063444	1031.11961364126	1751.49130307074	0	770	385
20200308	260.443836300461	260.443836300461	2358.76820165472	2835.95656928391	0	770	385
20200309	272.33452146707	272.33452146707	3188.01946436602	2879.89803584747	0	770	385
20200310	280.014425594704	280.014425594704	2486.75964251091	2380.60116252146	0	770	385
20200311	282.203987333006	282.203987333006	2187.83749802661	2224.49344142625	0	770	385
20200312	281.400945722157	281.400945722157	2243.74875896709	2013.58485857793	0	770	385
20200313	278.981883985965	278.981883985965	2268.12608910073	2099.56068147533	0	770	385
20200314	277.585169685159	277.585169685159	2217.39804184262	2204.11076581595	0	770	385
20200315	273.460998655694	273.460998655694	2300.77430427301	2356.89796548226	0	770	385
20200316	271.25858745499	271.25858745499	2909.84037984529	2675.89706734329	0	770	385
20200317	273.788649300557	273.788649300557	2952.42699087301	3119.33108454634	0	770	385
20200318	293.328770951226	293.328770951226	1255.21273231777	1917.1522892566	0	770	385
20200319	313.404076693219	313.404076693219	1393.59244971845	1394.8315698849	0	770	385
20200320	308.899279091874	308.899279091874	1569.51223565602	1570.64148786675	0	770	385
20200321	298.972387969085	298.972387969085	1535.68825889617	1536.83609336866	0	770	385
20200322	282.820520534912	282.820520534912	1444.29960698591	1445.50335369248	0	770	385
20200323	258.592965300459	258.592965300459	1243.89558754081	1245.25985757062	0	770	385
20200324	233.667572992149	233.667572992149	1109.12591467826	1110.68216965177	0	770	385
20200401	217.251600465384	217.251600465384	982.114722799029	984.022318152062	0	770	385
20200402	208.309009534559	208.309009534559	982.114722799029	984.022318152062	0	770	385
20200403	204.670261480893	204.670261480893	982.114722799029	984.022318152062	0	770	385
20200404	202.501929693519	202.501929693519	982.114722799029	984.022318152062	0	770	385
20200405	207.7256238323	207.7256238323	982.114722799029	984.022318152062	0	770	385
20200406	226.146319896339	226.146319896339	982.114722799029	984.022318152062	0	770	385
20200407	250.42088100474	250.42088100474	1165.34496606968	1877.91715527503	0	770	385
20200408	266.43682191711	266.43682191711	2674.81198079709	2986.162428779	0	770	385
20200409	274.592328837656	274.592328837656	3082.21644724836	2721.61287988874	0	770	385
20200410	282.364284031148	282.364284031148	2464.92391003127	2284.65949104918	0	770	385
20200411	291.393436657281	291.393436657281	2173.11362099979	2141.60668795506	0	770	385
20200412	296.591775029674	296.591775029674	2242.50201791705	2116.39034314023	0	770	385
20200413	296.998891637841	296.998891637841	2283.86542324576	2229.46991869141	0	770	385
20200414	301.027613991147	301.027613991147	2322.2212794784	2289.8206418753	0	770	385
20200415	300.607981785532	300.607981785532	2519.35115309345	2433.23941359832	0	770	385
20200416	294.554373338002	294.554373338002	2939.07160089212	2650.54453928705	0	770	385
20200417	290.037776919249	290.037776919249	3299.86366876675	3123.47821558011	0	770	385
20200418	291.744156317873	291.744156317873	2181.04397719156	2669.56953779468	0	770	385
20200419	314.873299945131	314.873299945131	1390.11538451888	1960.1019441672	0	770	385
20200420	312.993036654073	312.993036654073	1577.81407579679	1578.93923752403	0	770	385
20200421	302.446181037979	302.446181037979	1562.37842168009	1563.51185802319	0	770	385
20200422	281.715077148201	281.715077148201	1465.90097728412	1467.0904280423	0	770	385
20200423	257.72850688405	257.72850688405	1228.44287432864	1229.82263489031	0	770	385
20200424	233.850453483377	233.850453483377	1103.64945517245	1105.21677209796	0	770	385
20200501	211.184786500273	211.184786500273	982.114722799029	984.022318152062	0	770	385
20200502	205.593290445447	205.593290445447	982.114722799029	984.022318152062	0	770	385
20200503	203.93240572838	203.93240572838	982.114722799029	984.022318152062	0	770	385
20200504	207.123776143291	207.123776143291	982.114722799029	984.022318152062	0	770	385
20200505	223.507538538837	223.507538538837	982.114722799029	984.022318152062	0	770	385
20200506	254.973934227177	254.973934227177	1010.61124003341	1723.32894465741	0	770	385
20200507	275.292768662381	275.292768662381	1204.76970487012	1907.2704262608	0	770	385
20200508	282.310968592712	282.310968592712	2328.04522785509	2830.16186645644	0	770	385
20200509	289.123987963546	289.123987963546	3288.0719682725	3109.72156259837	0	770	385
20200510	294.723367885748	294.723367885748	3122.84378798708	2847.91654513049	0	770	385
20200511	295.400403313292	295.400403313292	2883.77012274065	2729.01294834481	0	770	385
20200512	293.9477919165	293.9477919165	2583.53905545257	2572.94872157183	0	770	385
20200513	292.274565222443	292.274565222443	2571.02277767065	2536.67062124616	0	770	385
20200514	288.56605017092	288.56605017092	2700.19753841002	2594.05878284352	0	770	385
20200515	285.154002969	285.154002969	2825.47277212341	2636.25091353164	0	770	385
20200516	282.933145235915	282.933145235915	3179.76748778624	2869.51008597005	0	770	385
20200517	281.798387682849	281.798387682849	3226.56736290688	3173.06046385376	0	770	385
20200518	285.052214562439	285.052214562439	1780.89284119121	2388.981502679	0	770	385
20200519	301.796856331143	301.796856331143	1318.09874160281	1910.65859866119	0	770	385
20200520	303.10371997108	303.10371997108	1473.42696327346	1474.61208091286	0	770	385
20200521	285.854674602989	285.854674602989	1482.46855075449	1483.64825929584	0	770	385
20200522	261.680243868148	261.680243868148	1289.40841159962	1290.73155633711	0	770	385
20200523	236.166722116157	236.166722116157	1131.83011201244	1133.34320770079	0	770	385
20200524	220.47681796907	220.47681796907	986.553134771307	988.443940603609	0	770	385
20200601	201.407265068501	201.407265068501	982.114722799029	984.022318152062	0	770	385
20200602	197.049675157922	197.049675157922	982.114722799029	984.022318152062	0	770	385
20200603	196.33379615209	196.33379615209	982.114722799029	984.022318152062	0	770	385
20200604	202.201468216483	202.201468216483	982.114722799029	984.022318152062	0	770	385
20200605	217.586414873604	217.586414873604	982.114722799029	984.022318152062	0	770	385
20200606	244.94459651984	244.94459651984	1019.86024531822	1736.86262016129	0	770	385
20200607	263.058343756506	263.058343756506	2017.59790632251	2467.23545449099	0	770	385
20200608	275.910009457471	275.910009457471	2873.60667906515	3006.71854285826	0	770	385
20200609	284.127032688977	284.127032688977	3044.87266299652	2662.16026445385	0	770	385
20200610	291.641047712916	291.641047712916	2532.6390484951	2349.80303166364	0	770	385
20200611	294.335099608907	294.335099608907	2268.90260969463	2213.22103456591	0	770	385
20200612	296.145053110152	296.145053110152	2268.33777681511	2175.95537896475	0	770	385
20200613	298.511195081698	298.511195081698	2284.221227734	2218.96078359929	0	770	385
20200614	298.22614707592	298.22614707592	2323.34724750399	2277.19604218833	0	770	385
20200615	296.330658719844	296.330658719844	2583.56769968773	2448.95933774603	0	770	385
20200616	290.758577559045	290.758577559045	3007.0193170085	2685.92771259893	0	770	385
