resource	vintage	annual_fixed_cost_by_vintage	fixed_o_and_m_dollars_per_kw_yr
CAISO_Advanced_CCGT	2020	125.548266719295	11.1149155693037
CAISO_Advanced_CCGT	2022	126.350594599659	11.1149155693037
CAISO_Advanced_CCGT	2026	126.093849677942	11.1149155693037
CAISO_Advanced_CCGT	2030	126.938968378592	11.1149155693037
CAISO_Advanced_CCGT	2035	127.195713300308	11.1149155693037
CAISO_Advanced_CCGT	2040	126.799898212662	11.1149155693037
CAISO_Advanced_CCGT	2045	125.173847041792	11.1149155693037
CAISO_Aero_CT	2020	133.642455099548	13.6946488516332
CAISO_Aero_CT	2022	134.474160063084	13.6946488516332
CAISO_Aero_CT	2026	133.893105910477	13.6946488516332
CAISO_Aero_CT	2030	134.622271905905	13.6946488516332
CAISO_Aero_CT	2035	134.758990530048	13.6946488516332
CAISO_Aero_CT	2040	134.234902470834	13.6946488516332
CAISO_Aero_CT	2045	132.400594263585	13.6946488516332
CAISO_Reciprocating_Engine	2020	133.642455099548	13.6946488516332
CAISO_Reciprocating_Engine	2022	134.474160063084	13.6946488516332
CAISO_Reciprocating_Engine	2026	133.893105910477	13.6946488516332
CAISO_Reciprocating_Engine	2030	134.622271905905	13.6946488516332
CAISO_Reciprocating_Engine	2035	134.758990530048	13.6946488516332
CAISO_Reciprocating_Engine	2040	134.234902470834	13.6946488516332
CAISO_Reciprocating_Engine	2045	132.400594263585	13.6946488516332
InState_Biomass	2020	629.165801108592	184.754046618816
InState_Biomass	2022	626.441998592725	184.754046618816
InState_Biomass	2026	561.841426520695	184.754046618816
InState_Biomass	2030	656.625531123194	184.754046618816
InState_Biomass	2035	655.823170692164	184.754046618816
InState_Biomass	2040	652.529269975302	184.754046618816
InState_Biomass	2045	645.783107930193	184.754046618816
Greater_Imperial_Geothermal	2020	489.291215210753	148.742393677977
Greater_Imperial_Geothermal	2022	491.652857523741	148.742393677977
Greater_Imperial_Geothermal	2026	556.064084607956	148.742393677977
