fuel	period	month	price
CA_Natural_Gas	2020	1	5.68026608429901
CA_Natural_Gas	2020	2	5.7577960832412
CA_Natural_Gas	2020	3	5.33506894499015
CA_Natural_Gas	2020	4	5.32817356378742
CA_Natural_Gas	2020	5	5.50876792012307
CA_Natural_Gas	2020	6	5.29812627488086
CA_Natural_Gas	2020	7	5.31551893320216
CA_Natural_Gas	2020	8	5.32485929189424
CA_Natural_Gas	2020	9	4.99742335825694
CA_Natural_Gas	2020	10	5.01205625562509
CA_Natural_Gas	2020	11	4.9369619353041
CA_Natural_Gas	2020	12	5.24806874522534
CA_Natural_Gas	2022	1	5.77626803197528
CA_Natural_Gas	2022	2	5.85398626063354
CA_Natural_Gas	2022	3	5.43023281243416
CA_Natural_Gas	2022	4	5.42332069041287
CA_Natural_Gas	2022	5	5.60435349928148
CA_Natural_Gas	2022	6	5.39320045177412
CA_Natural_Gas	2022	7	5.41063533652625
CA_Natural_Gas	2022	8	5.41999837202844
CA_Natural_Gas	2022	9	5.09176747936031
CA_Natural_Gas	2022	10	5.10643590292676
CA_Natural_Gas	2022	11	5.03115926630518
CA_Natural_Gas	2022	12	5.34302139090845
CA_Natural_Gas	2026	1	6.00708648211174
CA_Natural_Gas	2026	2	6.08531041079436
CA_Natural_Gas	2026	3	5.65879966700589
CA_Natural_Gas	2026	4	5.6518425689174
CA_Natural_Gas	2026	5	5.83405332918085
CA_Natural_Gas	2026	6	5.62152634272623
CA_Natural_Gas	2026	7	5.63907467347161
CA_Natural_Gas	2026	8	5.64849863274115
CA_Natural_Gas	2026	9	5.31813199440204
CA_Natural_Gas	2026	10	5.33289586304338
CA_Natural_Gas	2026	11	5.25712941344446
CA_Natural_Gas	2026	12	5.57102077477542
CA_Natural_Gas	2030	1	6.2752151841878
CA_Natural_Gas	2030	2	6.35377972248211
CA_Natural_Gas	2030	3	5.9254118275473
CA_Natural_Gas	2030	4	5.9184244362414
CA_Natural_Gas	2030	5	6.10142859485935
CA_Natural_Gas	2030	6	5.88797620443245
CA_Natural_Gas	2030	7	5.90560094568573
CA_Natural_Gas	2030	8	5.91506593959981
CA_Natural_Gas	2030	9	5.58326078935908
CA_Natural_Gas	2030	10	5.59808894415493
CA_Natural_Gas	2030	11	5.52199258551907
CA_Natural_Gas	2030	12	5.83725072063009
CA_Natural_Gas	2035	1	6.74236660842789
CA_Natural_Gas	2035	2	6.82220843246697
CA_Natural_Gas	2035	3	6.38687622236404
CA_Natural_Gas	2035	4	6.37977523151945
CA_Natural_Gas	2035	5	6.56575463327014
CA_Natural_Gas	2035	6	6.34883197875973
CA_Natural_Gas	2035	7	6.36674325935057
CA_Natural_Gas	2035	8	6.37636213314561
CA_Natural_Gas	2035	9	6.03916256453692
CA_Natural_Gas	2035	10	6.0542317923557
CA_Natural_Gas	2035	11	5.976898275121
CA_Natural_Gas	2035	12	6.29728181070714
CA_Natural_Gas	2040	1	7.32137636151398
CA_Natural_Gas	2040	2	7.40249547129783
CA_Natural_Gas	2040	3	6.96019894602679
CA_Natural_Gas	2040	4	6.9529843556435
CA_Natural_Gas	2040	5	7.14193900052693
CA_Natural_Gas	2040	6	6.92154608193301
CA_Natural_Gas	2040	7	6.9397439018614
CA_Natural_Gas	2040	8	6.94951665553741
CA_Natural_Gas	2040	9	6.60692266856076
CA_Natural_Gas	2040	10	6.62223296940248
CA_Natural_Gas	2040	11	6.54366229356894
CA_Natural_Gas	2040	12	6.8691712296302
CA_Natural_Gas	2045	1	8.04458552376671
CA_Natural_Gas	2045	2	8.12698191929533
CA_Natural_Gas	2045	3	7.67772107885618
CA_Natural_Gas	2045	4	7.67039288893419
CA_Natural_Gas	2045	5	7.86232277695036
CA_Natural_Gas	2045	6	7.63845959427294
CA_Natural_Gas	2045	7	7.65694395353888
CA_Natural_Gas	2045	8	7.66687058709585
CA_Natural_Gas	2045	9	7.31888218175125
CA_Natural_Gas	2045	10	7.3344335556159
CA_Natural_Gas	2045	11	7.25462572118352
CA_Natural_Gas	2045	12	7.5852600577199
NW_Natural_Gas	2020	1	4.93466863906069
NW_Natural_Gas	2020	2	5.01319460622599
NW_Natural_Gas	2020	3	4.58503701779454
NW_Natural_Gas	2020	4	4.57805305693675
NW_Natural_Gas	2020	5	4.76096736996834
NW_Natural_Gas	2020	6	4.54761977363641
NW_Natural_Gas	2020	7	4.56523586205238
NW_Natural_Gas	2020	8	4.57469620914348
NW_Natural_Gas	2020	9	4.2430539580877
NW_Natural_Gas	2020	10	4.25787483302569
