timepoint_id	upward_reg_mw	downward_reg_mw	upward_lf_reserves_mw	downward_lf_reserves_mw	min_gen_committed_mw	freq_resp_total_req_mw	freq_resp_partial_req_mw
20200101	221.862521522926	221.862521522926	982.114722799029	984.022318152062	0	770	385
20200102	209.311849276612	209.311849276612	982.114722799029	984.022318152062	0	770	385
20200103	200.798232696317	200.798232696317	982.114722799029	984.022318152062	0	770	385
20200104	196.083420066677	196.083420066677	982.114722799029	984.022318152062	0	770	385
20200105	195.671716662713	195.671716662713	982.114722799029	984.022318152062	0	770	385
20200106	199.254182537028	199.254182537028	982.114722799029	984.022318152062	0	770	385
20200107	204.624495146854	204.624495146854	1011.1948996015	1724.24815705593	0	770	385
20200108	205.321998192666	205.321998192666	2138.78306769993	2702.23391741858	0	770	385
20200109	212.418588853259	212.418588853259	3152.88196073391	2839.46561321855	0	770	385
20200110	220.18554785434	220.18554785434	2442.48986680683	2301.10713164078	0	770	385
20200111	225.3163451431	225.3163451431	2071.23857964866	2089.3563825968	0	770	385
20200112	226.960710290386	226.960710290386	2042.55085401703	1961.81415797197	0	770	385
20200113	226.460005906235	226.460005906235	2051.77002156241	1940.31595096778	0	770	385
20200114	224.186180588751	224.186180588751	2065.8378298466	2086.45187245385	0	770	385
20200115	221.557988228745	221.557988228745	2353.35688391549	2264.78166986152	0	770	385
20200116	220.992492722534	220.992492722534	3076.08151861391	2737.8804054443	0	770	385
20200117	230.580699926317	230.580699926317	2306.29445081763	2804.08428622299	0	770	385
20200118	271.38786018953	271.38786018953	1010.62495036745	1723.37841624275	0	770	385
20200119	280.179807434572	280.179807434572	1169.82472030606	1171.27408024004	0	770	385
20200120	276.212779635686	276.212779635686	1240.98314323183	1242.35163213298	0	770	385
20200121	269.295558674261	269.295558674261	1186.86789453357	1188.29232624572	0	770	385
20200122	257.224991450433	257.224991450433	1166.19864884461	1167.65368375547	0	770	385
20200123	237.970882559147	237.970882559147	1115.90331666068	1117.44624456845	0	770	385
20200124	216.631603798507	216.631603798507	1002.22631239303	1004.06124321212	0	770	385
20200201	202.883231880932	202.883231880932	982.114722799029	984.022318152062	0	770	385
20200202	194.974902079448	194.974902079448	982.114722799029	984.022318152062	0	770	385
20200203	191.616027772329	191.616027772329	982.114722799029	984.022318152062	0	770	385
20200204	191.133637724839	191.133637724839	982.114722799029	984.022318152062	0	770	385
20200205	197.321644109992	197.321644109992	982.114722799029	984.022318152062	0	770	385
