zone	timepoint_id	input_load_mw
CAISO	20200101	22186.2521522926
CAISO	20200102	20931.1849276612
CAISO	20200103	20079.8232696317
CAISO	20200104	19608.3420066677
CAISO	20200105	19567.1716662713
CAISO	20200106	19925.4182537028
CAISO	20200107	20462.4495146854
CAISO	20200108	20532.1998192666
CAISO	20200109	21241.8588853259
CAISO	20200110	22018.554785434
CAISO	20200111	22531.63451431
CAISO	20200112	22696.0710290386
CAISO	20200113	22646.0005906235
CAISO	20200114	22418.6180588751
CAISO	20200115	22155.7988228745
CAISO	20200116	22099.2492722534
CAISO	20200117	23058.0699926317
CAISO	20200118	27138.786018953
CAISO	20200119	28017.9807434572
CAISO	20200120	27621.2779635686
CAISO	20200121	26929.5558674261
CAISO	20200122	25722.4991450433
CAISO	20200123	23797.0882559147
CAISO	20200124	21663.1603798507
CAISO	20200201	20288.3231880932
CAISO	20200202	19497.4902079448
CAISO	20200203	19161.6027772329
CAISO	20200204	19113.3637724839
CAISO	20200205	19732.1644109992
CAISO	20200206	21472.8657353124
CAISO	20200207	24004.1571282238
CAISO	20200208	25412.2957844487
CAISO	20200209	26547.2467080365
CAISO	20200210	27253.2314318327
CAISO	20200211	27796.0303507529
CAISO	20200212	27787.2757234999
CAISO	20200213	27484.0797698812
CAISO	20200214	27247.4740412225
CAISO	20200215	27106.6059643686
CAISO	20200216	26810.2532940809
CAISO	20200217	27121.4006314279
CAISO	20200218	30636.4272472535
CAISO	20200219	31183.5868829884
CAISO	20200220	30532.7337882394
CAISO	20200221	29480.2822129403
CAISO	20200222	27818.2144429848
CAISO	20200223	25551.5452681768
CAISO	20200224	23274.1454401754
CAISO	20200301	20655.5060745366
CAISO	20200302	19861.3264895584
CAISO	20200303	19489.4950078054
CAISO	20200304	19497.0069987974
CAISO	20200305	20225.149877268
CAISO	20200306	21929.0081343449
CAISO	20200307	24486.1520627348
CAISO	20200308	26044.4152349171
CAISO	20200309	27233.4843265065
CAISO	20200310	28001.4738787945
CAISO	20200311	28220.4297023156
CAISO	20200312	28140.1282147364
CAISO	20200313	27898.2293934068
CAISO	20200314	27758.5623939561
CAISO	20200315	27346.1507308618
CAISO	20200316	27125.9051327304
CAISO	20200317	27378.8945565996
CAISO	20200318	29332.9126155753
CAISO	20200319	31340.4473843201
CAISO	20200320	30889.9692294978
CAISO	20200321	29897.3017847759
CAISO	20200322	28282.1749272207
CAISO	20200323	25859.4166032121
CAISO	20200324	23366.8697596271
CAISO	20200401	21725.2495965693
CAISO	20200402	20830.9744917051
CAISO	20200403	20467.0870912462
CAISO	20200404	20250.2435224505
CAISO	20200405	20772.6044907697
CAISO	20200406	22614.6677339058
CAISO	20200407	25042.1198017238
CAISO	20200408	26643.7142680067
CAISO	20200409	27459.2641523229
CAISO	20200410	28236.4592186128
CAISO	20200411	29139.3766078872
CAISO	20200412	29659.2175736709
CAISO	20200413	29699.9347184295
CAISO	20200414	30102.8117680467
CAISO	20200415	30060.8460670825
CAISO	20200416	29455.4706714982
CAISO	20200417	29003.8112113024
CAISO	20200418	29174.4535937544
CAISO	20200419	31487.3699314363
CAISO	20200420	31299.3615042091
CAISO	20200421	30244.7280286103
CAISO	20200422	28171.6293296903
CAISO	20200423	25772.9652626616
CAISO	20200424	23385.1492958623
CAISO	20200501	21118.5681998058
CAISO	20200502	20559.4025826809
CAISO	20200503	20393.3015159642
CAISO	20200504	20712.42816762
CAISO	20200505	22350.7959620802
CAISO	20200506	25497.4291681891
CAISO	20200507	27529.3085685229
CAISO	20200508	28231.1289362274
CAISO	20200509	28912.4300655166
CAISO	20200510	29472.3676045871
CAISO	20200511	29540.073273655
CAISO	20200512	29394.8192622436
CAISO	20200513	29227.5020766931
CAISO	20200514	28856.6553855055
CAISO	20200515	28515.4481847863
CAISO	20200516	28293.3478608059
CAISO	20200517	28179.8722873196
CAISO	20200518	28505.2594179324
CAISO	20200519	30179.7255694934
CAISO	20200520	30310.4298354983
CAISO	20200521	28585.5773844209
CAISO	20200522	26168.1460008513
CAISO	20200523	23616.7867849751
CAISO	20200524	22047.7857438752
CAISO	20200601	20140.8129674902
CAISO	20200602	19705.0371803374
CAISO	20200603	19633.4384075083
CAISO	20200604	20220.1956044214
CAISO	20200605	21758.6823566163
CAISO	20200606	24494.4942446293
CAISO	20200607	26305.8652086685
CAISO	20200608	27591.0328092914
CAISO	20200609	28412.7341736704
CAISO	20200610	29164.1357253896
CAISO	20200611	29433.5438361727
CAISO	20200612	29614.5461917425
CAISO	20200613	29851.1649905447
CAISO	20200614	29822.6645989667
CAISO	20200615	29633.112681092
CAISO	20200616	29075.8867128366
CAISO	20200617	28487.1240137355
CAISO	20200618	28186.6196351235
CAISO	20200619	29782.6576413404
CAISO	20200620	30432.2099777532
CAISO	20200621	28952.9535847299
CAISO	20200622	26526.6160350136
CAISO	20200623	24032.2837146121
CAISO	20200624	22319.953998239
CAISO	20200701	20973.9750883833
CAISO	20200702	20018.6258752861
CAISO	20200703	19587.322422957
CAISO	20200704	19688.3245825966
CAISO	20200705	19963.2333580864
CAISO	20200706	20876.9514564955
CAISO	20200707	21317.1404798767
CAISO	20200708	22613.5808767232
CAISO	20200709	23121.6935461534
CAISO	20200710	23535.93601082
CAISO	20200711	23702.8641559336
CAISO	20200712	23466.7730512284
CAISO	20200713	23426.6959427229
CAISO	20200714	23171.7148270154
CAISO	20200715	22943.2205221863
CAISO	20200716	22822.559207683
CAISO	20200717	22941.9330713582
CAISO	20200718	23282.9532778374
CAISO	20200719	25267.3903539417
CAISO	20200720	26760.3528078145
CAISO	20200721	25999.4809741345
CAISO	20200722	24298.7015813584
CAISO	20200723	22518.6546216734
CAISO	20200724	21023.5824325196
CAISO	20200801	20916.5863076084
CAISO	20200802	20206.1642124613
CAISO	20200803	19992.1182873515
CAISO	20200804	20070.5748545439
CAISO	20200805	20364.9548235109
CAISO	20200806	20639.1979361423
CAISO	20200807	21087.585356777
CAISO	20200808	22121.6770415096
CAISO	20200809	22973.0975959327
CAISO	20200810	23655.8375706534
CAISO	20200811	24258.3055698623
CAISO	20200812	24171.8352150347
CAISO	20200813	24180.9484900505
CAISO	20200814	23857.3057973444
CAISO	20200815	23725.1426602447
CAISO	20200816	23947.7892307342
CAISO	20200817	24295.6934178525
CAISO	20200818	24679.7552099128
CAISO	20200819	26173.3132504602
CAISO	20200820	28019.8315858928
CAISO	20200821	26958.6934528012
CAISO	20200822	25028.3589369253
CAISO	20200823	22665.2009725808
CAISO	20200824	21248.0135573359
CAISO	20200901	21541.1457741254
CAISO	20200902	20749.7755519381
CAISO	20200903	20634.5048239013
CAISO	20200904	20628.8831175396
CAISO	20200905	20852.3718840065
CAISO	20200906	21257.7673636535
CAISO	20200907	22430.2761194122
CAISO	20200908	23920.4991678215
CAISO	20200909	24866.8664610166
CAISO	20200910	25664.9565571077
CAISO	20200911	25929.0071745928
CAISO	20200912	25892.6913557553
CAISO	20200913	25680.9179977769
CAISO	20200914	25288.0480056902
CAISO	20200915	25039.8264678472
CAISO	20200916	24814.9310217865
CAISO	20200917	24735.8601185734
CAISO	20200918	24972.8900558929
CAISO	20200919	25281.722075093
CAISO	20200920	26990.900855529
CAISO	20200921	26692.579093908
CAISO	20200922	25366.3114679607
CAISO	20200923	23394.1404682099
CAISO	20200924	21659.57936641
CAISO	20201001	21459.1618015898
CAISO	20201002	20925.016293233
CAISO	20201003	20762.6047809882
CAISO	20201004	21278.6060998844
CAISO	20201005	22840.4832179951
CAISO	20201006	24871.2109531605
CAISO	20201007	27363.6616667426
CAISO	20201008	28888.7279034795
CAISO	20201009	29896.5831760763
CAISO	20201010	30883.2364089993
CAISO	20201011	31509.0413052977
CAISO	20201012	31874.4469518847
CAISO	20201013	32492.7613158293
CAISO	20201014	32874.6398642042
CAISO	20201015	33083.4789732473
CAISO	20201016	32918.0219072749
CAISO	20201017	32283.509590133
CAISO	20201018	31545.9550539354
CAISO	20201019	30845.3594112909
CAISO	20201020	32281.9414830459
CAISO	20201021	31257.0367648281
CAISO	20201022	28383.3216572711
CAISO	20201023	25593.3605314777
CAISO	20201024	23602.5995155039
CAISO	20201101	22748.1967561554
CAISO	20201102	21997.8348630234
CAISO	20201103	21581.6739404707
CAISO	20201104	21435.7576596184
CAISO	20201105	21710.0867083756
CAISO	20201106	21563.3031340555
CAISO	20201107	22667.3775352293
CAISO	20201108	24241.7974555226
CAISO	20201109	25616.1811643226
CAISO	20201110	26563.6152689187
CAISO	20201111	27152.1822317643
CAISO	20201112	27353.3589202078
CAISO	20201113	27608.2325674115
CAISO	20201114	27831.8013741919
CAISO	20201115	28055.1273372528
CAISO	20201116	28114.720942351
CAISO	20201117	28055.4179831356
CAISO	20201118	27809.8217531577
CAISO	20201119	27657.9865678341
CAISO	20201120	28914.5009584567
CAISO	20201121	28920.1874925952
CAISO	20201122	27178.8887283624
CAISO	20201123	24942.1744713792
CAISO	20201124	23227.3145901616
CAISO	20201201	25057.0703826896
CAISO	20201202	23708.2254900476
CAISO	20201203	22841.152718549
CAISO	20201204	22633.748458295
CAISO	20201205	22886.5567142616
CAISO	20201206	22818.682713507
CAISO	20201207	24010.8898851566
CAISO	20201208	26076.1888410068
CAISO	20201209	27883.0380049322
CAISO	20201210	29196.3255869685
CAISO	20201211	30315.7387719822
CAISO	20201212	31068.2576757276
CAISO	20201213	31438.9336841379
CAISO	20201214	32055.0007594325
CAISO	20201215	32231.1859382854
CAISO	20201216	32280.5315468167
CAISO	20201217	31850.2511118776
CAISO	20201218	31218.3054113257
CAISO	20201219	30263.0272951531
CAISO	20201220	30708.9251573298
CAISO	20201221	30868.3316399726
CAISO	20201222	28450.6651023211
CAISO	20201223	26462.9771619148
CAISO	20201224	24197.7998650519
CAISO	20201301	24823.5529354748
CAISO	20201302	24034.5756571332
CAISO	20201303	23624.5283897931
CAISO	20201304	23796.4717067878
CAISO	20201305	25128.2511344668
CAISO	20201306	26844.9452932458
CAISO	20201307	28989.0230308496
CAISO	20201308	30867.6960247654
CAISO	20201309	32298.4157183863
CAISO	20201310	34185.2324285615
CAISO	20201311	35380.7808799693
CAISO	20201312	35959.1412155838
CAISO	20201313	36943.1266945477
CAISO	20201314	37537.4447177198
CAISO	20201315	37914.4350270903
CAISO	20201316	38107.2279524361
CAISO	20201317	37753.2104882417
CAISO	20201318	36442.9205734595
CAISO	20201319	35142.5083782515
CAISO	20201320	35516.9015906622
CAISO	20201321	34750.5834305941
CAISO	20201322	31708.4014232426
CAISO	20201323	28779.973319931
CAISO	20201324	26578.5748840189
CAISO	20201401	24204.361586747
CAISO	20201402	23398.3280421562
CAISO	20201403	23035.7657554544
CAISO	20201404	23400.1985626102
CAISO	20201405	24883.3012933332
CAISO	20201406	26477.5344452981
CAISO	20201407	28252.3298695008
CAISO	20201408	30028.40991628
CAISO	20201409	31577.5922703512
CAISO	20201410	32907.8245644225
CAISO	20201411	33786.300747509
CAISO	20201412	33941.7355643823
CAISO	20201413	34621.813574316
CAISO	20201414	35110.1491287259
CAISO	20201415	35458.4240191003
CAISO	20201416	35274.2797463694
CAISO	20201417	34789.1919242642
CAISO	20201418	33794.3869225832
CAISO	20201419	33026.6294838484
CAISO	20201420	34098.5027554197
CAISO	20201421	33129.299894124
CAISO	20201422	30479.9552075708
CAISO	20201423	27602.3999053293
CAISO	20201424	25476.4143607856
CAISO	20201501	28084.4463915027
CAISO	20201502	26581.9105236142
CAISO	20201503	25641.9059581791
CAISO	20201504	25176.6329988001
CAISO	20201505	25197.6655909747
CAISO	20201506	25124.9069697552
CAISO	20201507	26033.7681341015
CAISO	20201508	28803.8853244026
CAISO	20201509	31805.7196376725
CAISO	20201510	34960.0018342907
CAISO	20201511	37824.9658122962
CAISO	20201512	40083.070888045
CAISO	20201513	41793.7713671647
CAISO	20201514	43048.3460512892
CAISO	20201515	43617.7434126862
CAISO	20201516	43688.6702314324
CAISO	20201517	43319.3036171419
CAISO	20201518	42205.1343347866
CAISO	20201519	41379.3105815543
CAISO	20201520	40977.588271977
CAISO	20201521	38767.2974556924
CAISO	20201522	35530.2377121065
CAISO	20201523	32400.2435623307
CAISO	20201524	29505.8326605597
CAISO	20201601	22386.5603002779
CAISO	20201602	21726.4097501927
CAISO	20201603	21433.0537681323
CAISO	20201604	21866.5301076748
CAISO	20201605	23390.9437962212
CAISO	20201606	26145.6074278235
