resource	technology	zone	rps_eligible	can_build_new	capacity_limited	local_capacity	capacity_limited_local	can_retire
CAISO_CHP	CAISO_CHP	CAISO	0	0	0	0	0	0
CAISO_Nuclear	CAISO_Nuclear	CAISO	0	0	0	0	0	0
CAISO_CCGT1	CAISO_CCGT1	CAISO	0	0	0	1	0	1
CAISO_CCGT2	CAISO_CCGT2	CAISO	0	0	0	1	0	1
CAISO_Coal	CAISO_Coal	CAISO	0	0	0	0	0	0
CAISO_Peaker1	CAISO_Peaker1	CAISO	0	0	0	1	0	1
CAISO_Peaker2	CAISO_Peaker2	CAISO	0	0	0	1	0	1
CAISO_Advanced_CCGT	CAISO_Advanced_CCGT	CAISO	0	1	0	1	0	1
CAISO_Aero_CT	CAISO_Aero_CT	CAISO	0	1	0	1	0	1
CAISO_Reciprocating_Engine	CAISO_Reciprocating_Engine	CAISO	0	1	0	1	0	1
CAISO_ST	CAISO_ST	CAISO	0	0	0	0	0	0
NW_Nuclear	NW_Nuclear	NW	0	0	0	0	0	0
NW_Coal	NW_Coal	NW	0	0	0	0	0	0
NW_CCGT	NW_CCGT	NW	0	0	0	0	0	0
NW_Peaker	NW_Peaker	NW	0	0	0	0	0	0
SW_Nuclear	SW_Nuclear	SW	0	0	0	0	0	0
SW_Coal	SW_Coal	SW	0	0	0	0	0	0
SW_CCGT	SW_CCGT	SW	0	0	0	0	0	0
SW_Peaker	SW_Peaker	SW	0	0	0	0	0	0
SW_ST	SW_ST	SW	0	0	0	0	0	0
LDWP_Nuclear	LDWP_Nuclear	LDWP	0	0	0	0	0	0
LDWP_Coal	LDWP_Coal	LDWP	0	0	0	0	0	0
LDWP_CCGT	LDWP_CCGT	LDWP	0	0	0	0	0	0
LDWP_Peaker	LDWP_Peaker	LDWP	0	0	0	0	0	0
LDWP_ST	LDWP_ST	LDWP	0	0	0	0	0	0
IID_CCGT	IID_CCGT	IID	0	0	0	0	0	0
IID_Peaker	IID_Peaker	IID	0	0	0	0	0	0
BANC_CCGT	BANC_CCGT	BANC	0	0	0	0	0	0
BANC_Peaker	BANC_Peaker	BANC	0	0	0	0	0	0
BANC_Biomass_for_Other	Biomass	BANC	0	0	0	0	0	0
BANC_Geothermal_for_Other	Geothermal	BANC	0	0	0	0	0	0
CAISO_Biomass_for_Other	Biomass	CAISO	0	0	0	0	0	0
CAISO_Geothermal_for_Other	Geothermal	CAISO	0	0	0	0	0	0
IID_Biomass_for_Other	Biomass	IID	0	0	0	0	0	0
IID_Geothermal_for_Other	Geothermal	IID	0	0	0	0	0	0
LDWP_Biomass_for_Other	Biomass	LDWP	0	0	0	0	0	0
LDWP_Geothermal_for_Other	Geothermal	LDWP	0	0	0	0	0	0
NW_Biomass_for_Other	Biomass	NW	0	0	0	0	0	0
NW_Geothermal_for_Other	Geothermal	NW	0	0	0	0	0	0
SW_Biomass_for_Other	Biomass	SW	0	0	0	0	0	0
SW_Geothermal_for_Other	Geothermal	SW	0	0	0	0	0	0
CAISO_Biomass_for_CAISO	Biomass	CAISO	1	0	0	0	0	0
CAISO_Geothermal_for_CAISO	Geothermal	CAISO	1	0	0	0	0	0
IID_Geothermal_for_CAISO	Geothermal	IID	1	0	0	0	0	0
NW_Biomass_for_CAISO	Biomass	NW	1	0	0	0	0	0
NW_Geothermal_for_CAISO	Geothermal	NW	1	0	0	0	0	0
InState_Biomass	Biomass	CAISO	1	1	1	0	0	0
CAISO_Small_Hydro_for_CAISO	Small_Hydro	CAISO	1	0	0	0	0	0
BANC_Small_Hydro_for_CAISO	Small_Hydro	BANC	1	0	0	0	0	0
NW_Small_Hydro_for_CAISO	Small_Hydro	NW	1	0	0	0	0	0
CAISO_Small_Hydro_for_Other	Small_Hydro	CAISO	0	0	0	0	0	0
BANC_Small_Hydro_for_Other	Small_Hydro	BANC	0	0	0	0	0	0
IID_Small_Hydro_for_Other	Small_Hydro	IID	0	0	0	0	0	0
LDWP_Small_Hydro_for_Other	Small_Hydro	LDWP	0	0	0	0	0	0
NW_Small_Hydro_for_Other	Small_Hydro	NW	0	0	0	0	0	0
SW_Small_Hydro_for_Other	Small_Hydro	SW	0	0	0	0	0	0
Greater_Imperial_Geothermal	Geothermal	CAISO	1	1	1	0	0	0
Inyokern_North_Kramer_Geothermal	Geothermal	CAISO	1	1	1	0	0	0
Northern_California_Ex_Geothermal	Geothermal	CAISO	1	1	1	0	0	0
Pacific_Northwest_Geothermal	Geothermal	CAISO	1	0	0	0	0	0
Riverside_Palm_Springs_Geothermal	Geothermal	CAISO	1	1	1	0	0	0
Solano_Geothermal	Geothermal	CAISO	1	1	1	0	0	0
Southern_Nevada_Geothermal	Geothermal	CAISO	1	1	1	0	0	0
Customer_PV	Customer_PV	CAISO	0	0	0	0	0	0
BANC_Solar_for_Other	Solar	BANC	0	0	0	0	0	0
CAISO_Solar_for_Other	Solar	CAISO	0	0	0	0	0	0
IID_Solar_for_Other	Solar	IID	0	0	0	0	0	0
LDWP_Solar_for_Other	Solar	LDWP	0	0	0	0	0	0
NW_Solar_for_Other	Solar	NW	0	0	0	0	0	0
SW_Solar_for_Other	Solar	SW	0	0	0	0	0	0
CAISO_Solar_for_CAISO	Solar	CAISO	1	0	0	0	0	0
IID_Solar_for_CAISO	Solar	IID	1	0	0	0	0	0
SW_Solar_for_CAISO	Solar	SW	1	0	0	0	0	0
BANC_Wind_for_Other	Wind	BANC	0	0	0	0	0	0
CAISO_Wind_for_Other	Wind	CAISO	0	0	0	0	0	0
IID_Wind_for_Other	Wind	IID	0	0	0	0	0	0
LDWP_Wind_for_Other	Wind	LDWP	0	0	0	0	0	0
NW_Wind_for_Other	Wind	NW	0	0	0	0	0	0
SW_Wind_for_Other	Wind	SW	0	0	0	0	0	0
CAISO_Wind_for_CAISO	Wind	CAISO	1	0	0	0	0	0
LDWP_Wind_for_CAISO	Wind	LDWP	1	0	0	0	0	0
NW_Wind_for_CAISO	Wind	NW	1	0	0	0	0	0
SW_Wind_for_CAISO	Wind	SW	1	0	0	0	0	0
Carrizo_Solar	Solar	CAISO	1	1	1	0	0	0
Carrizo_Wind	Wind	CAISO	1	1	1	0	0	0
Central_Valley_North_Los_Banos_Solar	Solar	CAISO	1	1	1	0	0	0
Central_Valley_North_Los_Banos_Wind	Wind	CAISO	1	1	1	0	0	0
Distributed_Solar	Solar	CAISO	1	1	1	1	0	0
Distributed_Wind	Wind	CAISO	1	1	1	0	0	0
Greater_Imperial_Solar	Solar	CAISO	1	1	1	0	0	0
Greater_Imperial_Wind	Wind	CAISO	1	1	1	0	0	0
Greater_Kramer_Wind	Wind	CAISO	1	1	1	0	0	0
Humboldt_Wind	Wind	CAISO	1	1	1	0	0	0
Inyokern_North_Kramer_Solar	Solar	CAISO	1	1	1	0	0	0
Kern_Greater_Carrizo_Solar	Solar	CAISO	1	1	1	0	0	0
Kern_Greater_Carrizo_Wind	Wind	CAISO	1	1	1	0	0	0
Kramer_Inyokern_Ex_Solar	Solar	CAISO	1	1	1	0	0	0
Kramer_Inyokern_Ex_Wind	Wind	CAISO	1	1	1	0	0	0
North_Victor_Solar	Solar	CAISO	1	1	1	0	0	0
Northern_California_Ex_Solar	Solar	CAISO	1	1	1	0	0	0
Northern_California_Ex_Wind	Wind	CAISO	1	1	1	0	0	0
NW_Ext_Tx_Wind	Wind	CAISO	1	1	1	0	0	0
Riverside_Palm_Springs_Solar	Solar	CAISO	1	1	1	0	0	0
Sacramento_River_Solar	Solar	CAISO	1	1	1	0	0	0
Sacramento_River_Wind	Wind	CAISO	1	0	0	0	0	0
SCADSNV_Solar	Solar	CAISO	1	1	1	0	0	0
SCADSNV_Wind	Wind	CAISO	1	1	1	0	0	0
Solano_Solar	Solar	CAISO	1	1	1	0	0	0
Solano_subzone_Solar	Solar	CAISO	1	1	1	0	0	0
Solano_subzone_Wind	Wind	CAISO	1	1	1	0	0	0
Solano_Wind	Wind	CAISO	1	1	1	0	0	0
Southern_California_Desert_Ex_Solar	Solar	CAISO	1	1	1	0	0	0
Southern_California_Desert_Ex_Wind	Wind	CAISO	1	1	1	0	0	0
Southern_Nevada_Solar	Solar	CAISO	1	1	1	0	0	0
Southern_Nevada_Wind	Wind	CAISO	1	1	1	0	0	0
SW_Ext_Tx_Wind	Wind	CAISO	1	1	1	0	0	0
Tehachapi_Ex_Solar	Solar	CAISO	1	1	1	0	0	0
Tehachapi_Solar	Solar	CAISO	1	1	1	0	0	0
