transmission_line	period	positive_direction_tco2_per_mwh	negative_direction_tco2_per_mwh
SW_to_CAISO	2020	0.428	0
SW_to_CAISO	2022	0.428	0
SW_to_CAISO	2026	0.428	0
SW_to_CAISO	2030	0.428	0
SW_to_CAISO	2035	0.428	0
SW_to_CAISO	2040	0.428	0
SW_to_CAISO	2045	0.428	0
LDWP_to_CAISO	2020	0.428	0
LDWP_to_CAISO	2022	0.428	0
LDWP_to_CAISO	2026	0.428	0
LDWP_to_CAISO	2030	0.428	0
LDWP_to_CAISO	2035	0.428	0
LDWP_to_CAISO	2040	0.428	0
LDWP_to_CAISO	2045	0.428	0
IID_to_CAISO	2020	0.428	0
IID_to_CAISO	2022	0.428	0
IID_to_CAISO	2026	0.428	0
IID_to_CAISO	2030	0.428	0
IID_to_CAISO	2035	0.428	0
IID_to_CAISO	2040	0.428	0
IID_to_CAISO	2045	0.428	0
BANC_to_CAISO	2020	0.428	0
BANC_to_CAISO	2022	0.428	0
BANC_to_CAISO	2026	0.428	0
BANC_to_CAISO	2030	0.428	0
BANC_to_CAISO	2035	0.428	0
BANC_to_CAISO	2040	0.428	0
BANC_to_CAISO	2045	0.428	0
NW_to_CAISO_Unspecified	2020	0.428	0
NW_to_CAISO_Unspecified	2022	0.428	0
NW_to_CAISO_Unspecified	2026	0.428	0
NW_to_CAISO_Unspecified	2030	0.428	0
NW_to_CAISO_Unspecified	2035	0.428	0
NW_to_CAISO_Unspecified	2040	0.428	0
NW_to_CAISO_Unspecified	2045	0.428	0
