zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28324554.128239535
IID,2022,729298.2748656464,26104486.922900822
IID,2026,729298.2748656464,29272032.35593413
IID,2030,729298.2748656464,29069293.387022812
LDWP,2020,13199.194695043863,480146.86485652503
LDWP,2022,13199.194695043863,463792.06889924937
LDWP,2026,13199.194695043863,480042.6045690849
LDWP,2030,13199.194695043863,479538.4392261202
NW,2020,3679410.2221528697,87395739.55560233
NW,2022,3343430.966519832,89837769.28372142
NW,2026,3419786.347483375,99128201.53055528
NW,2030,3224356.945053887,96163643.46604998
SW,2020,397143.1904552827,9310909.433558138
SW,2022,397143.1904552827,9304976.710554095
SW,2026,397143.1904552827,9511824.65885199
SW,2030,397143.1904552827,9623771.093215464
