line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,516474.91670329426,0.0
BANC_to_CAISO,2022,227055.1034223504,0.0
BANC_to_CAISO,2026,199206.14653769304,0.0
BANC_to_CAISO,2030,20044.48785243464,0.0
IID_to_CAISO,2020,504.50635317168934,0.0
IID_to_CAISO,2022,5005.112981902482,0.0
IID_to_CAISO,2026,240.13344287704774,0.0
IID_to_CAISO,2030,792.3883851924288,0.0
LDWP_to_CAISO,2020,128237.2126610523,0.0
LDWP_to_CAISO,2022,43966.3220220243,0.0
LDWP_to_CAISO,2026,15546.42764106211,0.0
LDWP_to_CAISO,2030,2745.818073939635,0.0
NW_to_CAISO_Unspecified,2020,4184978.8946842197,0.0
NW_to_CAISO_Unspecified,2022,2939813.867908658,0.0
NW_to_CAISO_Unspecified,2026,1835136.52402684,0.0
NW_to_CAISO_Unspecified,2030,361338.14150145586,0.0
SW_to_CAISO,2020,5821767.8620029455,0.0
SW_to_CAISO,2022,9945690.241410775,0.0
SW_to_CAISO,2026,4144915.155053889,0.0
SW_to_CAISO,2030,2669232.0620865948,0.0
