zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26176904.395709835
IID,2026,729298.2748656464,28672123.390449986
IID,2030,729298.2748656464,29988275.306765568
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,464498.8410418649
LDWP,2026,13199.194695043863,479919.30128793017
LDWP,2030,13199.194695043863,486382.312712224
NW,2020,3679179.171910413,86704752.16896626
NW,2022,3348061.2449698816,91311658.52690624
NW,2026,3452544.596838386,97353373.13041502
NW,2030,3224356.9450538876,96345103.28608792
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9298605.784273999
SW,2026,397143.1904552827,9310033.044448594
SW,2030,397143.1904552827,9671279.959127847
