transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1089959.449617979,1174915.8913645095,84956.4417465304,552.3335981313923,408.3155314503008,2127.185265099542,208.06566295622554,6424.749071944228,44193966.73333228,48329270.47109073,3094173.0945470096,2204969.614156611,1089959.449617979,2846099.5045299027,882567.6952364362
BANC_to_CAISO,BANC,CAISO,2022,-87957.52185911604,578698.1116823073,666655.6335414234,474.86166481960566,420.8644301927897,1218.666728766467,1584.0151500473478,5957.318121186188,22782727.897182614,24415642.479627915,21164183.496354926,7420219.7061992865,-87957.52185911604,1401830.4938196505,6925557.24716339
BANC_to_CAISO,BANC,CAISO,2026,406068.33385317994,512857.3995133091,106789.06566012932,592.7559138033924,289.4163007070784,865.2084063110935,368.98082588724594,7525.8107678016695,20131153.32825767,50164881.30325016,3708547.984693641,2474164.609703947,406068.33385317994,1242337.3766183164,1109379.6477523001
BANC_to_CAISO,BANC,CAISO,2030,10788.334046723556,58672.131461226076,47883.797414502515,226.91917081285962,278.301881043326,258.5596062732532,172.05703833186803,8329.383355394897,2088472.4290655882,8715145.294474475,1843169.7774261727,1345657.1222894918,10788.334046723556,142126.09914986865,497439.40024473117
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-429786.4370826415,1339.0834539304303,431125.5205365719,40.955000000000005,186.982457848473,32.6964584038684,2305.7003608645887,6421.603180731545,50302.48439449517,56868.729400754084,15549565.135167448,10409214.618445799,-429786.4370826415,4256.588437307607,4478744.178682582
IID_to_CAISO,IID,CAISO,2022,-1338678.3305922917,15506.84092781625,1354185.1715201074,89.64461566049495,331.2943525902793,172.98128631109614,4087.558876063502,4499.459837625384,611080.0623863606,685744.3807667583,43618246.27346144,13924469.367930757,-1338678.3305922917,49291.854173768705,14067939.88510049
IID_to_CAISO,IID,CAISO,2026,-937873.1360235951,6806.047897460502,944679.1839210558,152.1168868598128,324.95897478193433,44.74222446935026,2907.072145199216,5808.185630331438,296952.7176316228,691592.22707374,27928975.490946572,8432763.289835518,-937873.1360235951,21635.131368049733,9813793.340691075
IID_to_CAISO,IID,CAISO,2030,-902180.3176569421,1552.2953428774695,903732.6129998196,65.31333333333333,342.56754447878154,23.766898176137637,2638.11510332905,6098.117998494813,72225.63090473367,252915.4231744705,28005376.78231716,14203799.84600448,-902180.3176569421,4934.483399329696,9388428.175765704
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
