zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26368940.59695162
IID,2026,729298.2748656464,29118588.556489397
IID,2030,729298.2748656464,29901261.616039958
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,466776.28192936996
LDWP,2026,13199.194695043863,481471.60666796553
LDWP,2030,13199.194695043863,485762.3578188931
NW,2020,3679179.1719104135,86704752.16896626
NW,2022,3349408.387813327,91636528.78361022
NW,2026,3382864.6021633646,98869034.75973603
NW,2030,3223852.8440432833,96447593.29373339
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9371968.219141187
SW,2026,397143.1904552827,9428890.656661542
SW,2030,397143.1904552827,9643709.275456386
