line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.95785107,0.0
BANC_to_CAISO,2022,255043.91689816365,0.0
BANC_to_CAISO,2026,204909.9679367503,0.0
BANC_to_CAISO,2030,45205.3235119096,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,5937.847919325735,0.0
IID_to_CAISO,2026,50.587026394220615,0.0
IID_to_CAISO,2030,0.0,0.0
LDWP_to_CAISO,2020,115044.21841267397,0.0
LDWP_to_CAISO,2022,47264.787881133416,0.0
LDWP_to_CAISO,2026,14667.701803039643,0.0
LDWP_to_CAISO,2030,0.0,0.0
NW_to_CAISO_Unspecified,2020,4141823.8236649293,0.0
NW_to_CAISO_Unspecified,2022,3068521.068606353,0.0
NW_to_CAISO_Unspecified,2026,2028628.7091846785,0.0
NW_to_CAISO_Unspecified,2030,458554.70303558203,0.0
SW_to_CAISO,2020,5824278.210295604,0.0
SW_to_CAISO,2022,9359539.610745357,0.0
SW_to_CAISO,2026,5723157.7529844325,0.0
SW_to_CAISO,2030,3572102.007587541,0.0
