transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1088331.5207004168,1174915.906188096,86584.38548767928,548.7207496141981,380.5325205962931,2141.1909555346165,227.53478559993204,6391.274258865446,44193967.29538336,48329271.06901488,3150044.123743239,2206786.321756196,1088331.5207004168,2846099.1705160784,899479.6812779605
BANC_to_CAISO,BANC,CAISO,2022,141874.0408032819,762685.3081269577,620811.2673236753,527.5866320151571,396.4098986785293,1445.6115106893885,1566.0841704337092,5748.3043188769025,28113320.593866605,30511070.679818813,19836750.53315131,5911915.481362239,141874.0408032819,1847516.952904752,6449297.083922972
BANC_to_CAISO,BANC,CAISO,2026,575891.7595209124,614147.1260624405,38255.366541527976,622.86962832226,252.8587122867737,985.9962633218862,151.2914710177815,7622.712265660339,21886083.279898044,68698118.47648388,1346531.0737870445,858743.1606991393,575891.7595209124,1487700.4472893376,397418.17464312323
BANC_to_CAISO,BANC,CAISO,2030,-5331.392517490813,47329.85264389492,52661.245161385734,222.7181212901804,281.7368918426242,212.51011085096508,186.9163985481953,8360.573490600858,1648123.944071485,5885226.02322331,2030372.6224474309,1483222.2852206333,-5331.392517490813,114650.7046346325,547069.4020102652
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-433428.6924401483,1339.0834539304303,434767.7758940787,40.955000000000005,188.4811528284752,32.6964584038684,2306.690984056817,6420.612557539316,50302.48439449517,56868.729400754084,15677261.528071044,10499067.978184901,-433428.6924401483,4256.588437307607,4516579.111910731
IID_to_CAISO,IID,CAISO,2022,-1347455.7384682407,26108.728167454712,1373564.466635695,88.7353341803066,333.4896167304266,294.2314739515472,4118.762317406733,4347.006208641702,1047411.9317480484,1180541.717767001,45389525.3481535,14289464.945633575,-1347455.7384682407,82994.67265068181,14269260.377522333
IID_to_CAISO,IID,CAISO,2026,-826736.081415126,591.3873493358433,827327.4687644618,34.38783708773966,354.48736056237357,17.197573311369773,2333.8701482951465,6408.9322783934895,23857.484579537195,68873.5866805925,25069393.607213113,9791138.996213336,-826736.081415126,1879.9847831020456,8594692.736396667
IID_to_CAISO,IID,CAISO,2030,-918778.2113959051,18085.311740906363,936863.5231368117,231.34231739865086,343.95159824954095,78.17554498575207,2723.8237237586727,5958.000731255584,776322.6163011519,2414116.8507867544,28559317.494547497,14039891.693555286,-918778.2113959051,57489.97797025566,9732614.419474136
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-265347.6148296847,268795.38772829174,534143.0025579765,579.6608292406006,1078.8208710177403,463.7114915638408,495.11741653095345,7801.171091905214,11269251.704605646,12984118.920937847,16682292.544308359,7555720.052195156,-265347.6148296847,1502993.1117876952,5548935.076371593
LDWP_to_CAISO,LDWP,CAISO,2022,-3510626.8402841124,176212.5324752723,3686839.372759385,469.10287101741466,1360.4554385385281,375.6372927181056,2710.0037739714426,5674.358933310459,7903390.611150996,9289951.980669694,107672479.07335012,14252524.585795563,-3510626.8402841124,985308.6218649723,38300687.73064484
LDWP_to_CAISO,LDWP,CAISO,2026,-2100006.3480291404,29934.700504954384,2129941.0485340944,279.55705358675385,1300.7767298876436,107.07903850354776,1637.4378473991235,7015.483114097338,1427507.9654438097,3831905.6935876925,61987946.20256364,18688227.495677747,-2100006.3480291404,167383.31541380883,22126875.221902773
LDWP_to_CAISO,LDWP,CAISO,2030,-2464579.058379164,10620.840730138152,2475199.8991093026,178.46387050813803,1312.681661915281,59.51255399705027,1885.6056048637397,6814.88184113923,439387.16408433433,1441047.0545019489,79133136.26963241,45377577.935495034,-2464579.058379164,59387.34503918755,25713584.66973717
NW_to_BANC,NW,BANC,2020,4105356.425972896,4130335.7079639947,24979.281991098575,980.8533470335112,202.101350923016,4210.961526976244,123.59779821864538,4425.440674805091,98110884.38938174,160761038.31225568,627704.5654105417,567203.1625644456,4105356.425972896,47243896.35250018,60509.45202982182
NW_to_BANC,NW,BANC,2022,1708137.0810768097,2109799.714860849,401662.63378403854,807.4536772437277,346.7509268429342,2612.904955814588,1158.3606637797898,4988.734380405625,59508876.276462264,88406714.29786861,10553559.801491203,9581259.395873528,1708137.0810768097,25566569.990915466,972981.4265817305
NW_to_BANC,NW,BANC,2026,203204.75997649773,1915698.5670106853,1712493.807034187,723.0539689434037,643.4514318747833,2649.4544657711917,2661.418907787031,3449.1266264417563,53690492.51506763,81412889.17831036,45674595.44211146,23534902.590757914,203204.75997649773,26293628.10141917,4148317.272208881
NW_to_BANC,NW,BANC,2030,-1075003.6134524725,1478549.0108977093,2553552.6243501822,520.8618694702499,795.2707200256198,2838.6585725722043,3210.9224696062233,2710.418957821552,41253168.76009049,64495262.807665706,71273197.85259178,16238187.823428815,-1075003.6134524725,23239469.82124957,6185685.255863936
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2020,19614086.631616354,19651242.511629086,37155.880012732414,3504.059457688216,327.4512897894829,5608.1361486354135,113.46994551959095,3038.3939058450005,618229284.7276083,798300178.5260363,951197.1714499686,47317.21698746682,19614086.631616354,96522833.62393458,385993.80443831795
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2022,14778053.063166901,17073137.19815853,2295084.1349916253,3164.78125112759,1114.5390602047994,5394.729001277888,2059.222701957074,1306.0482967650514,573028752.0950384,706880518.1751344,68016021.55729756,3667264.9562627943,14778053.063166901,83859710.23851138,23842446.98583366
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2026,12731477.616579311,15406970.67593996,2675493.059360638,2602.1860359246725,1984.4698319750048,5920.779860946866,1348.2155365888862,1491.0046024642559,1570102795.906714,1657980105.431322,77687520.3967102,10149739.527373696,12731477.616579311,75675846.27169067,27794329.677011475
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2030,9042644.861023348,11769486.437870685,2726841.5768473623,2033.2085267603863,2292.2743190009965,5788.627326201313,1189.5790805856761,1781.7935932130254,1214785876.0509508,1262737136.4964833,77835666.54093574,29931407.97383764,9042644.861023348,57809278.82574645,28327778.309005383
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2020,7713594.257003617,9599353.82862019,1885759.5716165758,2583.8821738928,1369.5566399234679,3715.0896142288443,1376.912437679068,3667.9979480920665,244545478.0870378,307196679.63706785,58000852.00214346,58000852.00214346,7713594.257003617,62649976.828926705,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2022,2877560.5852036495,7211901.202874238,4334340.617670564,2264.5231517154693,1612.5767354180089,3184.7328199806334,2687.8352654312757,2887.431914588071,195488879.93485582,247444765.5418993,126037437.94634119,126037437.94634119,2877560.5852036495,51970534.94348207,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2026,830984.1644270961,4385884.206779954,3554900.0423528627,2308.4153210510062,2282.534981945132,1899.954556177131,1557.435075682146,5302.610368140728,101342932.31161357,459883463.31360316,100020192.32156743,100020192.32156743,830984.1644270961,38655254.11133706,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2030,-2857848.309331958,882176.6133110148,3740024.9226429746,2057.8522642070957,2558.3518801657756,428.6880203477208,1461.888394492719,6869.423585159575,23159416.72662117,109612724.83110072,104535086.3735967,104535086.3735967,-2857848.309331958,9532784.50723094,0.0
NW_to_LDWP,NW,LDWP,2020,6761227.816455015,6761227.816455015,0.0,1407.0367949118638,0.0,4805.295668816206,0.0,3954.704331183777,147780636.25170684,247835285.26447996,0.0,0.0,6761227.816455015,77336762.1787092,0.0
NW_to_LDWP,NW,LDWP,2022,5014734.520140481,5014734.520140481,0.0,1650.9146549439295,0.0,3037.5492186243864,0.0,5722.450781375612,107706393.84137839,178629848.39033157,0.0,0.0,5014734.520140481,60768618.86423855,0.0
NW_to_LDWP,NW,LDWP,2026,3994540.929255677,4046838.4758354817,52297.546579804926,1624.4215312037422,313.146,2491.2489757733388,167.0069123661325,6101.744111860537,74153314.01968917,140882574.91789162,2202772.661941383,1910429.376560274,3994540.929255677,55544279.578674436,292427.76749779907
NW_to_LDWP,NW,LDWP,2030,1540770.5931077008,2860911.1353297355,1320140.5422220414,1670.3061853107845,1796.5240909090912,1712.8064066872996,734.8304144109827,6312.3631789017145,-2266303.0223570997,84969596.10202748,60660457.91510283,53280872.284081616,1540770.5931077008,44967130.11879204,7381689.493919471
NW_to_SW,NW,SW,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_to_SW,NW,SW,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_to_SW,NW,SW,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NW_to_SW,NW,SW,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW_to_BANC,SW,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW_to_BANC,SW,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW_to_BANC,SW,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW_to_BANC,SW,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SW_to_CAISO,SW,CAISO,2020,13268409.231225235,13685921.623917213,417512.3926919797,3046.4905404709302,2316.6401109798558,4492.356513866485,180.22324258012907,4087.4202435533734,376329584.45442045,583735671.0032567,9124429.65403279,2994397.2776984866,13268409.231225235,189879271.10372654,4337321.851295357
SW_to_CAISO,SW,CAISO,2022,22391968.29366736,24029803.01294695,1637834.719279584,5237.419915271728,2700.7804536143212,4588.099369859335,606.4301587667929,3565.470471373859,622801843.3244029,1045329058.5026788,37079633.25177446,2116691.0109443045,22391968.29366736,349724930.3645946,17014626.09480675
