zone,period,timepoint_id,day_id,hour_of_day,day_weight,input_load_mw,hourly_energy_cost_$_per_mwh,unserved_energy_mw,overgeneration_mw,total_generation_mw,unbundled_rps_generation_mw,storage_charging_mw,flexible_ev_load_mw,flexible_load_shift_mw,hydrogen_electrolysis_load_mw,ee_ftm_load_reduction_mw
CAISO,2020,20200101,1,0,14.2498665899213,22776.67,38.15,0,0,14801.90,0,0,0,0,0,0
CAISO,2020,20200102,1,1,14.2498665899213,21411.87,37.86,0,0,14093.67,0,0,0,0,0,0
CAISO,2020,20200103,1,2,14.2498665899213,20440.25,37.85,0,0,12961.99,0,0,0,0,0,0
CAISO,2020,20200104,1,3,14.2498665899213,19886.21,37.56,0,0,12410.33,0,0,0,0,0,0
CAISO,2020,20200105,1,4,14.2498665899213,19760.89,37.79,0,0,12466.85,0,0,0,0,0,0
CAISO,2020,20200106,1,5,14.2498665899213,20048.70,38.15,0,0,12971.94,0,0,0,0,0,0
CAISO,2020,20200107,1,6,14.2498665899213,20536.43,38.15,0,0,13481.67,0,0,0,0,0,0
CAISO,2020,20200108,1,7,14.2498665899213,20579.93,38.15,0,0,13231.19,0,0,0,0,0,0
CAISO,2020,20200109,1,8,14.2498665899213,21287.37,37.43,0,0,19054.32,0,0,0,0,0,0
CAISO,2020,20200110,1,9,14.2498665899213,22044.00,31.62,0,0,22664.82,0,1188.14,0,0,0,0
CAISO,2020,20200111,1,10,14.2498665899213,22552.95,25.26,0,0,25306.91,0,1940.25,0,0,0,0
CAISO,2020,20200112,1,11,14.2498665899213,22737.66,25.26,0,0,26787.32,0,3249.20,0,0,0,0
CAISO,2020,20200113,1,12,14.2498665899213,22749.74,25.26,0,0,26865.64,0,3236.75,0,0,0,0
CAISO,2020,20200114,1,13,14.2498665899213,22556.05,25.26,0,0,26580.70,0,2990.67,0,0,0,0
CAISO,2020,20200115,1,14,14.2498665899213,22336.57,25.26,0,0,24899.27,0,1769.82,0,0,0,0
CAISO,2020,20200116,1,15,14.2498665899213,22258.59,31.62,0,0,22335.95,0,749.22,0,0,0,0
CAISO,2020,20200117,1,16,14.2498665899213,23069.69,37.56,0,0,17788.46,0,0,0,0,0,0
CAISO,2020,20200118,1,17,14.2498665899213,27169.93,49.93,0,0,18084.73,0,0,0,0,0,0
CAISO,2020,20200119,1,18,14.2498665899213,28081.12,83.34,0,0,18475.99,0,0,0,0,0,0
CAISO,2020,20200120,1,19,14.2498665899213,27700.76,49.93,0,0,17632.72,0,0,0,0,0,0
CAISO,2020,20200121,1,20,14.2498665899213,27167.41,49.93,0,0,17099.37,0,0,0,0,0,0
CAISO,2020,20200122,1,21,14.2498665899213,26448.71,38.98,0,0,16380.67,0,0,0,0,0,0
CAISO,2020,20200123,1,22,14.2498665899213,24516.54,38.15,0,0,14704.94,0,0,0,0,0,0
CAISO,2020,20200124,1,23,14.2498665899213,22336.51,38.15,0,0,13495.44,0,0,0,0,0,0
CAISO,2020,20200201,2,0,5.90752557717969,20886.91,37.43,0,0,15408.32,0,0,0,0,0,0
CAISO,2020,20200202,2,1,5.90752557717969,19984.34,37.43,0,0,14395.78,0,0,0,0,0,0
CAISO,2020,20200203,2,2,5.90752557717969,19525.98,37.43,0,0,14029.62,0,0,0,0,0,0
CAISO,2020,20200204,2,3,5.90752557717969,19393.36,37.43,0,0,14124.01,0,0,0,0,0,0
CAISO,2020,20200205,2,4,5.90752557717969,19925.18,37.43,0,0,14837.18,0,0,0,0,0,0
CAISO,2020,20200206,2,5,5.90752557717969,21589.49,37.43,0,0,16501.49,0,0,0,0,0,0
CAISO,2020,20200207,2,6,5.90752557717969,24062.90,37.56,0,0,17177.29,0,0,0,0,0,0
CAISO,2020,20200208,2,7,5.90752557717969,25439.03,37.56,0,0,17800.75,0,0,0,0,0,0
CAISO,2020,20200209,2,8,5.90752557717969,26569.93,37.43,0,0,21481.93,0,0,0,0,0,0
CAISO,2020,20200210,2,9,5.90752557717969,27256.15,35.31,0,0,22264.78,0,96.63,0,0,0,0
CAISO,2020,20200211,2,10,5.90752557717969,27794.70,35.31,0,0,24361.51,0,721.99,0,0,0,0
CAISO,2020,20200212,2,11,5.90752557717969,27806.96,35.31,0,0,25048.72,0,721.99,0,0,0,0
CAISO,2020,20200213,2,12,5.90752557717969,27567.00,35.31,0,0,24818.51,0,0,0,0,0,0
CAISO,2020,20200214,2,13,5.90752557717969,27364.12,35.31,0,0,23562.69,0,417.16,0,0,0,0
CAISO,2020,20200215,2,14,5.90752557717969,27266.07,35.98,0,0,21543.80,0,0,0,0,0,0
CAISO,2020,20200216,2,15,5.90752557717969,26949.33,37.43,0,0,21676.22,0,0,0,0,0,0
CAISO,2020,20200217,2,16,5.90752557717969,27115.54,37.56,0,0,19394.03,0,0,0,0,0,0
CAISO,2020,20200218,2,17,5.90752557717969,30652.52,43.16,0,0,20635.05,0,0,0,0,0,0
CAISO,2020,20200219,2,18,5.90752557717969,31233.10,92.46,0,0,21165.06,0,0,0,0,0,0
CAISO,2020,20200220,2,19,5.90752557717969,30599.69,43.16,0,0,20531.65,0,0,0,0,0,0
CAISO,2020,20200221,2,20,5.90752557717969,29707.16,41.76,0,0,19639.12,0,0,0,0,0,0
CAISO,2020,20200222,2,21,5.90752557717969,28535.40,38.34,0,0,18467.36,0,0,0,0,0,0
CAISO,2020,20200223,2,22,5.90752557717969,26263.45,37.56,0,0,17306.74,0,0,0,0,0,0
CAISO,2020,20200224,2,23,5.90752557717969,23940.56,37.56,0,0,17147.55,0,0,0,0,0,0
CAISO,2020,20200301,3,0,28.0221528838783,21250.37,35.01,0,0,16211.43,0,49.06,0,0,0,0
CAISO,2020,20200302,3,1,28.0221528838783,20346.56,35.98,0,0,13697.81,0,0,0,0,0,0
CAISO,2020,20200303,3,2,28.0221528838783,19853.89,35.98,0,0,12935.34,0,0,0,0,0,0
CAISO,2020,20200304,3,3,28.0221528838783,19776.37,35.98,0,0,12585.79,0,0,0,0,0,0
CAISO,2020,20200305,3,4,28.0221528838783,20417.21,37.65,0,0,13521.94,0,0,0,0,0,0
CAISO,2020,20200306,3,5,28.0221528838783,22046.46,37.94,0,0,15806.78,0,0,0,0,0,0
CAISO,2020,20200307,3,6,28.0221528838783,24543.88,37.94,0,0,16054.40,0,0,0,0,0,0
CAISO,2020,20200308,3,7,28.0221528838783,26067.78,37.94,0,0,17046.46,0,0,0,0,0,0
CAISO,2020,20200309,3,8,28.0221528838783,27253.87,37.93,0,0,20207.67,0,0,0,0,0,0
CAISO,2020,20200310,3,9,28.0221528838783,28010.05,35.98,0,0,22828.10,0,0,0,0,0,0
CAISO,2020,20200311,3,10,28.0221528838783,28224.73,34.74,0,0,25382.25,0,1202.94,0,0,0,0
CAISO,2020,20200312,3,11,28.0221528838783,28165.07,34.74,0,0,27212.60,0,0,0,0,0,0
CAISO,2020,20200313,3,12,28.0221528838783,27980.17,34.74,0,0,27035.07,0,1280.38,0,0,0,0
CAISO,2020,20200314,3,13,28.0221528838783,27875.05,34.74,0,0,26013.26,0,1487.90,0,0,0,0
CAISO,2020,20200315,3,14,28.0221528838783,27506.58,34.74,0,0,24337.80,0,183.58,0,0,0,0
CAISO,2020,20200316,3,15,28.0221528838783,27254.62,34.74,0,0,23062.16,0,791.68,0,0,0,0
CAISO,2020,20200317,3,16,28.0221528838783,27376.55,37.93,0,0,21579.58,0,0,0,0,0,0
CAISO,2020,20200318,3,17,28.0221528838783,29359.08,41.57,0,0,19291.04,0,0,0,0,0,0
CAISO,2020,20200319,3,18,28.0221528838783,31386.35,95.52,0,0,23214.25,0,0,0,0,0,0
CAISO,2020,20200320,3,19,28.0221528838783,30952.67,42.58,0,0,22226.98,0,0,0,0,0,0
CAISO,2020,20200321,3,20,28.0221528838783,30134.43,47.34,0,0,20066.39,0,0,0,0,0,0
CAISO,2020,20200322,3,21,28.0221528838783,28989.89,41.57,0,0,18921.85,0,0,0,0,0,0
CAISO,2020,20200323,3,22,28.0221528838783,26564.66,37.94,0,0,17666.90,0,0,0,0,0,0
CAISO,2020,20200324,3,23,28.0221528838783,24030.90,37.93,0,0,17564.60,0,0,0,0,0,0
CAISO,2020,20200401,4,0,14.341145931673,22221.43,35.17,0,0,18510.52,0,0,0,0,0,0
CAISO,2020,20200402,4,1,14.341145931673,21212.92,35.17,0,0,17638.69,0,0,0,0,0,0
CAISO,2020,20200403,4,2,14.341145931673,20754.19,35.17,0,0,15666.19,0,0,0,0,0,0
CAISO,2020,20200404,4,3,14.341145931673,20457.36,35.17,0,0,15609.03,0,0,0,0,0,0
CAISO,2020,20200405,4,4,14.341145931673,20907.92,35.17,0,0,15819.92,0,0,0,0,0,0
CAISO,2020,20200406,4,5,14.341145931673,22686.17,35.17,0,0,18527.87,0,0,0,0,0,0
CAISO,2020,20200407,4,6,14.341145931673,25068.70,35.90,0,0,18874.71,0,0,0,0,0,0
CAISO,2020,20200408,4,7,14.341145931673,26664.42,35.58,0,0,21576.42,0,0,0,0,0,0
CAISO,2020,20200409,4,8,14.341145931673,27469.09,35.17,0,0,22538.64,0,0,0,0,0,0
CAISO,2020,20200410,4,9,14.341145931673,28237.29,35.17,0,0,27351.07,0,0,0,0,0,0
CAISO,2020,20200411,4,10,14.341145931673,29150.91,34.82,0,0,29252.38,0,101.47,0,0,0,0
CAISO,2020,20200412,4,11,14.341145931673,29722.51,34.82,0,0,30235.47,0,512.96,0,0,0,0
CAISO,2020,20200413,4,12,14.341145931673,29804.26,34.82,0,0,30526.25,0,721.99,0,0,0,0
CAISO,2020,20200414,4,13,14.341145931673,30242.31,34.82,0,0,30495.80,0,253.49,0,0,0,0
CAISO,2020,20200415,4,14,14.341145931673,30182.91,35.17,0,0,29137.71,0,0,0,0,0,0
CAISO,2020,20200416,4,15,14.341145931673,29471.48,35.17,0,0,27113.68,0,0,0,0,0,0
CAISO,2020,20200417,4,16,14.341145931673,29024.15,35.17,0,0,23936.15,0,0,0,0,0,0
CAISO,2020,20200418,4,17,14.341145931673,29224.45,35.98,0,0,21861.04,0,0,0,0,0,0
CAISO,2020,20200419,4,18,14.341145931673,31535.11,40.96,0,0,22122.03,0,0,0,0,0,0
CAISO,2020,20200420,4,19,14.341145931673,31480.21,87.53,0,0,21717.42,0,0,0,0,0,0
CAISO,2020,20200421,4,20,14.341145931673,30829.44,38.60,0,0,20761.40,0,0,0,0,0,0
CAISO,2020,20200422,4,21,14.341145931673,28862.91,35.98,0,0,19699.89,0,0,0,0,0,0
CAISO,2020,20200423,4,22,14.341145931673,26430.16,35.90,0,0,19435.95,0,0,0,0,0,0
CAISO,2020,20200424,4,23,14.341145931673,23978.80,35.23,0,0,18890.80,0,0,0,0,0,0
CAISO,2020,20200501,5,0,6.69944357053316,21617.36,35.27,0,0,22167.24,0,549.88,0,0,0,0
CAISO,2020,20200502,5,1,6.69944357053316,20942.51,35.27,0,0,21232.95,0,299.52,0,0,0,0
CAISO,2020,20200503,5,2,6.69944357053316,20680.72,35.27,0,0,20680.72,0,0,0,0,0,0
CAISO,2020,20200504,5,3,6.69944357053316,20917.56,35.31,0,0,20603.78,0,0,0,0,0,0
CAISO,2020,20200505,5,4,6.69944357053316,22479.32,35.31,0,0,20561.58,0,0,0,0,0,0
CAISO,2020,20200506,5,5,6.69944357053316,25556.53,35.98,0,0,19835.20,0,0,0,0,0,0
CAISO,2020,20200507,5,6,6.69944357053316,27545.18,36.05,0,0,20064.23,0,0,0,0,0,0
CAISO,2020,20200508,5,7,6.69944357053316,28245.00,35.98,0,0,22882.01,0,0,0,0,0,0
CAISO,2020,20200509,5,8,6.69944357053316,28916.00,35.59,0,0,23828.00,0,0,0,0,0,0
CAISO,2020,20200510,5,9,6.69944357053316,29467.88,35.31,0,0,25776.71,0,0,0,0,0,0
CAISO,2020,20200511,5,10,6.69944357053316,29549.88,35.31,0,0,27109.86,0,0,0,0,0,0
CAISO,2020,20200512,5,11,6.69944357053316,29459.25,35.31,0,0,28294.23,0,0,0,0,0,0
CAISO,2020,20200513,5,12,6.69944357053316,29333.86,35.31,0,0,28852.85,0,0,0,0,0,0
CAISO,2020,20200514,5,13,6.69944357053316,29001.52,35.31,0,0,27914.92,0,0,0,0,0,0
CAISO,2020,20200515,5,14,6.69944357053316,28644.16,35.31,0,0,28306.66,0,0,0,0,0,0
CAISO,2020,20200516,5,15,6.69944357053316,28314.36,35.31,0,0,27108.51,0,0,0,0,0,0
CAISO,2020,20200517,5,16,6.69944357053316,28203.76,35.31,0,0,25569.70,0,0,0,0,0,0
CAISO,2020,20200518,5,17,6.69944357053316,28558.13,35.31,0,0,24508.24,0,0,0,0,0,0
CAISO,2020,20200519,5,18,6.69944357053316,30233.09,89.05,0,0,24719.64,0,0,0,0,0,0
CAISO,2020,20200520,5,19,6.69944357053316,30495.53,39.69,0,0,24269.49,0,0,0,0,0,0
CAISO,2020,20200521,5,20,6.69944357053316,29177.43,35.98,0,0,22205.15,0,0,0,0,0,0
CAISO,2020,20200522,5,21,6.69944357053316,26868.05,35.31,0,0,22099.18,0,0,0,0,0,0
CAISO,2020,20200523,5,22,6.69944357053316,24283.26,35.31,0,0,22552.76,0,0,0,0,0,0
CAISO,2020,20200524,5,23,6.69944357053316,22647.19,35.31,0,0,21584.27,0,0,0,0,0,0
CAISO,2020,20200601,6,0,0.495311596114082,20618.11,34.32,0,0,16637.09,0,0,0,0,0,0
CAISO,2020,20200602,6,1,0.495311596114082,20059.02,34.32,0,0,15095.72,0,0,0,0,0,0
CAISO,2020,20200603,6,2,0.495311596114082,19906.03,34.54,0,0,14818.03,0,0,0,0,0,0
CAISO,2020,20200604,6,3,0.495311596114082,20413.16,35.12,0,0,15325.16,0,0,0,0,0,0
CAISO,2020,20200605,6,4,0.495311596114082,21879.89,35.73,0,0,16791.89,0,0,0,0,0,0
CAISO,2020,20200606,6,5,0.495311596114082,24549.72,35.87,0,0,16498.14,0,0,0,0,0,0
CAISO,2020,20200607,6,6,0.495311596114082,26320.76,35.95,0,0,17535.22,0,0,0,0,0,0
CAISO,2020,20200608,6,7,0.495311596114082,27605.47,35.56,0,0,22517.47,0,0,0,0,0,0
CAISO,2020,20200609,6,8,0.495311596114082,28413.77,34.32,0,0,24647.62,0,0,0,0,0,0
CAISO,2020,20200610,6,9,0.495311596114082,29159.89,32.84,0,0,27410.75,0,535.48,0,0,0,0
CAISO,2020,20200611,6,10,0.495311596114082,29449.01,32.84,0,0,29785.68,0,448.81,0,0,0,0
CAISO,2020,20200612,6,11,0.495311596114082,29681.88,32.84,0,0,31030.36,0,1365.86,0,0,0,0
CAISO,2020,20200613,6,12,0.495311596114082,29952.47,32.84,0,0,31301.76,0,1496.39,0,0,0,0
CAISO,2020,20200614,6,13,0.495311596114082,29958.34,32.84,0,0,30555.06,0,596.72,0,0,0,0
CAISO,2020,20200615,6,14,0.495311596114082,29747.36,32.84,0,0,30285.44,0,538.08,0,0,0,0
CAISO,2020,20200616,6,15,0.495311596114082,29059.10,32.84,0,0,27667.45,0,0,0,0,0,0
CAISO,2020,20200617,6,16,0.495311596114082,28524.07,34.32,0,0,24454.41,0,0,0,0,0,0
CAISO,2020,20200618,6,17,0.495311596114082,28256.93,35.98,0,0,21114.47,0,0,0,0,0,0
CAISO,2020,20200619,6,18,0.495311596114082,29855.31,41.83,0,0,21832.24,0,0,0,0,0,0
CAISO,2020,20200620,6,19,0.495311596114082,30652.27,86.72,0,0,21955.18,0,0,0,0,0,0
