zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28297251.70297837
IID,2022,729298.2748656464,26217748.121426485
IID,2026,729298.2748656464,29123450.209107246
IID,2030,729298.2748656464,29377187.462714918
LDWP,2020,13199.194695043863,478613.84908168233
LDWP,2022,13199.194695043863,463377.76314055565
LDWP,2026,13199.194695043863,479998.4903130721
LDWP,2030,13199.194695043863,482689.1249317705
NW,2020,3675124.8535070666,86310514.67777085
NW,2022,3337934.4357929556,91239331.7281313
NW,2026,3447499.6008758564,98948190.79971747
NW,2030,3224357.0194515986,96213764.37554012
SW,2020,397143.1904552827,9301555.77122629
SW,2022,397143.1904552827,9402620.969682865
SW,2026,397143.1904552827,9431526.20684394
SW,2030,397143.1904552827,9625246.503949398
