resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,29557980.66286932,1566573.0948996895,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,32072098.841383018,1699820.8635873867,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,32127895.58656408,1702784.1952214597,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,29337658.998789534,1554896.2193287476,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2020,414610869.3838009,21974375.14843521,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2022,136908402.61814988,7256146.988687752,0.0,1334389.4322514194
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2026,289880985.2819048,15363692.62969114,0.0,9949421.900970004
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2030,214640604.59333056,11375949.951589251,0.0,1796893.4653320601
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2020,131171.3042564014,6952.402020788358,0.0,11765.1570355963
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2022,210233.15383587568,11142.194630320206,0.0,39630.107589513726
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2020,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2022,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2026,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2030,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2020,20294747.636082504,1907724.995110802,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2022,4174547.6481038895,392409.5371205333,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2020,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2022,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2026,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2030,58050378.84064079,0.0,0.0,0.0
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2020,8987130.003011614,476318.13622624375,0.0,1044713.3379521235
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2022,16326152.382021977,865286.2175807508,0.0,1756500.971380712
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2026,577796.5413772609,30623.139271839325,0.0,81871.6430434144
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Peaker2,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Reciprocating_Engine,CA_Natural_Gas,CAISO,CAISO,2020,763802.1101651195,40485.264930785306,0.0,63457.94361026106
