zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26545715.571567055
IID,2026,729298.2748656464,29447584.760117956
IID,2030,729298.2748656464,30004554.5685446
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,468348.1264624328
LDWP,2026,13199.194695043863,479451.1448871784
LDWP,2030,13199.194695043863,487391.86556051753
NW,2020,3679179.180943576,86704752.16896626
NW,2022,3349408.387813327,91799425.27129649
NW,2026,3349408.387813327,96644184.45288292
NW,2030,3222466.1293315175,96869632.3003111
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9414576.862216678
SW,2026,397143.1904552827,9470779.433830302
SW,2030,397143.1904552827,9656420.553809911
