period,resource,zone,contract,technology,planned_energy_capacity_mwh,new_build_mwh,cumulative_new_build_mwh,total_energy_capacity_mwh
2020,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2020,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,0,0
2020,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2020,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,3332.84,833.21,833.21,4166.05
2020,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,1804.97,0,0,1804.97
2020,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,0,0,0
2020,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,0,0,0
2020,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,0,0,0
2020,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,0,0,0
2020,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2022,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,0,0
2022,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2022,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5128.17,6891.18,7724.39,12852.56
2022,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,2355.89,0,0,2355.89
2022,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,0,0,0
2022,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2026,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,0,0
2026,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2026,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5917.24,9743.58,17467.97,23385.21
2026,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,3301.05,0,0,3301.05
2026,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,0,0,0
2026,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
2030,CAISO_Existing_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,252821.12,,,252821.12
2030,CAISO_New_Pumped_Storage,CAISO,CAISO,Pumped_Hydro,0,0,0,0
2030,CAISO_New_Flow_Battery,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Flow_Battery_2,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Flow_Battery_3,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Flow_Battery_4,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Flow_Battery_5,CAISO,CAISO,Flow_Battery,0,0,0,0
2030,CAISO_New_Li_Battery,CAISO,CAISO,Li_Battery,5917.24,15241.08,32709.04,38626.28
2030,CAISO_BTM_Li_Battery,CAISO,CAISO,BTM_Li_Battery,4117.66,0,0,4117.66
2030,CAISO_New_Li_Battery_2,CAISO,CAISO,Li_Battery,0,23455.49,23455.49,23455.49
2030,CAISO_New_Li_Battery_3,CAISO,CAISO,Li_Battery,0,17841.31,17841.31,17841.31
2030,CAISO_New_Li_Battery_4,CAISO,CAISO,Li_Battery,0,0,0,0
2030,CAISO_New_Li_Battery_5,CAISO,CAISO,Li_Battery,0,0,0,0
2030,CAISO_New_Li_Battery_6,CAISO,CAISO,Li_Battery,0,0,0,0
