zone,contract,resource,period,net_energy_mwh_per_year,net_subhourly_energy_mwh_per_year,scheduled_curtailment_mwh_per_year,units_started_per_year,units_shut_down_per_year
BANC,BANC,BANC_Biomass_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Biomass_for_Other,2045,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2020,4054024.438753963,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2022,4301947.908993578,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2026,4170560.7835503817,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2030,3813870.9120636936,0.0,0.0,0.0,0.0
BANC,BANC,BANC_CCGT,2045,3569973.049616824,0.0,0.0,25.444739703037754,25.444739703037754
BANC,BANC,BANC_Geothermal_for_Other,2020,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2022,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2026,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2030,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Geothermal_for_Other,2045,0.0,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Hydro,2020,7022470.75881758,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Hydro,2022,7022469.506564826,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Hydro,2026,7022469.748928136,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Hydro,2030,7022470.017399635,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Hydro,2045,7022469.581177516,0.0,0.0,0.0,0.0
BANC,BANC,BANC_Peaker,2020,0.0,0.0,0.0,0.0,0.0
