resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,30144452.990805008,1597652.2507271734,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,32332569.109204475,1713621.145429212,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,31168725.718121808,1651945.7278002375,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,28321564.28380727,1501043.0371373747,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2045,26467807.636421222,1402792.4252082047,0.0,29670.1312705488
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2045,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2045,0.0,0.0,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2020,408430873.09305227,21646840.937310982,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2022,136630588.8580973,7241423.009431638,0.0,2144039.4654240883
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2026,249945365.24803203,13247105.62657161,0.0,6709304.465894382
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2030,224986209.6581122,11924267.653740484,0.0,3182127.497560132
