line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.90400705277,0.0
BANC_to_CAISO,2022,287305.8778460645,0.0
BANC_to_CAISO,2026,230336.34831815868,0.0
BANC_to_CAISO,2030,24220.555530615427,0.0
BANC_to_CAISO,2045,21464.828733289145,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,3653.9067158226826,0.0
IID_to_CAISO,2026,7992.026566798073,0.0
IID_to_CAISO,2030,0.0,0.0
IID_to_CAISO,2045,657.550849539808,0.0
LDWP_to_CAISO,2020,115043.92912927218,0.0
LDWP_to_CAISO,2022,49100.80388141163,0.0
LDWP_to_CAISO,2026,42484.37220382194,0.0
LDWP_to_CAISO,2030,390.09402206433913,0.0
LDWP_to_CAISO,2045,73055.86758374356,0.0
NW_to_CAISO_Unspecified,2020,4105714.2296095677,0.0
NW_to_CAISO_Unspecified,2022,2853629.5420295806,0.0
NW_to_CAISO_Unspecified,2026,2257000.8124694754,0.0
NW_to_CAISO_Unspecified,2030,437430.3497608065,0.0
NW_to_CAISO_Unspecified,2045,20739.55735024824,0.0
SW_to_CAISO,2020,5860387.4163464885,0.0
SW_to_CAISO,2022,8796775.496872686,0.0
SW_to_CAISO,2026,8498603.520681819,0.0
SW_to_CAISO,2030,2039438.815843632,0.0
SW_to_CAISO,2045,659876.1991798211,0.0
