period,resource,zone,contract,technology,planned_capacity_mw,new_build_mw,cumulative_new_build_mw,operational_capacity_mw,transmission_zone,fully_deliverable_capacity_mw,energy_only_capacity_mw,new_build_flexible_load_capacity_mwh_per_day,total_flexible_load_capacity_mwh_per_day,hydrogen_electrolysis_capacity_mw,capacity_limit_dual_$,unit_size_mw,operational_units,capital_cost_$,fixed_o_and_m_cost_$,period_discount_factor,operational_planned_capacity_mw,retired_planned_capacity_mw,operational_new_capacity_mw,retired_new_capacity_mw,min_cumulative_new_build_mw
2020,CAISO_CHP,CAISO,CAISO,CAISO_CHP,2296.02,,,2296.02,,,,,,,,,,,0,1.47619047619048,2296.02,,,,
2020,CAISO_Nuclear,CAISO,CAISO,CAISO_Nuclear,2935.00,,,2935.00,,,,,,,,,,,0,1.47619047619048,2935.00,,,,
2020,CAISO_CCGT1,CAISO,CAISO,CAISO_CCGT1,12049.47,,,12049.47,,,,,,,,532.40,22.63,,133928841.70,1.47619047619048,12049.47,0,,,
2020,CAISO_CCGT2,CAISO,CAISO,CAISO_CCGT2,2927.93,,,2927.93,,,,,,,,187.53,15.61,,32543694.74,1.47619047619048,2927.93,0,,,
2020,CAISO_Coal,CAISO,CAISO,CAISO_Coal,480.00,,,480.00,,,,,,,,849.97,0.56,,0,1.47619047619048,480.00,,,,
2020,CAISO_Peaker1,CAISO,CAISO,CAISO_Peaker1,4913.93,,,4913.93,,,,,,,,67.59,72.70,,67294545.83,1.47619047619048,4913.93,0,,,
2020,CAISO_Peaker2,CAISO,CAISO,CAISO_Peaker2,3682.71,,,3682.71,,,,,,,,53.00,69.48,,50433420.27,1.47619047619048,3682.71,0,,,
2020,CAISO_Advanced_CCGT,CAISO,CAISO,CAISO_Advanced_CCGT,0,0,0,0,,,,,,,,600.00,0,0,0,1.47619047619048,0,0,0,0,0
2020,CAISO_Aero_CT,CAISO,CAISO,CAISO_Aero_CT,0,0,0,0,,,,,,,,100.00,0,0,0,1.47619047619048,0,0,0,0,0
2020,CAISO_Reciprocating_Engine,CAISO,CAISO,CAISO_Reciprocating_Engine,255.30,0,0,255.30,,,,,,,,10.36,24.65,0,3496243.85,1.47619047619048,255.30,0,0,0,0
2020,CAISO_ST,CAISO,CAISO,CAISO_ST,4577.22,,,4577.22,,,,,,,,341.83,13.39,,50875413.84,1.47619047619048,4577.22,,,,
2020,NW_Nuclear,NW,NW,NW_Nuclear,1756.56,,,1756.56,,,,,,,,,,,0,1.47619047619048,1756.56,,,,
2020,NW_Coal,NW,NW,NW_Coal,10664.80,,,10664.80,,,,,,,,367.75,29.00,,0,1.47619047619048,10664.80,,,,
2020,NW_CCGT,NW,NW,NW_CCGT,9068.31,,,9068.31,,,,,,,,341.91,26.52,,0,1.47619047619048,9068.31,,,,
2020,NW_Peaker,NW,NW,NW_Peaker,2993.17,,,2993.17,,,,,,,,29.06,103.00,,0,1.47619047619048,2993.17,,,,
2020,SW_Nuclear,SW,SW,SW_Nuclear,2998.00,,,2998.00,,,,,,,,,,,0,1.47619047619048,2998.00,,,,
2020,SW_Coal,SW,SW,SW_Coal,7167.60,,,7167.60,,,,,,,,409.46,17.50,,0,1.47619047619048,7167.60,,,,
2020,SW_CCGT,SW,SW,SW_CCGT,17015.10,,,17015.10,,,,,,,,344.28,49.42,,0,1.47619047619048,17015.10,,,,
2020,SW_Peaker,SW,SW,SW_Peaker,5989.12,,,5989.12,,,,,,,,47.78,125.34,,0,1.47619047619048,5989.12,,,,
2020,SW_ST,SW,SW,SW_ST,1611.50,,,1611.50,,,,,,,,92.71,17.38,,0,1.47619047619048,1611.50,,,,
2020,LDWP_Nuclear,LDWP,LDWP,LDWP_Nuclear,407.00,,,407.00,,,,,,,,,,,0,1.47619047619048,407.00,,,,
2020,LDWP_Coal,LDWP,LDWP,LDWP_Coal,1699.94,,,1699.94,,,,,,,,849.97,2.00,,0,1.47619047619048,1699.94,,,,
2020,LDWP_CCGT,LDWP,LDWP,LDWP_CCGT,2291.70,,,2291.70,,,,,,,,385.96,5.94,,0,1.47619047619048,2291.70,,,,
2020,LDWP_Peaker,LDWP,LDWP,LDWP_Peaker,1545.00,,,1545.00,,,,,,,,82.35,18.76,,0,1.47619047619048,1545.00,,,,
2020,LDWP_ST,LDWP,LDWP,LDWP_ST,992.00,,,992.00,,,,,,,,110.22,9.00,,0,1.47619047619048,992.00,,,,
2020,IID_CCGT,IID,IID,IID_CCGT,255.30,,,255.30,,,,,,,,127.65,2.00,,0,1.47619047619048,255.30,,,,
2020,IID_Peaker,IID,IID,IID_Peaker,397.00,,,397.00,,,,,,,,36.09,11.00,,0,1.47619047619048,397.00,,,,
2020,BANC_CCGT,BANC,BANC,BANC_CCGT,1863.10,,,1863.10,,,,,,,,207.01,9.00,,0,1.47619047619048,1863.10,,,,
2020,BANC_Peaker,BANC,BANC,BANC_Peaker,866.99,,,866.99,,,,,,,,34.68,25.00,,0,1.47619047619048,866.99,,,,
2020,BANC_Biomass_for_Other,BANC,BANC,Biomass,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,BANC_Geothermal_for_Other,BANC,BANC,Geothermal,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,CAISO_Biomass_for_Other,CAISO,CAISO,Biomass,11.70,,,11.70,,,,,,,,,,,0,1.47619047619048,11.70,,,,
2020,CAISO_Geothermal_for_Other,CAISO,CAISO,Geothermal,38.67,,,38.67,,,,,,,,,,,0,1.47619047619048,38.67,,,,
2020,IID_Biomass_for_Other,IID,IID,Biomass,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,IID_Geothermal_for_Other,IID,IID,Geothermal,4.00,,,4.00,,,,,,,,,,,0,1.47619047619048,4.00,,,,
2020,LDWP_Biomass_for_Other,LDWP,LDWP,Biomass,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,LDWP_Geothermal_for_Other,LDWP,LDWP,Geothermal,147.26,,,147.26,,,,,,,,,,,0,1.47619047619048,147.26,,,,
2020,NW_Biomass_for_Other,NW,NW,Biomass,599.71,,,599.71,,,,,,,,,,,0,1.47619047619048,599.71,,,,
2020,NW_Geothermal_for_Other,NW,NW,Geothermal,103.85,,,103.85,,,,,,,,,,,0,1.47619047619048,103.85,,,,
2020,SW_Biomass_for_Other,SW,SW,Biomass,37.40,,,37.40,,,,,,,,,,,0,1.47619047619048,37.40,,,,
2020,SW_Geothermal_for_Other,SW,SW,Geothermal,406.91,,,406.91,,,,,,,,,,,0,1.47619047619048,406.91,,,,
2020,CAISO_Biomass_for_CAISO,CAISO,CAISO,Biomass,890.95,,,890.95,,,,,,,,,,,0,1.47619047619048,890.95,,,,
2020,CAISO_Geothermal_for_CAISO,CAISO,CAISO,Geothermal,1812.64,,,1812.64,,,,,,,,,,,0,1.47619047619048,1812.64,,,,
2020,IID_Geothermal_for_CAISO,IID,CAISO,Geothermal,83.00,,,83.00,,,,,,,,,,,0,1.47619047619048,83.00,,,,
2020,NW_Biomass_for_CAISO,NW,CAISO,Biomass,46.00,,,46.00,,,,,,,,,,,0,1.47619047619048,46.00,,,,
2020,NW_Geothermal_for_CAISO,NW,CAISO,Geothermal,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,InState_Biomass,CAISO,CAISO,Biomass,0,0,0,0,None,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,CAISO_Small_Hydro_for_CAISO,CAISO,CAISO,Small_Hydro,960.23,,,960.23,,,,,,,,,,,0,1.47619047619048,960.23,,,,
2020,BANC_Small_Hydro_for_CAISO,BANC,CAISO,Small_Hydro,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,NW_Small_Hydro_for_CAISO,NW,CAISO,Small_Hydro,6.90,,,6.90,,,,,,,,,,,0,1.47619047619048,6.90,,,,
2020,CAISO_Small_Hydro_for_Other,CAISO,CAISO,Small_Hydro,13.80,,,13.80,,,,,,,,,,,0,1.47619047619048,13.80,,,,
2020,BANC_Small_Hydro_for_Other,BANC,BANC,Small_Hydro,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,IID_Small_Hydro_for_Other,IID,IID,Small_Hydro,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,LDWP_Small_Hydro_for_Other,LDWP,LDWP,Small_Hydro,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,NW_Small_Hydro_for_Other,NW,NW,Small_Hydro,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,SW_Small_Hydro_for_Other,SW,SW,Small_Hydro,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,Greater_Imperial_Geothermal,CAISO,CAISO,Geothermal,0,0,0,0,Greater_Imperial,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Inyokern_North_Kramer_Geothermal,CAISO,CAISO,Geothermal,0,0,0,0,Inyokern_North_Kramer,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Northern_California_Ex_Geothermal,CAISO,CAISO,Geothermal,0,0,0,0,Northern_California_Ex,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Pacific_Northwest_Geothermal,CAISO,CAISO,Geothermal,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,Riverside_Palm_Springs_Geothermal,CAISO,CAISO,Geothermal,0,0,0,0,Riverside_Palm_Springs,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Solano_Geothermal,CAISO,CAISO,Geothermal,0,0,0,0,Solano,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Southern_Nevada_Geothermal,CAISO,CAISO,Geothermal,0,0,0,0,Mountain_Pass_El_Dorado,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Customer_PV,CAISO,CAISO,Customer_PV,9827.31,,,9827.31,,,,,,,,,,,0,1.47619047619048,9827.31,,,,
2020,BANC_Solar_for_Other,BANC,BANC,Solar,1931.56,,,1931.56,,,,,,,,,,,0,1.47619047619048,1931.56,,,,
2020,CAISO_Solar_for_Other,CAISO,CAISO,Solar,12.00,,,12.00,,,,,,,,,,,0,1.47619047619048,12.00,,,,
2020,IID_Solar_for_Other,IID,IID,Solar,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,LDWP_Solar_for_Other,LDWP,LDWP,Solar,1061.71,,,1061.71,,,,,,,,,,,0,1.47619047619048,1061.71,,,,
2020,NW_Solar_for_Other,NW,NW,Solar,563.21,,,563.21,,,,,,,,,,,0,1.47619047619048,563.21,,,,
2020,SW_Solar_for_Other,SW,SW,Solar,1965.30,,,1965.30,,,,,,,,,,,0,1.47619047619048,1965.30,,,,
2020,CAISO_Solar_for_CAISO,CAISO,CAISO,Solar,14156.83,,,14156.83,,,,,,,,,,,0,1.47619047619048,14156.83,,,,
2020,IID_Solar_for_CAISO,IID,CAISO,Solar,49.90,,,49.90,,,,,,,,,,,0,1.47619047619048,49.90,,,,
2020,SW_Solar_for_CAISO,SW,CAISO,Solar,65.00,,,65.00,,,,,,,,,,,0,1.47619047619048,65.00,,,,
2020,BANC_Wind_for_Other,BANC,BANC,Wind,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,CAISO_Wind_for_Other,CAISO,CAISO,Wind,279.98,,,279.98,,,,,,,,,,,0,1.47619047619048,279.98,,,,
2020,IID_Wind_for_Other,IID,IID,Wind,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,LDWP_Wind_for_Other,LDWP,LDWP,Wind,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
2020,NW_Wind_for_Other,NW,NW,Wind,8594.91,,,8594.91,,,,,,,,,,,0,1.47619047619048,8594.91,,,,
2020,SW_Wind_for_Other,SW,SW,Wind,2124.23,,,2124.23,,,,,,,,,,,0,1.47619047619048,2124.23,,,,
2020,CAISO_Wind_for_CAISO,CAISO,CAISO,Wind,7076.58,,,7076.58,,,,,,,,,,,0,1.47619047619048,7076.58,,,,
2020,LDWP_Wind_for_CAISO,LDWP,CAISO,Wind,5.09,,,5.09,,,,,,,,,,,0,1.47619047619048,5.09,,,,
2020,NW_Wind_for_CAISO,NW,CAISO,Wind,1417.29,,,1417.29,,,,,,,,,,,0,1.47619047619048,1417.29,,,,
2020,SW_Wind_for_CAISO,SW,CAISO,Wind,50.40,,,50.40,,,,,,,,,,,0,1.47619047619048,50.40,,,,
2020,Carrizo_Solar,CAISO,CAISO,Solar,0,0,0,0,Carrizo,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Carrizo_Wind,CAISO,CAISO,Wind,0,0,0,0,Carrizo,0,0,,,,-134250.01,,,0,0,1.47619047619048,0,,0,,0
2020,Central_Valley_North_Los_Banos_Solar,CAISO,CAISO,Solar,0,0,0,0,Central_Valley_North_Los_Banos,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Central_Valley_North_Los_Banos_Wind,CAISO,CAISO,Wind,0,0,0,0,Central_Valley_North_Los_Banos,0,0,,,,-90912.72,,,0,0,1.47619047619048,0,,0,,0
2020,Distributed_Solar,CAISO,CAISO,Solar,0,0,0,0,None,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Distributed_Wind,CAISO,CAISO,Wind,0,0,0,0,None,0,0,,,,-107113.43,,,0,0,1.47619047619048,0,,0,,0
2020,Greater_Imperial_Solar,CAISO,CAISO,Solar,0,0,0,0,Greater_Imperial,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Greater_Imperial_Wind,CAISO,CAISO,Wind,0,0,0,0,Greater_Imperial,0,0,,,,-186845.24,,,0,0,1.47619047619048,0,,0,,0
2020,Greater_Kramer_Wind,CAISO,CAISO,Wind,0,0,0,0,Greater_Kramer,0,0,,,,-91601.24,,,0,0,1.47619047619048,0,,0,,0
2020,Humboldt_Wind,CAISO,CAISO,Wind,0,0,0,0,Humboldt,0,0,,,,-156473.92,,,0,0,1.47619047619048,0,,0,,0
2020,Inyokern_North_Kramer_Solar,CAISO,CAISO,Solar,0,0,0,0,Inyokern_North_Kramer,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Kern_Greater_Carrizo_Solar,CAISO,CAISO,Solar,0,0,0,0,Kern_Greater_Carrizo,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Kern_Greater_Carrizo_Wind,CAISO,CAISO,Wind,0,0,0,0,Kern_Greater_Carrizo,0,0,,,,-119158.46,,,0,0,1.47619047619048,0,,0,,0
2020,Kramer_Inyokern_Ex_Solar,CAISO,CAISO,Solar,0,0,0,0,Kramer_Inyokern_Ex,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Kramer_Inyokern_Ex_Wind,CAISO,CAISO,Wind,0,0,0,0,Kramer_Inyokern_Ex,0,0,,,,-118133.88,,,0,0,1.47619047619048,0,,0,,0
2020,North_Victor_Solar,CAISO,CAISO,Solar,0,0,0,0,North_Victor,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Northern_California_Ex_Solar,CAISO,CAISO,Solar,0,0,0,0,Northern_California_Ex,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Northern_California_Ex_Wind,CAISO,CAISO,Wind,0,0,0,0,Northern_California_Ex,0,0,,,,-130524.05,,,0,0,1.47619047619048,0,,0,,0
2020,NW_Ext_Tx_Wind,CAISO,CAISO,Wind,0,0,0,0,Sacramento_River,0,0,,,,-90804.35,,,0,0,1.47619047619048,0,,0,,0
2020,Riverside_Palm_Springs_Solar,CAISO,CAISO,Solar,0,0,0,0,Riverside_Palm_Springs,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Sacramento_River_Solar,CAISO,CAISO,Solar,0,0,0,0,Sacramento_River,0,0,,,,0,,,0,0,1.47619047619048,0,,0,,0
2020,Sacramento_River_Wind,CAISO,CAISO,Wind,0,,,0,,,,,,,,,,,0,1.47619047619048,0,,,,
