transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1090089.7144588688,1174915.6643991983,84825.94994032934,560.1252225076986,410.93343765272516,2097.594639889743,206.42260319544675,6455.982756914805,44193958.40556502,48329261.59406741,3089694.6157581895,2201846.94523422,1090089.7144588688,2846099.3532463214,881212.1216420009
BANC_to_CAISO,BANC,CAISO,2022,-105075.96966518018,567601.0079590413,672676.977624221,472.59795286425395,412.86466358445347,1201.0229932631032,1629.291719431982,5929.6852873049165,22419759.14456376,24134658.396041412,21344057.722434036,7959489.857429735,-105075.96966518018,1374949.1781206802,6988115.810433837
BANC_to_CAISO,BANC,CAISO,2026,471004.2118780887,522097.86913892906,51093.65726084034,615.168712637789,213.5365002198897,848.7067993107446,239.27364740091988,7672.019553288343,19794487.50724295,62490885.42415698,1869409.1401843843,1248227.241027679,471004.2118780887,1264721.0758128448,530788.5171296744
BANC_to_CAISO,BANC,CAISO,2030,1121.5871811921438,56944.30483164095,55822.7176504488,228.9991830474904,271.1574999495696,248.66597371149444,205.86824137569795,8305.465784912827,1880250.3357777467,7458630.120914263,2166719.574426993,1586721.5380388298,1121.5871811921438,137940.88192635681,579912.5193510796
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-426745.4736496483,1339.0834539304303,428084.5571035787,40.955000000000005,185.66356859269263,32.6964584038684,2305.7003608645887,6421.603180731545,50302.48439449517,56868.729400754084,15445108.075664535,10336353.169011686,-426745.4736496483,4256.588437307607,4447154.431203074
IID_to_CAISO,IID,CAISO,2022,-1336495.101686651,18299.83540832208,1354794.937094973,100.40781651870336,331.48514742684847,182.2550877292835,4087.045671914898,4490.6992403558015,720329.95140572,803554.9493993765,43498437.16387843,13826716.420230174,-1336495.101686651,58170.67582370963,14074276.980197815
IID_to_CAISO,IID,CAISO,2026,-809898.7484490208,561.0943104279004,810459.8427594487,40.61,350.7341456159574,13.816653790394001,2310.752611029997,6435.430735179612,22522.32562057592,68459.11681530812,23689371.954655502,8365684.892502426,-809898.7484490208,1783.7300043398654,8419465.77096451
IID_to_CAISO,IID,CAISO,2030,-983298.8447123457,2998.748765877206,986297.593478223,94.63,350.9295395813678,31.689197568183516,2810.5288447783587,5917.781957653465,138732.51275851188,438301.97440567985,29560549.332217813,14383436.142498476,-983298.8447123457,9532.744412460965,10246156.394905897
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-273788.9364864031,268795.38772829174,542584.3242146949,579.6608292406006,1095.87000194079,463.7114915638408,495.11741653095345,7801.171091905214,11269251.704605648,12984159.663603595,16974784.917316016,7723367.107063405,-273788.9364864031,1502993.128100683,5636627.421646754
