resource,fuel,zone,contract,period,fuel_burn_mmbtu_per_year,ghg_tco2_per_year,pipeline_biogas_mmbtu_per_year,start_fuel_mmbtu_per_year
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2020,30144453.353965245,1597652.557953981,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2022,31580562.81238235,1673769.618486722,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2026,31929903.94072417,1692289.4272462707,0.0,0.0
BANC_CCGT,CA_Natural_Gas,BANC,BANC,2030,29188353.20968627,1546984.5672865293,0.0,-0.867850205481009
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2020,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2022,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2026,0.0,0.0,0.0,0.0
BANC_Peaker,CA_Natural_Gas,BANC,BANC,2030,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2022,29.989751448101554,0.0,0.0,-2.6803707642755366
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2026,44.588317172296335,0.0,0.0,-3.1825826879493837
CAISO_Advanced_CCGT,CA_Natural_Gas,CAISO,CAISO,2030,39.47698339039897,0.0,0.0,-3.56637236262436
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2020,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2022,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Aero_CT,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2020,408430871.3163348,21646840.94637917,0.0,0.0
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2022,134829951.3388916,7145986.7930652015,0.0,3193068.446817251
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2026,329928519.4959985,17486214.64126507,0.0,12610502.913995847
CAISO_CCGT1,CA_Natural_Gas,CAISO,CAISO,2030,206176744.38174358,10927363.207249714,0.0,1754245.13199415
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2020,2076773.7702410757,110068.29992310524,0.0,14040.483581798386
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2022,1113628.8141485471,59022.37795573485,0.0,192572.65714172676
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_CCGT2,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2020,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2022,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2026,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_CHP,CA_Natural_Gas,CAISO,CAISO,2030,82761298.89018771,4386352.666370099,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2020,18909222.0883952,1777484.922334493,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2022,1590593.5313285564,149516.9753733842,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2026,0.0,0.0,0.0,0.0
CAISO_Coal,CA_Coal,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2020,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2022,268311664.85502455,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2026,58050378.84064079,0.0,0.0,0.0
CAISO_Nuclear,Uranium,CAISO,CAISO,2030,58050378.84064079,0.0,0.0,0.0
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2020,14457909.711541578,766270.0941994811,0.0,1444765.9919912978
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2022,25293077.499412827,1340533.9682949116,0.0,2442826.813225313
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2026,631159.9944921818,33451.46926237418,0.0,89433.10923144873
CAISO_Peaker1,CA_Natural_Gas,CAISO,CAISO,2030,0.0,0.0,0.0,0.0
