line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502863.0159619499,0.0
BANC_to_CAISO,2022,242933.5326018627,0.0
BANC_to_CAISO,2026,223457.26183149917,0.0
BANC_to_CAISO,2030,24372.159707136812,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,7832.458532912864,0.0
IID_to_CAISO,2026,240.13344287704774,0.0
IID_to_CAISO,2030,1283.491724505353,0.0
LDWP_to_CAISO,2020,115044.21841267397,0.0
LDWP_to_CAISO,2022,43871.52411614268,0.0
LDWP_to_CAISO,2026,15503.27718944291,0.0
LDWP_to_CAISO,2030,2789.5897592965484,0.0
NW_to_CAISO_Unspecified,2020,4127812.3738039113,0.0
NW_to_CAISO_Unspecified,2022,2973598.658425319,0.0
NW_to_CAISO_Unspecified,2026,1938631.5890098182,0.0
NW_to_CAISO_Unspecified,2030,412654.254853666,0.0
SW_to_CAISO,2020,5838288.7447244115,0.0
SW_to_CAISO,2022,9982519.89103036,0.0
SW_to_CAISO,2026,4732864.681548847,0.0
SW_to_CAISO,2030,3058715.75231488,0.0
