transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1089883.3922442566,1174915.7515670338,85032.35932277718,552.5681823281867,405.47840939132425,2126.2819488025034,209.70872271700432,6424.009328480488,44193965.22783408,48329268.627119504,3096778.585763799,2206786.321756196,1089883.3922442566,2846099.06428343,883356.36392161
BANC_to_CAISO,BANC,CAISO,2022,-108094.5654233279,567600.8077048969,675695.3731282245,471.92023598202104,414.50823948167545,1202.7473382737523,1630.1132493123714,5927.139412413878,22419749.079419583,24223232.716558766,21454382.90675084,8064618.992183012,-108094.5654233279,1374949.753703377,7019472.020284136
BANC_to_CAISO,BANC,CAISO,2026,471003.6925011775,522097.3497620177,51093.657260840344,569.9788584248477,213.53650021988972,915.9942374088192,239.27364740091988,7604.732115190269,19794464.851798784,62490820.63968312,1869409.1401843845,1248227.241027679,471003.6925011775,1264719.4887849155,530788.5171296744
BANC_to_CAISO,BANC,CAISO,2030,2724.899942659941,56944.40217725417,54219.50223459421,225.46165152062878,286.73103562827913,252.56801674782372,189.0953384791066,8318.336644773088,1880253.8545504462,7458643.1853156425,2103370.662871752,1540030.0346543181,2724.899942659941,137940.92382094203,563257.4373358148
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-426745.81682449766,1339.0834539304303,428084.90027842805,40.955000000000005,186.74263583460043,32.6964584038684,2292.379018670308,6434.924522925824,50302.48439449517,56868.729400754084,15445120.889950555,10336362.41771102,-426745.81682449766,4256.588437307607,4447154.291575951
IID_to_CAISO,IID,CAISO,2022,-1324223.7194360585,18299.83540832208,1342523.5548443806,100.40781651870336,331.1892852417233,182.2550877292835,4053.6442894416714,4524.100622829029,720329.95140572,803588.0326815805,43096202.11083263,13866708.74884745,-1324223.7194360585,58170.67582370963,13946797.402001688
IID_to_CAISO,IID,CAISO,2026,-824879.9880272439,561.0943104279004,825441.0823376718,40.61,348.7587280849101,13.816653790394001,2366.796916797755,6379.3864294118475,22522.32562057592,68459.11681530812,24269096.181079112,8789651.459726054,-824879.9880272439,1783.7300043398654,8575098.111785498
IID_to_CAISO,IID,CAISO,2030,-982785.5070086048,2998.748765877206,985784.2557744823,94.63,350.7468914990703,31.689197568183516,2810.5288447783587,5917.781957653465,138732.51275851188,438301.97440567985,29537579.18104394,14365882.911460018,-982785.5070086048,9532.744412460965,10240824.381824011
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-273582.3087592389,268795.38772829174,542377.6964875306,579.6608292406006,1091.8552575435378,463.7114915638408,496.7487153084512,7799.539793127716,11269251.704605646,12984159.663603596,16967693.489413902,7718422.541246527,-273582.3087592389,1502993.128100683,5634483.269820741
LDWP_to_CAISO,LDWP,CAISO,2022,-3580395.122425135,102503.49213026602,3682898.614555401,577.3169815246305,1357.2731648382219,177.55149321879568,2713.454233064704,5868.994273716506,6317107.271429089,7115835.487304844,106019217.26226322,18299642.84511143,-3580395.122425135,573158.0201505284,38259749.82901627
LDWP_to_CAISO,LDWP,CAISO,2026,-2202933.690038513,36222.78258600921,2239156.4726245212,286.7943804050091,1291.9419537303681,126.30227459427775,1733.171112029573,6900.52661337616,1737148.2878847346,4824254.64128015,64852054.816700526,20011003.79247807,-2202933.690038513,202545.19869000025,23261448.763819147
