zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26583973.699275967
IID,2026,729298.2748656464,28512105.409821976
IID,2030,729298.2748656464,29730282.21892836
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,468997.29236728593
LDWP,2026,13199.194695043863,487722.3728701738
LDWP,2030,13199.194695043863,487613.74241280573
NW,2020,3679179.180943576,86704752.16896626
NW,2022,3366354.9637063015,92450645.48683783
NW,2026,3669353.697317241,98774660.03756344
NW,2030,3306953.7806911804,97078521.45306219
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9410304.355191419
SW,2026,397143.1904552827,9442292.958100468
SW,2030,397143.1904552827,9618725.063415004
