transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1087741.732638754,1174915.6643991983,87173.9317604443,558.5144416158948,381.74521942642093,2103.644197632438,228.35631548032143,6427.999486887235,44193958.40556502,48329261.594067425,3170277.3518245346,2220894.1640634635,1087741.732638754,2846099.172339132,905604.161890367
BANC_to_CAISO,BANC,CAISO,2022,212069.74427918834,739572.2615575817,527502.5172783937,516.4487490302613,376.48928526131226,1432.0341814096378,1401.108976879028,5926.856841711339,28216955.566826306,30383481.307290133,17437129.620141897,9258187.84155222,212069.74427918834,1791528.6445341762,5479951.390224126
BANC_to_CAISO,BANC,CAISO,2026,1046121.840842894,1066964.2235638516,20842.3827209578,555.1055226996486,147.36087016096567,1922.0926111036995,141.43770119022224,6696.469687706083,32904621.863611553,39374483.185150124,739202.9959675618,495736.32937392243,1046121.840842894,2584595.746603754,216519.3137212515
BANC_to_CAISO,BANC,CAISO,2030,326334.3199608235,332050.7987965119,5716.4788356883855,582.5249222025785,170.0379923460641,570.0199015365699,33.61883280798867,8156.36126565545,12600676.295347836,45039597.02877964,214108.5671784917,154714.35207568938,326334.3199608235,804354.6331721384,59384.90726734525
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-430387.57294475404,1339.0834539304303,431726.6563986844,40.955000000000005,187.20296007581769,32.6964584038684,2306.1956724607026,6421.1078691354305,50302.48439449517,56868.729400754084,15572800.034960339,10426203.716631344,-430387.57294475404,4256.588437307607,4484989.518044625
IID_to_CAISO,IID,CAISO,2022,-1277979.5969610866,11637.31654798886,1289616.9135090755,92.02436408258426,326.7453162977662,126.45908139658896,3946.856616404671,4686.684302198717,456805.7998084138,500880.6155975845,42279475.9899466,18931973.09944961,-1277979.5969610866,36992.20271438213,13397171.895316914
IID_to_CAISO,IID,CAISO,2026,-1021728.1955950283,26903.771434555638,1048631.967029584,131.4747069371819,317.2994824776426,204.63077698595026,3304.865040564547,5250.504182449497,1214300.4323869743,1431796.5330014846,36837724.155476555,22130477.279151585,-1021728.1955950283,85520.90188260638,10893705.519417258
IID_to_CAISO,IID,CAISO,2030,-858631.7813430073,0.0,858631.7813430073,0.0,366.6562147130957,0.0,2341.789793512369,6418.210206487631,0.0,0.0,24273579.319611177,7466921.614431892,-858631.7813430073,0.0,8919889.266176717
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
