zone,period,timepoint_id,day_id,hour_of_day,day_weight,input_load_mw,hourly_energy_cost_$_per_mwh,unserved_energy_mw,overgeneration_mw,total_generation_mw,unbundled_rps_generation_mw,storage_charging_mw,flexible_ev_load_mw,flexible_load_shift_mw,hydrogen_electrolysis_load_mw,ee_ftm_load_reduction_mw
CAISO,2020,20200101,1,0,14.2498665899213,23183.82,37.56,0,0,16070.04,0,0,0,0,0,0
CAISO,2020,20200102,1,1,14.2498665899213,21796.12,37.56,0,0,15584.64,0,0,0,0,0,0
CAISO,2020,20200103,1,2,14.2498665899213,20809.40,37.56,0,0,14958.05,0,0,0,0,0,0
CAISO,2020,20200104,1,3,14.2498665899213,20247.19,37.56,0,0,14658.43,0,0,0,0,0,0
CAISO,2020,20200105,1,4,14.2498665899213,20121.65,37.56,0,0,14689.44,0,0,0,0,0,0
CAISO,2020,20200106,1,5,14.2498665899213,20417.04,37.56,0,0,14239.69,0,0,0,0,0,0
CAISO,2020,20200107,1,6,14.2498665899213,20916.49,37.56,0,0,14838.76,0,0,0,0,0,0
CAISO,2020,20200108,1,7,14.2498665899213,20962.77,37.56,0,0,14291.18,0,0,0,0,0,0
CAISO,2020,20200109,1,8,14.2498665899213,21684.34,37.43,0,0,19709.17,0,130.98,0,0,0,0
CAISO,2020,20200110,1,9,14.2498665899213,22456.05,25.59,0,0,23094.61,0,0,0,0,0,0
CAISO,2020,20200111,1,10,14.2498665899213,22975.01,24.34,0,0,25736.70,0,1947.99,0,0,0,0
CAISO,2020,20200112,1,11,14.2498665899213,23162.93,23.55,0,0,27217.12,0,2714.57,0,0,0,0
CAISO,2020,20200113,1,12,14.2498665899213,23173.90,23.55,0,0,27295.43,0,2922.66,0,0,0,0
CAISO,2020,20200114,1,13,14.2498665899213,22975.90,23.55,0,0,27010.50,0,2924.64,0,0,0,0
CAISO,2020,20200115,1,14,14.2498665899213,22751.24,24.34,0,0,25329.07,0,1784.94,0,0,0,0
CAISO,2020,20200116,1,15,14.2498665899213,22672.05,29.34,0,0,22765.74,0,93.69,0,0,0,0
CAISO,2020,20200117,1,16,14.2498665899213,23501.12,37.56,0,0,18827.37,0,0,0,0,0,0
CAISO,2020,20200118,1,17,14.2498665899213,27676.06,51.59,0,0,19181.75,0,0,0,0,0,0
CAISO,2020,20200119,1,18,14.2498665899213,28603.17,85.00,0,0,19588.93,0,0,0,0,0,0
CAISO,2020,20200120,1,19,14.2498665899213,28215.52,49.33,0,0,18147.48,0,0,0,0,0,0
CAISO,2020,20200121,1,20,14.2498665899213,27668.37,49.33,0,0,17600.33,0,0,0,0,0,0
CAISO,2020,20200122,1,21,14.2498665899213,26923.84,41.79,0,0,16855.80,0,0,0,0,0,0
CAISO,2020,20200123,1,22,14.2498665899213,24955.18,37.56,0,0,15973.40,0,0,0,0,0,0
CAISO,2020,20200124,1,23,14.2498665899213,22734.95,37.56,0,0,14763.50,0,0,0,0,0,0
CAISO,2020,20200201,2,0,5.90752557717969,21259.44,37.43,0,0,15908.15,0,0,0,0,0,0
CAISO,2020,20200202,2,1,5.90752557717969,20342.44,37.43,0,0,14881.18,0,0,0,0,0,0
CAISO,2020,20200203,2,2,5.90752557717969,19878.38,37.43,0,0,14509.32,0,0,0,0,0,0
CAISO,2020,20200204,2,3,5.90752557717969,19745.31,37.43,0,0,14603.26,0,0,0,0,0,0
CAISO,2020,20200205,2,4,5.90752557717969,20288.94,37.43,0,0,15200.94,0,0,0,0,0,0
CAISO,2020,20200206,2,5,5.90752557717969,21986.07,37.43,0,0,16898.07,0,0,0,0,0,0
CAISO,2020,20200207,2,6,5.90752557717969,24507.58,37.43,0,0,19419.58,0,0,0,0,0,0
CAISO,2020,20200208,2,7,5.90752557717969,25910.90,37.56,0,0,20531.50,0,0,0,0,0,0
CAISO,2020,20200209,2,8,5.90752557717969,27063.69,37.43,0,0,21975.69,0,0,0,0,0,0
CAISO,2020,20200210,2,9,5.90752557717969,27763.71,35.41,0,0,23040.39,0,364.68,0,0,0,0
CAISO,2020,20200211,2,10,5.90752557717969,28312.80,35.41,0,0,24856.89,0,721.99,0,0,0,0
CAISO,2020,20200212,2,11,5.90752557717969,28325.12,35.41,0,0,25503.62,0,149.11,0,0,0,0
CAISO,2020,20200213,2,12,5.90752557717969,28079.42,35.41,0,0,25273.40,0,0,0,0,0,0
CAISO,2020,20200214,2,13,5.90752557717969,27872.08,35.41,0,0,23940.76,0,721.99,0,0,0,0
CAISO,2020,20200215,2,14,5.90752557717969,27771.07,36.18,0,0,22159.90,0,0,0,0,0,0
CAISO,2020,20200216,2,15,5.90752557717969,27448.73,37.43,0,0,22302.93,0,0,0,0,0,0
CAISO,2020,20200217,2,16,5.90752557717969,27621.10,37.56,0,0,21379.03,0,0,0,0,0,0
CAISO,2020,20200218,2,17,5.90752557717969,31222.47,44.28,0,0,21557.20,0,0,0,0,0,0
CAISO,2020,20200219,2,18,5.90752557717969,31812.91,88.34,0,0,22097.07,0,0,0,0,0,0
CAISO,2020,20200220,2,19,5.90752557717969,31167.56,44.17,0,0,21099.52,0,0,0,0,0,0
CAISO,2020,20200221,2,20,5.90752557717969,30254.66,44.17,0,0,20186.62,0,0,0,0,0,0
CAISO,2020,20200222,2,21,5.90752557717969,29048.78,37.63,0,0,18980.74,0,0,0,0,0,0
CAISO,2020,20200223,2,22,5.90752557717969,26734.10,37.56,0,0,18228.03,0,0,0,0,0,0
CAISO,2020,20200224,2,23,5.90752557717969,24368.40,37.56,0,0,18112.34,0,0,0,0,0,0
CAISO,2020,20200301,3,0,28.0221528838783,21629.50,35.98,0,0,15990.51,0,0,0,0,0,0
CAISO,2020,20200302,3,1,28.0221528838783,20711.18,35.98,0,0,13535.55,0,0,0,0,0,0
CAISO,2020,20200303,3,2,28.0221528838783,20212.13,35.98,0,0,13348.11,0,0,0,0,0,0
CAISO,2020,20200304,3,3,28.0221528838783,20135.20,35.98,0,0,13031.18,0,0,0,0,0,0
CAISO,2020,20200305,3,4,28.0221528838783,20789.86,37.15,0,0,13968.93,0,0,0,0,0,0
CAISO,2020,20200306,3,5,28.0221528838783,22451.21,37.93,0,0,17198.26,0,0,0,0,0,0
CAISO,2020,20200307,3,6,28.0221528838783,24996.77,37.94,0,0,17301.01,0,0,0,0,0,0
CAISO,2020,20200308,3,7,28.0221528838783,26550.92,37.94,0,0,18845.25,0,0,0,0,0,0
CAISO,2020,20200309,3,8,28.0221528838783,27760.01,37.93,0,0,20871.56,0,0,0,0,0,0
CAISO,2020,20200310,3,9,28.0221528838783,28531.20,34.73,0,0,23474.37,0,31.16,0,0,0,0
CAISO,2020,20200311,3,10,28.0221528838783,28750.63,34.73,0,0,25874.60,0,0,0,0,0,0
CAISO,2020,20200312,3,11,28.0221528838783,28689.79,34.73,0,0,27625.36,0,721.99,0,0,0,0
CAISO,2020,20200313,3,12,28.0221528838783,28500.39,34.73,0,0,27447.84,0,721.99,0,0,0,0
CAISO,2020,20200314,3,13,28.0221528838783,28392.63,34.73,0,0,26420.32,0,0,0,0,0,0
CAISO,2020,20200315,3,14,28.0221528838783,28016.29,34.73,0,0,24734.69,0,482.63,0,0,0,0
CAISO,2020,20200316,3,15,28.0221528838783,27760.21,34.73,0,0,23644.81,0,0,0,0,0,0
CAISO,2020,20200317,3,16,28.0221528838783,27887.08,37.93,0,0,21667.53,0,0,0,0,0,0
CAISO,2020,20200318,3,17,28.0221528838783,29904.84,40.32,0,0,20101.43,0,0,0,0,0,0
CAISO,2020,20200319,3,18,28.0221528838783,31968.89,95.94,0,0,23860.70,0,0,0,0,0,0
CAISO,2020,20200320,3,19,28.0221528838783,31526.99,40.78,0,0,22929.13,0,0,0,0,0,0
CAISO,2020,20200321,3,20,28.0221528838783,30689.38,49.96,0,0,20621.34,0,0,0,0,0,0
CAISO,2020,20200322,3,21,28.0221528838783,29511.66,41.69,0,0,19443.62,0,0,0,0,0,0
CAISO,2020,20200323,3,22,28.0221528838783,27040.87,37.94,0,0,18959.84,0,0,0,0,0,0
CAISO,2020,20200324,3,23,28.0221528838783,24460.34,37.93,0,0,17270.64,0,0,0,0,0,0
CAISO,2020,20200401,4,0,14.341145931673,22620.61,35.17,0,0,17532.61,0,0,0,0,0,0
CAISO,2020,20200402,4,1,14.341145931673,21595.86,35.17,0,0,16507.86,0,0,0,0,0,0
CAISO,2020,20200403,4,2,14.341145931673,21130.74,35.17,0,0,16376.86,0,0,0,0,0,0
CAISO,2020,20200404,4,3,14.341145931673,20830.38,35.17,0,0,15742.38,0,0,0,0,0,0
CAISO,2020,20200405,4,4,14.341145931673,21290.99,35.17,0,0,16202.99,0,0,0,0,0,0
CAISO,2020,20200406,4,5,14.341145931673,23103.67,35.17,0,0,18015.67,0,0,0,0,0,0
CAISO,2020,20200407,4,6,14.341145931673,25531.81,35.90,0,0,20443.81,0,0,0,0,0,0
CAISO,2020,20200408,4,7,14.341145931673,27158.65,35.17,0,0,22070.65,0,0,0,0,0,0
CAISO,2020,20200409,4,8,14.341145931673,27979.60,35.17,0,0,24166.95,0,0,0,0,0,0
CAISO,2020,20200410,4,9,14.341145931673,28762.99,35.14,0,0,28289.09,0,0,0,0,0,0
CAISO,2020,20200411,4,10,14.341145931673,29693.69,34.46,0,0,30402.11,0,708.42,0,0,0,0
CAISO,2020,20200412,4,11,14.341145931673,30274.83,34.46,0,0,30802.19,0,527.36,0,0,0,0
CAISO,2020,20200413,4,12,14.341145931673,30357.25,34.46,0,0,31079.24,0,721.99,0,0,0,0
CAISO,2020,20200414,4,13,14.341145931673,30802.50,34.47,0,0,30802.50,0,0,0,0,0,0
CAISO,2020,20200415,4,14,14.341145931673,30742.33,35.14,0,0,29949.99,0,0,0,0,0,0
CAISO,2020,20200416,4,15,14.341145931673,30020.21,35.17,0,0,27811.26,0,0,0,0,0,0
CAISO,2020,20200417,4,16,14.341145931673,29564.30,35.17,0,0,27355.35,0,0,0,0,0,0
CAISO,2020,20200418,4,17,14.341145931673,29767.06,35.98,0,0,22519.39,0,0,0,0,0,0
CAISO,2020,20200419,4,18,14.341145931673,32119.89,42.19,0,0,23172.55,0,0,0,0,0,0
CAISO,2020,20200420,4,19,14.341145931673,32061.06,83.37,0,0,22764.02,0,0,0,0,0,0
CAISO,2020,20200421,4,20,14.341145931673,31388.54,42.19,0,0,21320.50,0,0,0,0,0,0
CAISO,2020,20200422,4,21,14.341145931673,29382.60,35.98,0,0,21089.85,0,0,0,0,0,0
CAISO,2020,20200423,4,22,14.341145931673,26904.93,35.90,0,0,20898.62,0,0,0,0,0,0
CAISO,2020,20200424,4,23,14.341145931673,24408.89,35.18,0,0,19320.89,0,0,0,0,0,0
CAISO,2020,20200501,5,0,6.69944357053316,22005.47,35.31,0,0,22562.19,0,556.72,0,0,0,0
CAISO,2020,20200502,5,1,6.69944357053316,21320.50,35.31,0,0,21320.50,0,0,0,0,0,0
CAISO,2020,20200503,5,2,6.69944357053316,21055.93,35.31,0,0,21055.93,0,0,0,0,0,0
CAISO,2020,20200504,5,3,6.69944357053316,21299.01,35.31,0,0,21070.81,0,0,0,0,0,0
CAISO,2020,20200505,5,4,6.69944357053316,22891.19,35.31,0,0,20907.97,0,0,0,0,0,0
CAISO,2020,20200506,5,5,6.69944357053316,26026.62,35.81,0,0,20938.62,0,0,0,0,0,0
CAISO,2020,20200507,5,6,6.69944357053316,28053.68,36.97,0,0,20802.78,0,0,0,0,0,0
CAISO,2020,20200508,5,7,6.69944357053316,28768.19,35.98,0,0,23326.68,0,0,0,0,0,0
CAISO,2020,20200509,5,8,6.69944357053316,29453.02,35.98,0,0,24157.08,0,0,0,0,0,0
CAISO,2020,20200510,5,9,6.69944357053316,30016.13,35.31,0,0,26537.44,0,0,0,0,0,0
CAISO,2020,20200511,5,10,6.69944357053316,30099.98,35.31,0,0,28106.30,0,0,0,0,0,0
