transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1088735.8380444988,1174916.0350743216,86180.19702982262,548.8436530722287,395.68461104884415,2140.7117099697984,217.8002242780788,6401.488065752118,44193971.381904244,48329275.46744044,3136172.3758695987,2205189.2075327323,1088735.8380444988,2846099.596806552,895280.5556173397
BANC_to_CAISO,BANC,CAISO,2022,170831.94059870733,630851.2833023006,460019.342703594,508.11009631353886,365.5833049544108,1241.564156822072,1258.3160567492534,6260.119786428672,23939979.20542578,25609485.25998804,15619308.44746821,9433503.140551697,170831.94059870733,1528164.8108973575,4778900.778176756
BANC_to_CAISO,BANC,CAISO,2026,954982.4205213314,989093.7496759747,34111.32915464334,567.5397952872773,189.10348188512717,1742.7742651514245,180.38445836425484,6836.841276484326,34280641.539875,49357986.96647953,1257352.7939279743,862714.5737037963,954982.4205213314,2395966.006046399,354364.1805070975
BANC_to_CAISO,BANC,CAISO,2030,315936.740788085,323167.15765123186,7230.416863146848,537.8923335892936,686.7744179213137,600.8026838656998,10.52808123667656,8148.66923489763,12288524.08669884,32200190.985617798,217141.78610677982,142017.75489868404,315936.740788085,782835.2848298913,75112.85232578861
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-426745.4809294731,1339.0834539304303,428084.5643834035,40.955000000000005,185.6635717500087,32.6964584038684,2305.7003608645887,6421.603180731545,50302.48439449517,56868.729400754084,15445108.402865676,10336353.420575446,-426745.4809294731,4256.588437307607,4447154.262907732
IID_to_CAISO,IID,CAISO,2022,-1252276.2640532204,10594.492466079335,1262870.7565193002,96.59259297211831,317.35727626689055,109.68224519179707,3979.3344944681635,4670.983260340011,416222.80137306184,453610.0113988386,42407142.517333515,21505626.318392474,-1252276.2640532204,33677.54462055293,13119313.622825919
IID_to_CAISO,IID,CAISO,2026,-840438.591698868,45089.956171730104,885528.547870598,124.23438939497544,308.1991743834047,362.9426311934989,2873.2346530201485,5523.82271578635,1915014.1784741625,2617159.797230414,29683125.932275414,16016587.317520536,-840438.591698868,143331.1488754272,9199319.803539079
IID_to_CAISO,IID,CAISO,2030,-683691.5962129533,67170.69816988854,750862.2943828418,233.738767194791,333.7231967991878,287.3750853400816,2249.9553569680693,6222.669557691849,2886558.2257372774,7042354.244509361,21713303.036850378,10404710.143748024,-683691.5962129533,213520.43670045253,7800326.736964186
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-272434.7058275075,268795.38772829174,541230.0935557993,579.6608292406006,1119.3993083837793,463.7114915638408,483.50047163888536,7812.788036797282,11269251.704605648,12984118.920937847,16928307.72110272,7720025.237949094,-272434.7058275075,1502992.8225042934,5622559.012199703
LDWP_to_CAISO,LDWP,CAISO,2022,-2825872.2672363585,94448.9121025386,2920321.1793388957,506.0769634010215,1211.357051148189,186.62954240755698,2410.7848107796617,6162.58564681279,4973490.268376446,5684190.062893085,86875679.89931384,30377217.246783018,-2825872.2672363585,528119.078946688,30337720.875034362
LDWP_to_CAISO,LDWP,CAISO,2026,-1621656.5039532946,343053.89204499504,1964710.3959982893,613.2147508291058,1137.6165044664283,559.4351596747535,1727.0410443981643,6473.523795927091,10953360.158394197,17196319.513889138,57352791.9944123,21836433.904328246,-1621656.5039532946,1918216.4425760019,20410379.612191513
LDWP_to_CAISO,LDWP,CAISO,2030,-1621123.722959134,159940.10897638724,1781063.8319355217,438.6566601646999,1176.4960933354046,364.6134289089227,1513.8714374190126,6881.515133672077,6474109.975408538,16795857.06653873,48455404.11742351,23252389.327068668,-1621123.722959134,894318.4984906045,18502566.461623345
NW_to_BANC,NW,BANC,2020,4105760.3609658037,4130739.6429569027,24979.281991098575,979.8694857540538,202.101350923016,4215.601876588811,123.59779821864538,4420.800325192524,98120125.58446176,160774900.52599174,627704.5654105417,567203.1625644456,4105760.3609658037,47248519.875470154,60509.45202982182
NW_to_BANC,NW,BANC,2022,1901376.660011574,2282955.417739033,381578.7577274569,804.416299875749,340.18274412951945,2838.027297671194,1121.6875761992694,4800.285126129525,64664636.541963756,98093548.11958386,9940376.444092361,9016901.811057774,1901376.660011574,27664880.215982445,924330.3676102547
NW_to_BANC,NW,BANC,2026,745552.8353091535,2175413.2598271593,1429860.4245180031,824.8275407089598,658.1761899500855,2637.4158869105386,2172.4584485902483,3950.1256644991986,58379958.4836285,94769562.09979953,34609474.33366077,23976932.236963358,745552.8353091535,29858303.57859905,3463670.8757566535
NW_to_BANC,NW,BANC,2030,-817323.8478650426,1793661.1251277293,2610984.9729927722,583.0679750246946,792.2954654915953,3076.2470277187876,3295.4687824355215,2388.2841898456736,52521225.493946,81401905.74385025,78219982.67501408,21666870.701967247,-817323.8478650426,28192341.140100725,6324808.8584623225
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2020,19684285.196280695,19721441.076293427,37155.880012732414,3552.7953100044942,327.4512897894829,5550.964622352105,113.46994551959095,3095.5654321283087,620537904.003389,801103136.3134431,951197.1714499686,47317.21698746682,19684285.196280695,96867632.03464407,385993.80443831795
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2022,15188229.636425728,16963643.963377863,1775414.326952124,3270.3144085494423,1250.0492005136352,5187.159962060693,1420.2755589320968,2152.564479007226,574804282.8414927,719435334.5945812,51774205.28978533,4524672.095686063,15188229.636425728,83321908.15217368,18443875.538990732
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2026,13676365.388723528,16390162.931345517,2713797.5426219795,2797.66771755622,2338.8943790974236,5858.509510794379,1160.290762539363,1741.1997266662697,758393139.9719979,893205023.3157858,79518448.57463506,20920248.909601387,13676365.388723528,80505088.66438036,28192258.334384345
