zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26716945.689663716
IID,2026,729298.2748656464,29254283.565298926
IID,2030,729298.2748656464,30101615.687395606
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,467532.89747756836
LDWP,2026,13199.194695043863,492567.62100802606
LDWP,2030,13199.194695043863,490272.7860848381
NW,2020,3679179.1809435766,86704752.16896626
NW,2022,3432431.1111775795,93701083.83187963
NW,2026,3618737.935539923,99635893.71141285
NW,2030,3309033.367271328,97900696.70814747
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9425775.243074562
SW,2026,397143.1904552827,9460650.014804248
SW,2030,397143.1904552827,9601032.87848494
