transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1088491.5764095797,1174915.6649869976,86424.0885774177,555.8855159775686,383.9872632147699,2113.5928733829583,225.07019595876386,6421.336930658272,44193958.68389803,48329261.8738229,3144542.7337830616,2202950.416693637,1088491.5764095797,2846099.5045299036,897814.4566410088
BANC_to_CAISO,BANC,CAISO,2022,928435.4739634651,942108.7033299096,13673.2293664445,436.82543285121255,150.69626100131376,2156.7166938533132,90.733700196618,6512.549605950066,33121164.77894807,35756249.843031414,546610.2581054788,404545.40498812054,928435.4739634651,2282151.299134419,142043.28795678605
BANC_to_CAISO,BANC,CAISO,2026,877505.2977945902,916218.3861818194,38713.088387229196,647.9101071003329,165.74263652003668,1414.1134335475606,233.57350407871158,7112.313062373734,32725996.889341056,58660218.76982144,1397877.6939711438,939979.980159487,877505.2977945902,2219434.2814439223,402170.96785146184
BANC_to_CAISO,BANC,CAISO,2030,326892.3680243489,334122.7848874958,7230.416863146848,486.9392569711099,686.7744179213137,686.1693324252132,10.52808123667656,8063.3025863381135,12503360.894668164,33401740.06598147,230171.65952537072,155047.62831727497,326892.3680243489,809374.1021161197,75112.85232578861
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-426745.4899626361,1339.0834539304303,428084.5734165665,40.955000000000005,185.66357566776102,32.6964584038684,2305.7003608645887,6421.603180731545,50302.48439449517,56868.729400754084,15445108.60159526,10336353.525450468,-426745.4899626361,4256.588437307607,4447154.253874569
IID_to_CAISO,IID,CAISO,2022,-487646.9643681269,887.0549164969497,488534.01928462385,54.26,210.67476329102487,16.3482292019342,2318.9014747331926,6424.750296064877,34630.62394004091,37451.458574501215,17791156.892116223,12348115.370615425,-487646.9643681269,2819.7425727496106,5075123.188755537
IID_to_CAISO,IID,CAISO,2026,-793797.98366091,45644.11514833448,839442.0988092448,107.04402905630839,289.7496869139326,426.4050554779127,2897.1285793264487,5436.466365195636,1926262.9980853526,3233018.185339806,27347683.229637627,13802490.822700188,-793797.98366091,145092.71115720397,8720543.065885639
IID_to_CAISO,IID,CAISO,2030,-712761.1390830586,77656.76795568198,790417.9070387405,224.9409691399345,347.12972455263855,345.23176570548225,2277.0101524938177,6137.7580818007045,3316481.8776055467,8237120.333909875,22827580.705251858,10074989.366988635,-712761.1390830586,246854.22697853914,8211252.316562337
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-272190.85593403917,268795.3877282918,540986.243662331,579.6608292406007,1105.6128243763371,463.7114915638408,489.30894408491946,7806.979564351248,11269251.704605646,12984118.920937847,16919938.83399904,7722265.0668116,-272190.85593403917,1502993.401071097,5620025.19341433
LDWP_to_CAISO,LDWP,CAISO,2022,-439267.2528378912,79244.8621996316,518512.11503752274,556.4121639073176,1278.4906171418459,142.42115349015185,405.56583527902023,8212.013011230842,3583430.813634994,4043553.9901607647,15209548.949100383,8220928.839333552,-439267.2528378912,443105.7638359869,5386555.770075452
LDWP_to_CAISO,LDWP,CAISO,2026,-1406061.8375099993,348844.92042486655,1754906.7579348662,534.328556457281,1031.0285205935945,652.8659496280475,1702.093320293907,6405.040730078056,12015324.21354784,22706305.869971,49991520.158315204,15472211.867872672,-1406061.8375099993,1950598.5678760137,18230838.536214747
LDWP_to_CAISO,LDWP,CAISO,2030,-1812363.8470043356,184499.1467143678,1996862.9937187042,410.7927954775516,1238.3015124672547,449.12946075377323,1612.5822133093038,6698.288325936937,7335996.864180256,19478679.69769555,55383117.83958649,23385220.516368322,-1812363.8470043356,1031644.4575317588,20744388.457536533
NW_to_BANC,NW,BANC,2020,4105516.8608290115,4130496.1428201105,24979.281991098575,993.2746843230772,202.101350923016,4158.463120033175,123.59779821864538,4477.939081748161,98114555.48228352,160766544.77957353,627704.5654105417,567203.1625644456,4105516.8608290115,47245729.72371071,60509.45202982182
NW_to_BANC,NW,BANC,2022,2157614.3461045222,2329454.7409944325,171840.39488990972,804.0264912639251,329.4277349233984,2897.236305401508,521.6330523289656,5341.13064226953,63210948.11491802,97015166.15668187,4607579.569615678,4191493.520439006,2157614.3461045222,28228355.691277917,416263.17004219705
NW_to_BANC,NW,BANC,2026,648022.2049166386,2152665.3515867037,1504643.1466700635,823.6482492775078,631.2698490386007,2613.573638352282,2383.518156239485,3762.9082054082146,57697229.02805622,95235522.94103831,36649910.09548228,21726330.14190985,648022.2049166386,29546088.282492366,3644823.53771856
NW_to_BANC,NW,BANC,2030,-892993.6016215889,1741762.4514123038,2634756.053033894,549.9972295196343,801.9468022636376,3166.856772957844,3285.4499146287835,2307.6933124133575,51079505.74194144,79021597.85306615,78129111.61096019,21630347.071503285,-892993.6016215889,27376608.300918333,6382391.656741029
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2020,19619350.59504188,19656506.475054607,37155.880012732414,3545.361051777735,327.4512897894829,5544.289054904106,113.46994551959095,3102.240999576304,619220861.3165783,799688646.3187432,951197.1714499686,47317.21698746682,19619350.59504188,96548687.53082544,385993.80443831795
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2022,16290213.419194305,16568014.381585047,277800.9623907386,3161.72633860389,1318.602532365669,5240.179764862545,210.67831706067136,3309.1419180767853,549846398.2163708,665275188.826616,7555954.609350942,2817225.897492856,16290213.419194305,81378655.81340526,2885933.4904993637
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2026,13945348.966771893,16554368.742262565,2609019.7754906574,2819.134482560278,2228.28645509779,5872.145810946997,1170.863723343038,1716.9904657099762,972065785.8803633,1110719405.2014756,75792350.09491841,16376182.014197307,13945348.966771893,81311631.16499516,27103781.50331859
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2030,10652440.993726807,13728056.296815328,3075615.303088549,2337.162368889293,2377.091180421794,5873.813680878071,1293.8566801391305,1592.329638982808,1233444605.2464328,1300729276.9843144,88872819.68271974,20753884.586551245,10652440.993726807,67429371.98143902,31951011.268454835
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2020,7718857.29121889,9604617.67976742,1885760.3885485341,2576.8781304611443,1393.697313136984,3727.230079774331,1353.0630867788623,3679.706833446785,245502752.0889287,308188254.17170495,58000877.31666739,58000877.31666739,7718857.29121889,62684329.25597197,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2022,4389721.056563931,7202830.050706004,2813108.994142055,2384.564878831711,1594.346867359535,3020.6056101249565,1764.4272094948594,3974.967180380169,192343276.02830437,244243738.73562616,87697506.21131343,87697506.21131343,4389721.056563931,51905168.001829095,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2026,2044856.9405696506,5392543.461072011,3347686.5205023573,2266.3083666936927,2538.0988687066506,2379.439418007872,1318.9740406796097,5061.586541312517,143552631.51349133,325123073.4869903,93312705.45495358,93312705.45495358,2044856.9405696506,47527493.788665146,0.0
NW_to_CAISO_Unspecified,NW,CAISO_NW_Hydro,2030,-1248051.9488048812,2674720.598157035,3922772.5469619194,2096.84978259654,2735.2534796945365,1275.589992357447,1434.1532059398023,6050.256801702757,57500148.693671465,247172682.41249827,111746393.9032608,111746393.9032608,-1248051.9488048812,28902971.71307499,0.0
NW_to_LDWP,NW,LDWP,2020,6755804.037202689,6755804.037202689,0.0,1421.9179176047055,0.0,4751.191298428246,0.0,4008.8087015717306,146819703.40228918,246812309.38969433,0.0,0.0,6755804.037202689,77274723.22645585,0.0
NW_to_LDWP,NW,LDWP,2022,5153017.70701335,5153017.70701335,0.0,1449.2698587243337,0.0,3555.5957201435926,0.0,5204.404279856394,112859832.89442836,187522851.21439344,0.0,0.0,5153017.70701335,62444317.67584265,0.0
NW_to_LDWP,NW,LDWP,2026,4016377.4736594995,4018776.6891771224,2399.2155176226943,1572.2601374505548,57.65500000000001,2556.050740873984,41.61331224738,6162.335946878645,82404091.23311605,149964552.53451213,75023.46923606165,61611.85449255079,4016377.4736594995,55159138.2543125,13415.299602310366
