line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,486682.3549187535,0.0
BANC_to_CAISO,2022,221598.46763730244,0.0
BANC_to_CAISO,2026,471784.50326262036,0.0
BANC_to_CAISO,2030,125670.80927696319,0.0
IID_to_CAISO,2020,378.46150602477667,0.0
IID_to_CAISO,2022,248.77166163361642,0.0
IID_to_CAISO,2026,23120.121647762153,0.0
IID_to_CAISO,2030,28536.454273895666,0.0
LDWP_to_CAISO,2020,107925.0376508823,0.0
LDWP_to_CAISO,2022,26341.972788919964,0.0
LDWP_to_CAISO,2026,158565.22255750775,0.0
LDWP_to_CAISO,2030,50167.964359122125,0.0
NW_to_CAISO_Unspecified,2020,4099258.507658433,0.0
NW_to_CAISO_Unspecified,2022,3101378.5301551484,0.0
NW_to_CAISO_Unspecified,2026,2332713.3001667373,0.0
NW_to_CAISO_Unspecified,2030,1082879.6331713179,0.0
SW_to_CAISO,2020,5582503.780141604,0.0
SW_to_CAISO,2022,8289808.832725152,0.0
SW_to_CAISO,2026,9875988.103400039,0.0
SW_to_CAISO,2030,5776254.124423618,0.0
