line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.90400705294,0.0
BANC_to_CAISO,2022,274975.3105611825,0.0
BANC_to_CAISO,2026,415043.00069995614,0.0
BANC_to_CAISO,2030,207441.03796005878,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,4612.344720726103,0.0
IID_to_CAISO,2026,16997.098980900013,0.0
IID_to_CAISO,2030,32680.069937363605,0.0
LDWP_to_CAISO,2020,115044.21841267399,0.0
LDWP_to_CAISO,2022,40506.16341347479,0.0
LDWP_to_CAISO,2026,145801.2049022785,0.0
LDWP_to_CAISO,2030,87824.34840649365,0.0
NW_to_CAISO_Unspecified,2020,4105099.8186753807,0.0
NW_to_CAISO_Unspecified,2022,3191069.729095528,0.0
NW_to_CAISO_Unspecified,2026,2312262.4265354625,0.0
NW_to_CAISO_Unspecified,2030,1394884.1090878323,0.0
SW_to_CAISO,2020,5861002.322136432,0.0
SW_to_CAISO,2022,8285139.324565925,0.0
SW_to_CAISO,2026,10115210.478070341,0.0
SW_to_CAISO,2030,8955175.969649881,0.0
