zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26774319.410164807
IID,2026,729298.2748656464,28723062.925896488
IID,2030,729298.2748656464,30462686.195678595
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,470563.1686086903
LDWP,2026,13199.194695043863,489919.77964232006
LDWP,2030,13199.194695043863,493166.60795251734
NW,2020,3679179.180943576,86704752.16896626
NW,2022,3366354.9637063015,92516252.53967026
NW,2026,3621118.7480458254,99591124.55588765
NW,2030,3315118.5521620642,97815014.3210414
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9430415.259286262
SW,2026,397143.1904552827,9442277.993214063
SW,2030,397143.1904552827,9584729.923880106
