transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1088028.2045027916,1174915.8577458167,86887.65324302502,548.124141530922,381.8653618783245,2143.521455676542,227.53478559993204,6388.943758723521,44193968.516275615,48329272.17267681,3160452.2731067045,2214043.51914162,1088028.2045027916,2846099.765101893,902630.1826468634
BANC_to_CAISO,BANC,CAISO,2022,175315.10875327134,646647.2945540457,471332.1858007748,522.319418064461,355.9753037028634,1238.0303549699563,1324.058666143315,6197.910978886728,24467783.307948656,26275419.932705406,16035867.29097117,9690352.19742786,175315.10875327134,1566429.4905837188,4896425.280130027
BANC_to_CAISO,BANC,CAISO,2026,948211.2193517378,981451.259882265,33240.040530527185,558.440430867384,201.4265694182693,1757.486037244563,165.02311798550807,6837.490844769934,34768013.5215804,50395159.285594046,1226168.2231797432,832019.6095091163,948211.2193517378,2377454.427111386,345314.96255142905
BANC_to_CAISO,BANC,CAISO,2030,364175.6290805645,375000.2792145321,10824.650133967614,520.1808515491986,471.15358760748603,720.903658982658,22.97478023872236,8016.1215607786235,14365272.384991331,36269556.679489456,353546.02603866934,241137.84760889737,364175.6290805645,908394.5381366936,112450.95786008568
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-426745.46461648535,1339.0834539304303,428084.54807041574,40.955000000000005,185.5838302699463,32.6964584038684,2306.690984056817,6420.612557539316,50302.48439449517,56868.729400754084,15445107.876934951,10336353.064136663,-426745.46461648535,4256.588437307607,4447154.262907732
IID_to_CAISO,IID,CAISO,2022,-1258368.4542426975,10606.316830131278,1268974.771072829,96.70039860676106,317.64886714040114,109.68224519179707,3994.8978332478696,4655.419921560303,416379.5033746128,453875.154689815,42675483.75471374,21660183.20027504,-1258368.4542426975,33714.88471755906,13182734.922074493
IID_to_CAISO,IID,CAISO,2026,-860806.9515759196,45800.170466649535,906607.1220425691,126.19121186188698,308.36584476860156,362.9426311934989,2940.0374179666014,5457.019950839897,1943961.7088102582,2686135.876897039,30505375.27621222,16578066.683373535,-860806.9515759196,145588.9861413061,9418293.256578013
IID_to_CAISO,IID,CAISO,2030,-683880.2308790798,75051.51531992994,758931.7461990095,240.73607131725316,321.63502581001455,311.7584951406122,2359.605407675034,6088.636097184357,3209618.3235386373,7629949.486419991,23735993.343706533,12360979.971116386,-683880.2308790798,238572.5277445727,7884150.136721314
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-271726.89866954205,268795.38772829174,540522.286397834,579.6608292406006,1104.6646355682115,463.7114915638408,489.30894408491946,7806.979564351248,11269251.704605648,12984118.920937847,16904015.7326552,7711162.481445882,-271726.89866954205,1502992.8225042934,5615209.360641894
LDWP_to_CAISO,LDWP,CAISO,2022,-2864135.2688518586,94621.92518654108,2958757.1940383995,509.40842174867157,1227.3004130474508,185.74864714982075,2410.7848107796617,6163.466542070527,4986967.15442968,5699687.294378453,88173694.3136692,31229917.96847854,-2864135.2688518586,529086.2936592872,30737011.514964752
LDWP_to_CAISO,LDWP,CAISO,2026,-1654168.7784257801,343960.0397410095,1998128.8181667903,614.8345054697353,1147.1285069719027,559.4351596747535,1741.8526398941037,6458.712200431151,11479607.540016122,17953298.60413803,58225342.13787189,22194184.14994078,-1654168.7784257801,1923283.3073424962,20757545.432611324
LDWP_to_CAISO,LDWP,CAISO,2030,-1466431.1683862023,177965.47148238524,1644396.6398685868,373.1934607248726,1045.1351453486473,476.8718914225182,1573.3818226158987,6709.746285961594,7150748.391579461,18116233.427972645,48317935.411588944,24561061.258526463,-1466431.1683862023,995111.9562127002,17082798.840216886
NW_to_BANC,NW,BANC,2020,4105052.4188958826,4130031.7008869816,24979.281991098575,999.8595332970701,202.101350923016,4130.611914323669,123.59779821864538,4505.790287457668,98103927.56377599,160750603.64660108,627704.5654105417,567203.1625644456,4105052.4188958826,47240427.73169147,60509.45202982182
NW_to_BANC,NW,BANC,2022,1915042.303884626,2296587.8819816154,381545.5780969876,801.9860358725239,340.1531640297008,2863.625773088472,1121.6875761992694,4774.686650712248,64953264.74228835,98551846.71122691,9939864.85352517,9016198.329198988,1915042.303884626,27830070.320206188,924250.1547217391
NW_to_BANC,NW,BANC,2026,705446.5742004142,2141547.068013305,1436100.4938128896,814.6936631076019,662.793153703692,2628.653155155887,2166.7400844259655,3964.6067604181326,57465642.99519799,94156965.67028683,34789125.9027663,23919484.89973458,705446.5742004142,29393483.078272156,3478785.9122546553
NW_to_BANC,NW,BANC,2030,-1070210.614236009,1577758.7088245174,2647969.3230605265,537.6903879213895,819.3442799474163,2934.3256719240185,3231.8152306262114,2593.8590974497492,45326049.842649065,71026727.90269823,78862397.948816,23537790.27013632,-1070210.614236009,24798835.124445636,6414399.011926511
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2020,19753476.074385367,19790631.9543981,37155.880012732414,3544.7966919789933,327.4512897894829,5583.009033826806,113.46994551959095,3063.5210206536062,623148050.4145724,804115694.0029504,951197.1714499686,47317.21698746682,19753476.074385367,97207483.41937053,385993.80443831795
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2022,15188400.892192774,17001049.210162185,1812648.3179693967,3227.601504063472,1249.270933715973,5267.394128041605,1450.9649340657038,2041.6409378927074,574945895.814716,720158854.3271083,52929724.96360921,5192116.784983524,15188400.892192774,83505631.3076527,18830682.32718006
NW_to_CAISO,CAISO_NW_Hydro,CAISO,2026,13714162.052835222,16435851.331330702,2721689.278495473,2818.092583404819,2341.8722388826736,5832.260951296678,1162.18520946899,1765.5538392343437,771577420.7756504,909622180.6119678,79757254.99826016,20984642.954849064,13714162.052835222,80729498.37907757,28274244.18818182
