zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26683497.268856168
IID,2026,729298.2748656464,29086891.426504485
IID,2030,729298.2748656464,29986908.792709664
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,469864.39803565096
LDWP,2026,13199.194695043863,488516.8877623549
LDWP,2030,13199.194695043863,489747.18897266727
NW,2020,3679179.1899767397,86704752.16896626
NW,2022,3359614.8845660626,92330537.08100694
NW,2026,3613326.0469008917,99372904.70733002
NW,2030,3290700.511673124,97233674.8966879
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9422514.0689224
SW,2026,397143.1904552827,9454192.548357606
SW,2030,397143.1904552827,9596160.034985678
