line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.9003756277,0.0
BANC_to_CAISO,2022,267644.58347420517,0.0
BANC_to_CAISO,2026,407490.99419359455,0.0
BANC_to_CAISO,2030,137824.95186179498,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,4623.671216817965,0.0
IID_to_CAISO,2026,29384.680402846014,0.0
IID_to_CAISO,2030,32968.91808971945,0.0
LDWP_to_CAISO,2020,115044.218412674,0.0
LDWP_to_CAISO,2022,37654.98613945914,0.0
LDWP_to_CAISO,2026,149795.65543846073,0.0
LDWP_to_CAISO,2030,76804.91799035373,0.0
NW_to_CAISO_Unspecified,2020,4146887.416469877,0.0
NW_to_CAISO_Unspecified,2022,3156656.1149317506,0.0
NW_to_CAISO_Unspecified,2026,2325423.4844909282,0.0
NW_to_CAISO_Unspecified,2030,1097891.0417024517,0.0
SW_to_CAISO,2020,5819213.399439663,0.0
SW_to_CAISO,2022,8377699.385217737,0.0
SW_to_CAISO,2026,10260025.671195071,0.0
SW_to_CAISO,2030,6322662.027914321,0.0
