transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1087789.4871013146,1174916.074094752,87126.58699343746,546.2435587713061,381.53789094983705,2150.9014710169795,228.35631548032143,6380.742213502694,44193972.721085414,48329276.901051044,3168652.47942086,2219761.2037889897,1087789.4871013146,2846099.5877733883,905112.3365968743
BANC_to_CAISO,BANC,CAISO,2022,138346.0054148827,625337.4632939746,486991.4578790922,494.1896444497755,368.37998336399187,1265.3795366153765,1321.9813232846088,6172.639140100017,23975603.26377146,25730926.315069,16502721.633344831,9714495.669071415,138346.0054148827,1514809.8391491266,5059101.4468384795
BANC_to_CAISO,BANC,CAISO,2026,937483.7776966766,952082.0307262033,14598.25302952681,624.3651541050631,180.32183083694437,1524.8801514089537,80.95665933387316,7154.163189257178,32561273.896890268,54534580.613207676,490472.5694684085,280188.23765645607,937483.7776966766,2306309.4837795696,151653.44106437344
BANC_to_CAISO,BANC,CAISO,2030,314790.35804310994,322020.7749062568,7230.416863146848,527.0820070226777,686.7744179213137,610.9500430971872,10.52808123667656,8138.5218756661425,12359066.063835984,32718436.793823656,230591.21476043135,155467.18355233557,314790.35804310994,780058.4548269932,75112.85232578861
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-426745.64194499014,1339.0834539304303,428084.72539892053,40.955000000000005,185.62376580221212,32.6964584038684,2306.1956724607026,6421.1078691354305,50302.48439449517,56868.729400754084,15445113.014141737,10336356.358900284,-426745.64194499014,4256.588437307607,4447154.29157595
IID_to_CAISO,IID,CAISO,2022,-1254217.3117867012,10803.099141353623,1265020.4109280547,98.49451132644727,317.52275234829966,109.68224519179707,3984.0307555044687,4666.286999303705,421832.91002495325,460099.3886411827,41995951.91188101,20754901.514975358,-1254217.3117867012,34340.580276391905,13141658.621503834
IID_to_CAISO,IID,CAISO,2026,-757793.076171293,68655.83570417216,826448.9118754652,124.64822109513098,299.08403689102795,550.7967550678026,2763.266540288755,5445.936704643438,2853169.7671152665,4435593.249181585,27107380.24660568,13886866.242946459,-757793.076171293,218242.4379446637,8585570.647872346
IID_to_CAISO,IID,CAISO,2030,-686606.6997937302,77030.6549639016,763637.3547576317,223.12736722383934,334.03960114111374,345.23176570548225,2286.0683348590037,6128.6998994355135,3294914.5947183296,8211402.115668992,22435483.64266851,10781795.457236877,-686606.6997937302,244863.68158211885,7933039.2232910795
IID_to_LDWP,IID,LDWP,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_LDWP,IID,LDWP,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDWP_to_CAISO,LDWP,CAISO,2020,-271488.2235872444,268795.38772829174,540283.6113155362,579.6608292406006,1087.6396750821034,463.7114915638408,496.7487153084512,7799.539793127716,11269251.704605648,12984118.920937847,16895824.432161562,7705451.015057315,-271488.2235872444,1502993.1117876952,5612727.206691883
LDWP_to_CAISO,LDWP,CAISO,2022,-2972086.706446188,87979.00352221157,3060065.7099684,530.5600782488075,1231.2404710748697,165.82288628386698,2485.3517910250066,6108.825322691134,4850861.958594932,5509758.6325374385,90779070.13110368,31436739.12308932,-2972086.706446188,491942.68602324615,31789453.99025333
