zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
BANC,2045,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO,2045,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
CAISO_NW_Hydro,2045,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26681857.70375815
IID,2026,729298.2748656464,28538639.19640671
IID,2030,729298.2748656464,30595560.749809783
IID,2045,729298.2748656464,33455853.53059456
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,469746.3720423137
LDWP,2026,13199.194695043863,489983.775455914
LDWP,2030,13199.194695043863,490473.45773956855
LDWP,2045,13199.194695043863,537106.130436683
NW,2020,3679179.171910413,86704752.16896626
NW,2022,3358489.3805458806,92325848.62238948
NW,2026,3675124.8535070666,100371515.06459647
NW,2030,3310667.901074629,96898824.58196042
NW,2045,3123684.3155463305,102249638.68325855
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9423536.82307221
SW,2026,397143.1904552827,9434843.053608866
SW,2030,397143.1904552827,9631201.58935689
SW,2045,397143.1904552827,11742000.468697038
