line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.726678548,0.0
BANC_to_CAISO,2022,294600.0207344124,0.0
BANC_to_CAISO,2026,535333.8922768902,0.0
BANC_to_CAISO,2030,376355.0663448846,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,3749.2142723871966,0.0
IID_to_CAISO,2026,11141.377018240202,0.0
IID_to_CAISO,2030,1794.6148179992085,0.0
LDWP_to_CAISO,2020,115044.21841267397,0.0
LDWP_to_CAISO,2022,42171.00859035566,0.0
LDWP_to_CAISO,2026,78693.33116105729,0.0
LDWP_to_CAISO,2030,62627.75456964904,0.0
NW_to_CAISO_Unspecified,2020,4146730.248352457,0.0
NW_to_CAISO_Unspecified,2022,3205429.8516887384,0.0
NW_to_CAISO_Unspecified,2026,2468453.0180601417,0.0
NW_to_CAISO_Unspecified,2030,1920465.899625528,0.0
SW_to_CAISO,2020,5819371.610100217,0.0
SW_to_CAISO,2022,7787190.760482104,0.0
SW_to_CAISO,2026,9821115.981106795,0.0
SW_to_CAISO,2030,8050695.920428655,0.0
