resource,technology,zone,timepoint,period,day,hour_of_day,day_weight,period_discount_factor,commit_units,start_units,shut_down_units,fully_operational_units,power_MW,max_rampup_MW,max_rampdown_MW,rampup_dual_$,rampdown_dual_$,max_reserve_ramp_up_MW,max_reserve_ramp_down_MW,reserve_ramp_up_dual_$,reserve_ramp_down_dual_$,min_gen_MW,min_gen_dual_$,max_gen_MW,max_gen_dual_$
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200101,2020,1,0,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200102,2020,1,1,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200103,2020,1,2,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200104,2020,1,3,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200105,2020,1,4,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200106,2020,1,5,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200107,2020,1,6,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200108,2020,1,7,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3058.89,2122.31,2122.31,0,0,353.72,353.72,-0.24,-1.35,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200109,2020,1,8,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,2573.03,2122.31,2122.31,0,0,353.72,353.72,-11.96,-7.43,1140.95,0,3709.36,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200110,2020,1,9,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,1140.95,2122.31,2122.31,0,0,353.72,353.72,-0.08,0,1140.95,-11.83,3709.36,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200111,2020,1,10,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,1140.95,2122.31,2122.31,0,0,353.72,353.72,-0.08,0,1140.95,-13.08,3709.36,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200112,2020,1,11,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,1140.95,2122.31,2122.31,0,0,353.72,353.72,-0.08,0,1140.95,-13.88,3709.36,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200113,2020,1,12,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,1140.95,2122.31,2122.31,0,0,353.72,353.72,-0.08,0,1140.95,-13.88,3709.36,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200114,2020,1,13,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,1140.95,2122.31,2122.31,0,0,353.72,353.72,-0.08,0,1140.95,-13.88,3709.36,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200115,2020,1,14,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,1140.95,2122.31,2122.31,0,0,353.72,353.72,-0.08,0,1140.95,-13.08,3709.36,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200116,2020,1,15,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,1140.95,2122.31,2122.31,0,0,353.72,353.72,-3.88,0,1140.95,-8.08,3709.36,0
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200117,2020,1,16,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3058.89,2122.31,2122.31,0,0,353.72,353.72,-0.24,-1.35,1140.95,0,3709.36,-0.14
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200118,2020,1,17,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-14.16
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200119,2020,1,18,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-47.57
CAISO_CCGT1,CAISO_CCGT1,CAISO,20200120,2020,1,19,14.2498665899213,1.47619047619048,6.967270,0,0,6.967270,3709.36,2122.31,2122.31,0,0,353.72,353.72,0,-1.05,1140.95,0,3709.36,-11.90
