timepoint,period,day,hour_of_day,day_weight,period_discount_factor,min_gen_req,spin_req,upward_lf_req,downward_lf_req,upward_reg_req,downward_reg_req,min_local_gen_dual_$,total_fr_dual_$,partial_fr_dual_$,spin_dual_$,upward_lf_dual_$,upward_reg_dual_$,downward_reg_dual_$,max_downward_lf_dual_$,var_renw_down_lf_limit_dual_$,var_renw_down_lf_availability_dual_$,max_variable_upward_lf_dual_$,available_variable_upward_lf_dual_$,upward_reg_violation_mw,downward_reg_violation_mw,upward_lf_reserve_violation_mw,downward_lf_reserve_violation_mw,spin_violation_mw
20200101,2020,1,0,14.2498665899213,1.47619047619048,0,695.51,982.11,984.02,231.84,231.84,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200102,2020,1,1,14.2498665899213,1.47619047619048,0,653.88,982.11,984.02,217.96,217.96,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200103,2020,1,2,14.2498665899213,1.47619047619048,0,624.28,982.11,984.02,208.09,208.09,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200104,2020,1,3,14.2498665899213,1.47619047619048,0,607.42,982.11,984.02,202.47,202.47,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200105,2020,1,4,14.2498665899213,1.47619047619048,0,603.65,982.11,984.02,201.22,201.22,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200106,2020,1,5,14.2498665899213,1.47619047619048,0,612.51,982.11,984.02,204.17,204.17,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200107,2020,1,6,14.2498665899213,1.47619047619048,0,627.49,1011.19,1724.25,209.16,209.16,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200108,2020,1,7,14.2498665899213,1.47619047619048,0,628.88,2138.78,2702.23,209.63,209.63,,0.30,0,0.30,7.81,7.81,-6.09,-6.09,0,0,0,-7.81,0,0,0,0,0
20200109,2020,1,8,14.2498665899213,1.47619047619048,0,650.53,3152.88,2839.47,216.84,216.84,,11.60,0.28,11.60,19.40,19.40,0,0,0,0,0,-19.40,0,0,0,0,0
20200110,2020,1,9,14.2498665899213,1.47619047619048,0,673.68,2442.49,2301.11,224.56,224.56,,0,0,0,7.51,7.51,0,0,0,0,0,-7.51,0,0,0,0,0
20200111,2020,1,10,14.2498665899213,1.47619047619048,0,689.25,2071.24,2089.36,229.75,229.75,,0,0,0,7.51,7.51,0,0,0,0,0,-7.51,0,0,0,0,0
20200112,2020,1,11,14.2498665899213,1.47619047619048,0,694.89,2042.55,1961.81,231.63,231.63,,0,0,0,7.51,7.51,0.79,0,0,0,0,-7.51,0,0,0,0,0
20200113,2020,1,12,14.2498665899213,1.47619047619048,0,695.22,2051.77,1940.32,231.74,231.74,,0,0,0,7.51,7.51,0.79,0,0,0,0,-7.51,0,0,0,0,0
20200114,2020,1,13,14.2498665899213,1.47619047619048,0,689.28,2065.84,2086.45,229.76,229.76,,0,0,0,7.51,7.51,0.79,0,0,0,0,-7.51,0,0,0,0,0
20200115,2020,1,14,14.2498665899213,1.47619047619048,0,682.54,2353.36,2264.78,227.51,227.51,,0,0,0,7.51,7.51,0,0,0,0,0,-7.51,0,0,0,0,0
20200116,2020,1,15,14.2498665899213,1.47619047619048,0,680.16,3076.08,2737.88,226.72,226.72,,3.52,0.28,3.52,11.31,11.31,0,0,0,0,0,-11.31,0,0,0,0,0
20200117,2020,1,16,14.2498665899213,1.47619047619048,0,705.03,2306.29,2804.08,235.01,235.01,,0.30,0,0.30,7.81,7.81,-6.09,-6.09,0,0,0,-7.81,0,0,0,0,0
20200118,2020,1,17,14.2498665899213,1.47619047619048,0,830.28,1010.62,1723.38,276.76,276.76,,14.03,0,14.03,16.28,21.54,-6.39,-6.39,0,0,0,-16.28,0,0,0,0,0
20200119,2020,1,18,14.2498665899213,1.47619047619048,0,858.10,1169.82,1171.27,286.03,286.03,,47.43,0,47.43,49.69,54.95,-6.39,-6.39,0,0,0,-49.69,0,0,0,0,0
20200120,2020,1,19,14.2498665899213,1.47619047619048,0,846.47,1240.98,1242.35,282.16,282.16,,11.77,0,11.77,19.28,19.28,-6.39,-6.39,0,0,0,-19.28,0,0,0,0,0
20200121,2020,1,20,14.2498665899213,1.47619047619048,0,830.05,1186.87,1188.29,276.68,276.68,,11.77,0,11.77,19.28,19.28,-6.39,-6.39,0,0,0,-19.28,0,0,0,0,0
20200122,2020,1,21,14.2498665899213,1.47619047619048,0,807.72,1166.20,1167.65,269.24,269.24,,4.23,0,4.23,11.74,11.74,-6.39,-6.39,0,0,0,-11.74,0,0,0,0,0
20200123,2020,1,22,14.2498665899213,1.47619047619048,0,748.66,1115.90,1117.45,249.55,249.55,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200124,2020,1,23,14.2498665899213,1.47619047619048,0,682.05,1002.23,1004.06,227.35,227.35,,0,0,0,7.51,7.51,-6.39,-6.39,0,0,0,-7.51,0,0,0,0,0
20200201,2020,2,0,5.90752557717969,1.47619047619048,0,637.78,982.11,984.02,212.59,212.59,,0,0,0,7.64,7.64,-6.86,-6.86,0,0,0,-7.64,0,0,0,0,0
20200202,2020,2,1,5.90752557717969,1.47619047619048,0,610.27,982.11,984.02,203.42,203.42,,0,0,0,7.64,7.64,-6.86,-6.86,0,0,0,-7.64,0,0,0,0,0
20200203,2020,2,2,5.90752557717969,1.47619047619048,0,596.35,982.11,984.02,198.78,198.78,,0,0,0,7.64,7.64,-6.86,-6.86,0,0,0,-7.64,0,0,0,0,0
20200204,2020,2,3,5.90752557717969,1.47619047619048,0,592.36,982.11,984.02,197.45,197.45,,0,0,0,7.64,7.64,-6.86,-6.86,0,0,0,-7.64,0,0,0,0,0
