transmission_line,transmission_from,transmission_to,period,unspecified_power_mwh_per_year,unspecified_power_positive_mwh_per_year,unspecified_power_negative_mwh_per_year,annual_average_positive_mw,annual_average_negative_mw,positive_flow_hours_per_year,negative_flow_hours_per_year,zero_flow_hours_per_year,energy_cost_posdir_fromzone_$_per_year,energy_cost_posdir_tozone_$_per_year,energy_cost_negdir_fromzone_$_per_year,energy_cost_negdir_tozone_$_per_year,power_mwh_per_year,hurdle_cost_positive_direction_$_per_year,hurdle_cost_negative_direction_$_per_year
BANC_to_CAISO,BANC,CAISO,2020,1167051.8750372543,1249067.3374820836,82015.4624448289,539.5542205557659,383.0592813522033,2314.9987339464906,214.10644889040006,6230.894817163099,48067581.28978973,52379413.76056113,2963388.5258476483,2069883.0549256478,1167051.8750372543,3025722.06355889,852013.3523985352
BANC_to_CAISO,BANC,CAISO,2022,244225.72715718733,595515.7071939149,351289.98003672744,477.21424661398015,317.23258657762017,1247.9001023530404,1107.3578027608276,6404.7420948861345,22735039.980321057,24255079.80354439,12011216.969606722,7637356.848233564,244225.72715718733,1442567.4344424137,3649368.3646455756
BANC_to_CAISO,BANC,CAISO,2026,1244049.729287996,1253711.4475107945,9661.718222798509,572.2695085254123,97.2234807314384,2190.771007075457,99.37638675462762,6469.852606169922,42982202.52049854,45525814.896796934,336587.9262876128,210933.6432535024,1244049.729287996,3036971.4187058583,100370.11097466708
BANC_to_CAISO,BANC,CAISO,2030,806118.7776469848,812112.4238621363,5993.646215151563,797.2907009143134,1048.14,1018.5901113995507,5.71836416428298,7735.69152443617,26494102.43599083,70508734.38027929,233572.39300445642,171298.40882903166,806118.7776469848,1967247.7530490828,62264.751304645084
IID_to_BANC,IID,BANC,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_BANC,IID,BANC,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IID_to_CAISO,IID,CAISO,2020,-388675.34928149875,3397.986960935554,392073.3362424343,75.27136239899748,180.14173371351865,45.143157405914195,2176.4714270261925,6538.385415567897,129623.41654092105,142699.6958324071,14390641.542846246,9715325.979822267,-388675.34928149875,10801.630017335121,4073056.4937114455
IID_to_CAISO,IID,CAISO,2022,-1229110.7142981219,6137.710248208138,1235248.42454633,89.85450594443253,320.342555960341,68.30720600705097,3856.023502226336,4835.6692917665905,246635.8565276563,267422.04395847063,41770320.06929677,22730946.378529444,-1229110.7142981219,19510.65464359259,12832376.876789298
