line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.91304021573,0.0
BANC_to_CAISO,2022,267771.90396364743,0.0
BANC_to_CAISO,2026,535124.0929798866,0.0
BANC_to_CAISO,2030,499994.36467569164,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,4003.7011395260633,0.0
IID_to_CAISO,2026,13575.143240500702,0.0
IID_to_CAISO,2030,28020.760816752296,0.0
LDWP_to_CAISO,2020,115044.21841267397,0.0
LDWP_to_CAISO,2022,39892.46674851249,0.0
LDWP_to_CAISO,2026,148075.31080438686,0.0
LDWP_to_CAISO,2030,156474.0196304523,0.0
NW_to_CAISO_Unspecified,2020,4150766.494044657,0.0
NW_to_CAISO_Unspecified,2022,3203776.1869637417,0.0
NW_to_CAISO_Unspecified,2026,2466244.6314139054,0.0
NW_to_CAISO_Unspecified,2030,1910831.3992429688,0.0
SW_to_CAISO,2020,5815335.364279677,0.0
SW_to_CAISO,2022,7887440.493778054,0.0
SW_to_CAISO,2026,10391317.469632851,0.0
SW_to_CAISO,2030,8237771.189476805,0.0
