zone,period,timepoint_id,day_id,hour_of_day,day_weight,input_load_mw,hourly_energy_cost_$_per_mwh,unserved_energy_mw,overgeneration_mw,total_generation_mw,unbundled_rps_generation_mw,storage_charging_mw,flexible_ev_load_mw,flexible_load_shift_mw,hydrogen_electrolysis_load_mw,ee_ftm_load_reduction_mw
CAISO,2020,20200101,1,0,14.2498665899213,22776.67,37.56,0,0,15974.85,0,0,0,0,0,0
CAISO,2020,20200102,1,1,14.2498665899213,21411.87,37.56,0,0,15057.31,0,0,0,0,0,0
CAISO,2020,20200103,1,2,14.2498665899213,20440.25,37.56,0,0,14638.96,0,0,0,0,0,0
CAISO,2020,20200104,1,3,14.2498665899213,19886.21,37.56,0,0,13500.59,0,0,0,0,0,0
CAISO,2020,20200105,1,4,14.2498665899213,19760.89,37.56,0,0,14162.34,0,0,0,0,0,0
CAISO,2020,20200106,1,5,14.2498665899213,20048.70,37.56,0,0,13728.14,0,0,0,0,0,0
CAISO,2020,20200107,1,6,14.2498665899213,20536.43,37.56,0,0,14282.84,0,0,0,0,0,0
CAISO,2020,20200108,1,7,14.2498665899213,20579.93,37.56,0,0,13727.83,0,0,0,0,0,0
CAISO,2020,20200109,1,8,14.2498665899213,21287.37,37.43,0,0,19397.80,0,216.58,0,0,0,0
CAISO,2020,20200110,1,9,14.2498665899213,22044.00,25.54,0,0,22916.62,0,152.10,0,0,0,0
CAISO,2020,20200111,1,10,14.2498665899213,22552.95,24.34,0,0,25558.71,0,2192.06,0,0,0,0
CAISO,2020,20200112,1,11,14.2498665899213,22737.66,23.55,0,0,27039.13,0,2870.03,0,0,0,0
CAISO,2020,20200113,1,12,14.2498665899213,22749.74,23.55,0,0,27117.44,0,2926.90,0,0,0,0
CAISO,2020,20200114,1,13,14.2498665899213,22556.05,23.55,0,0,26832.51,0,2777.63,0,0,0,0
CAISO,2020,20200115,1,14,14.2498665899213,22336.57,24.34,0,0,25151.08,0,2021.63,0,0,0,0
CAISO,2020,20200116,1,15,14.2498665899213,22258.59,27.18,0,0,22587.75,0,178.63,0,0,0,0
CAISO,2020,20200117,1,16,14.2498665899213,23069.69,37.56,0,0,18265.96,0,0,0,0,0,0
CAISO,2020,20200118,1,17,14.2498665899213,27169.93,51.59,0,0,18675.62,0,0,0,0,0,0
CAISO,2020,20200119,1,18,14.2498665899213,28081.12,85.00,0,0,19066.88,0,0,0,0,0,0
CAISO,2020,20200120,1,19,14.2498665899213,27700.76,49.33,0,0,17632.72,0,0,0,0,0,0
CAISO,2020,20200121,1,20,14.2498665899213,27167.41,49.33,0,0,17099.37,0,0,0,0,0,0
CAISO,2020,20200122,1,21,14.2498665899213,26448.71,42.86,0,0,16380.67,0,0,0,0,0,0
CAISO,2020,20200123,1,22,14.2498665899213,24516.54,37.56,0,0,15523.69,0,0,0,0,0,0
CAISO,2020,20200124,1,23,14.2498665899213,22336.51,37.56,0,0,14238.90,0,0,0,0,0,0
CAISO,2020,20200201,2,0,5.90752557717969,20886.91,37.43,0,0,15521.97,0,0,0,0,0,0
CAISO,2020,20200202,2,1,5.90752557717969,19984.34,37.43,0,0,14509.43,0,0,0,0,0,0
CAISO,2020,20200203,2,2,5.90752557717969,19525.98,37.43,0,0,14143.27,0,0,0,0,0,0
CAISO,2020,20200204,2,3,5.90752557717969,19393.36,37.43,0,0,14237.66,0,0,0,0,0,0
CAISO,2020,20200205,2,4,5.90752557717969,19925.18,37.43,0,0,14837.18,0,0,0,0,0,0
CAISO,2020,20200206,2,5,5.90752557717969,21589.49,37.43,0,0,16501.49,0,0,0,0,0,0
CAISO,2020,20200207,2,6,5.90752557717969,24062.90,37.56,0,0,18968.96,0,0,0,0,0,0
CAISO,2020,20200208,2,7,5.90752557717969,25439.03,37.56,0,0,20000.61,0,0,0,0,0,0
CAISO,2020,20200209,2,8,5.90752557717969,26569.93,37.43,0,0,21481.93,0,0,0,0,0,0
CAISO,2020,20200210,2,9,5.90752557717969,27256.15,35.31,0,0,22858.49,0,690.34,0,0,0,0
CAISO,2020,20200211,2,10,5.90752557717969,27794.70,35.31,0,0,24674.89,0,545.44,0,0,0,0
CAISO,2020,20200212,2,11,5.90752557717969,27806.96,35.31,0,0,25326.79,0,0,0,0,0,0
CAISO,2020,20200213,2,12,5.90752557717969,27567.00,35.31,0,0,25096.58,0,0,0,0,0,0
CAISO,2020,20200214,2,13,5.90752557717969,27364.12,35.31,0,0,23758.86,0,721.99,0,0,0,0
CAISO,2020,20200215,2,14,5.90752557717969,27266.07,36.22,0,0,21641.25,0,0,0,0,0,0
CAISO,2020,20200216,2,15,5.90752557717969,26949.33,37.43,0,0,21789.87,0,0,0,0,0,0
CAISO,2020,20200217,2,16,5.90752557717969,27115.54,37.56,0,0,20824.38,0,0,0,0,0,0
CAISO,2020,20200218,2,17,5.90752557717969,30652.52,44.05,0,0,20987.25,0,0,0,0,0,0
CAISO,2020,20200219,2,18,5.90752557717969,31233.10,88.75,0,0,21517.26,0,0,0,0,0,0
CAISO,2020,20200220,2,19,5.90752557717969,30599.69,43.92,0,0,20531.65,0,0,0,0,0,0
CAISO,2020,20200221,2,20,5.90752557717969,29707.16,43.92,0,0,19639.12,0,0,0,0,0,0
CAISO,2020,20200222,2,21,5.90752557717969,28535.40,37.68,0,0,18467.36,0,0,0,0,0,0
CAISO,2020,20200223,2,22,5.90752557717969,26263.45,37.56,0,0,17758.10,0,0,0,0,0,0
CAISO,2020,20200224,2,23,5.90752557717969,23940.56,37.56,0,0,17642.83,0,0,0,0,0,0
CAISO,2020,20200301,3,0,28.0221528838783,21250.37,35.98,0,0,15756.23,0,0,0,0,0,0
CAISO,2020,20200302,3,1,28.0221528838783,20346.56,35.98,0,0,13353.65,0,0,0,0,0,0
CAISO,2020,20200303,3,2,28.0221528838783,19853.89,35.98,0,0,13166.20,0,0,0,0,0,0
CAISO,2020,20200304,3,3,28.0221528838783,19776.37,35.98,0,0,12901.14,0,0,0,0,0,0
CAISO,2020,20200305,3,4,28.0221528838783,20417.21,36.86,0,0,13640.59,0,0,0,0,0,0
CAISO,2020,20200306,3,5,28.0221528838783,22046.46,37.93,0,0,15848.65,0,0,0,0,0,0
CAISO,2020,20200307,3,6,28.0221528838783,24543.88,37.94,0,0,16817.87,0,0,0,0,0,0
CAISO,2020,20200308,3,7,28.0221528838783,26067.78,37.94,0,0,18273.18,0,0,0,0,0,0
CAISO,2020,20200309,3,8,28.0221528838783,27253.87,37.93,0,0,20549.80,0,0,0,0,0,0
CAISO,2020,20200310,3,9,28.0221528838783,28010.05,34.60,0,0,23287.25,0,365.20,0,0,0,0
CAISO,2020,20200311,3,10,28.0221528838783,28224.73,34.60,0,0,25687.44,0,721.99,0,0,0,0
CAISO,2020,20200312,3,11,28.0221528838783,28165.07,34.60,0,0,27443.46,0,0,0,0,0,0
CAISO,2020,20200313,3,12,28.0221528838783,27980.17,34.60,0,0,27265.93,0,721.99,0,0,0,0
CAISO,2020,20200314,3,13,28.0221528838783,27875.05,34.60,0,0,26233.24,0,0,0,0,0,0
CAISO,2020,20200315,3,14,28.0221528838783,27506.58,34.60,0,0,24547.69,0,148.59,0,0,0,0
CAISO,2020,20200316,3,15,28.0221528838783,27254.62,34.60,0,0,23457.85,0,0,0,0,0,0
CAISO,2020,20200317,3,16,28.0221528838783,27376.55,37.93,0,0,21507.15,0,0,0,0,0,0
CAISO,2020,20200318,3,17,28.0221528838783,29359.08,40.19,0,0,19527.77,0,0,0,0,0,0
CAISO,2020,20200319,3,18,28.0221528838783,31386.35,96.07,0,0,23278.17,0,0,0,0,0,0
CAISO,2020,20200320,3,19,28.0221528838783,30952.67,40.55,0,0,22354.81,0,0,0,0,0,0
CAISO,2020,20200321,3,20,28.0221528838783,30134.43,49.96,0,0,20066.39,0,0,0,0,0,0
CAISO,2020,20200322,3,21,28.0221528838783,28989.89,42.31,0,0,18921.85,0,0,0,0,0,0
CAISO,2020,20200323,3,22,28.0221528838783,26564.66,37.94,0,0,18372.45,0,0,0,0,0,0
CAISO,2020,20200324,3,23,28.0221528838783,24030.90,37.93,0,0,17089.66,0,0,0,0,0,0
CAISO,2020,20200401,4,0,14.341145931673,22221.43,35.17,0,0,17133.43,0,0,0,0,0,0
CAISO,2020,20200402,4,1,14.341145931673,21212.92,35.17,0,0,16124.92,0,0,0,0,0,0
CAISO,2020,20200403,4,2,14.341145931673,20754.19,35.17,0,0,15666.19,0,0,0,0,0,0
CAISO,2020,20200404,4,3,14.341145931673,20457.36,35.17,0,0,15369.36,0,0,0,0,0,0
CAISO,2020,20200405,4,4,14.341145931673,20907.92,35.17,0,0,15819.92,0,0,0,0,0,0
CAISO,2020,20200406,4,5,14.341145931673,22686.17,35.17,0,0,17598.17,0,0,0,0,0,0
CAISO,2020,20200407,4,6,14.341145931673,25068.70,35.29,0,0,19980.70,0,0,0,0,0,0
CAISO,2020,20200408,4,7,14.341145931673,26664.42,35.17,0,0,21576.42,0,0,0,0,0,0
CAISO,2020,20200409,4,8,14.341145931673,27469.09,35.17,0,0,24045.38,0,0,0,0,0,0
CAISO,2020,20200410,4,9,14.341145931673,28237.29,33.95,0,0,27836.24,0,0,0,0,0,0
CAISO,2020,20200411,4,10,14.341145931673,29150.91,33.94,0,0,29791.83,0,640.93,0,0,0,0
CAISO,2020,20200412,4,11,14.341145931673,29722.51,33.94,0,0,30444.50,0,721.99,0,0,0,0
CAISO,2020,20200413,4,12,14.341145931673,29804.26,33.94,0,0,30399.11,0,594.85,0,0,0,0
CAISO,2020,20200414,4,13,14.341145931673,30242.31,33.94,0,0,30242.31,0,0,0,0,0,0
CAISO,2020,20200415,4,14,14.341145931673,30182.91,33.95,0,0,29288.59,0,0,0,0,0,0
CAISO,2020,20200416,4,15,14.341145931673,29471.48,33.95,0,0,27291.67,0,0,0,0,0,0
CAISO,2020,20200417,4,16,14.341145931673,29024.15,35.17,0,0,26760.38,0,0,0,0,0,0
CAISO,2020,20200418,4,17,14.341145931673,29224.45,35.98,0,0,21955.54,0,0,0,0,0,0
CAISO,2020,20200419,4,18,14.341145931673,31535.11,44.74,0,0,22587.77,0,0,0,0,0,0
CAISO,2020,20200420,4,19,14.341145931673,31480.21,80.72,0,0,22183.17,0,0,0,0,0,0
CAISO,2020,20200421,4,20,14.341145931673,30829.44,44.74,0,0,20761.40,0,0,0,0,0,0
CAISO,2020,20200422,4,21,14.341145931673,28862.91,35.98,0,0,20525.08,0,0,0,0,0,0
CAISO,2020,20200423,4,22,14.341145931673,26430.16,35.90,0,0,20870.62,0,0,0,0,0,0
CAISO,2020,20200424,4,23,14.341145931673,23978.80,35.18,0,0,18890.80,0,0,0,0,0,0
CAISO,2020,20200501,5,0,6.69944357053316,21617.36,35.31,0,0,21720.51,0,103.15,0,0,0,0
CAISO,2020,20200502,5,1,6.69944357053316,20942.51,35.31,0,0,20466.56,0,416.26,0,0,0,0
CAISO,2020,20200503,5,2,6.69944357053316,20680.72,35.31,0,0,20680.72,0,0,0,0,0,0
CAISO,2020,20200504,5,3,6.69944357053316,20917.56,35.31,0,0,20588.59,0,0,0,0,0,0
CAISO,2020,20200505,5,4,6.69944357053316,22479.32,35.31,0,0,20425.45,0,0,0,0,0,0
CAISO,2020,20200506,5,5,6.69944357053316,25556.53,35.81,0,0,20468.53,0,0,0,0,0,0
CAISO,2020,20200507,5,6,6.69944357053316,27545.18,37.04,0,0,20294.29,0,0,0,0,0,0
CAISO,2020,20200508,5,7,6.69944357053316,28245.00,35.98,0,0,22818.77,0,0,0,0,0,0
