zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26969527.839223653
IID,2026,729298.2748656464,28822031.953806583
IID,2030,729298.2748656464,30264688.148120716
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,473514.6777858669
LDWP,2026,13199.194695043863,496594.10372159124
LDWP,2030,13199.194695043863,509673.04154044564
NW,2020,3679179.1719104135,86704752.16896626
NW,2022,3516855.439044041,93573557.0694827
NW,2026,3669491.658894002,100388807.34503053
NW,2030,3675124.8535070666,105079950.90625137
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9413675.817376588
SW,2026,397143.1904552827,9460070.06936496
SW,2030,397143.1904552827,9601950.27380149
